date,nc_panthers_win
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,1
2021-11-07,0
2021-11-14,1
2021-11-21,0
2021-11-28,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-09-11,0
2022-09-18,0
2022-09-25,1
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,1
2022-10-30,0
2022-11-06,0
2022-11-10,1
2022-11-20,0
2022-11-27,1
2022-12-11,1
2022-12-18,0
2022-12-24,1
2023-01-01,0
2023-01-08,1
2023-09-10,0
2023-09-18,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-29,1
2023-11-05,0
2023-11-09,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,1
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-09-08,0
2024-09-15,0
2024-09-22,1
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,1
2024-11-10,1
2024-11-24,0
2024-12-01,0
2024-12-08,0
2024-12-15,0
2024-12-22,1
2024-12-29,0
2025-01-05,1
2025-09-07,0
2025-09-14,0
2025-09-21,1
2025-09-28,0
2025-10-05,1
2025-10-12,1
2025-10-19,1
2025-10-26,0
2025-11-02,1
2025-11-09,0
2025-11-16,1
2025-11-24,0
2025-11-30,1
2025-12-14,1
2025-12-21,0
2025-12-28,0
2026-01-04,1
