date,hurricanes_win,hornets_win,panthers_win,total_wins,winning_teams,winning_leagues
2001-04-12,0.0,0.0,0.0,0.0,[],[]
2001-04-15,0.0,0.0,0.0,0.0,[],[]
2001-04-17,0.0,0.0,0.0,0.0,[],[]
2001-04-18,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-04-20,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-04-22,0.0,0.0,0.0,0.0,[],[]
2001-09-09,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2001-09-23,0.0,0.0,0.0,0.0,[],[]
2001-09-30,0.0,0.0,0.0,0.0,[],[]
2001-10-05,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-07,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-09,0.0,0.0,0.0,0.0,[],[]
2001-10-11,0.0,0.0,0.0,0.0,[],[]
2001-10-13,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-14,0.0,0.0,0.0,0.0,[],[]
2001-10-17,0.0,0.0,0.0,0.0,[],[]
2001-10-18,0.0,0.0,0.0,0.0,[],[]
2001-10-20,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-21,0.0,0.0,0.0,0.0,[],[]
2001-10-23,0.0,0.0,0.0,0.0,[],[]
2001-10-24,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-26,0.0,0.0,0.0,0.0,[],[]
2001-10-28,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-10-30,0.0,0.0,0.0,0.0,[],[]
2001-11-01,0.0,0.0,0.0,0.0,[],[]
2001-11-02,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-04,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-06,0.0,0.0,0.0,0.0,[],[]
2001-11-08,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-09,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-11,0.0,0.0,0.0,0.0,[],[]
2001-11-13,0.0,0.0,0.0,0.0,[],[]
2001-11-15,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-17,0.0,0.0,0.0,0.0,[],[]
2001-11-18,0.0,0.0,0.0,0.0,[],[]
2001-11-19,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-25,0.0,0.0,0.0,0.0,[],[]
2001-11-27,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-11-29,0.0,0.0,0.0,0.0,[],[]
2001-11-30,0.0,0.0,0.0,0.0,[],[]
2001-12-02,0.0,0.0,0.0,0.0,[],[]
2001-12-04,0.0,0.0,0.0,0.0,[],[]
2001-12-08,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-09,0.0,0.0,0.0,0.0,[],[]
2001-12-10,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-12,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-14,0.0,0.0,0.0,0.0,[],[]
2001-12-16,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-18,0.0,0.0,0.0,0.0,[],[]
2001-12-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-22,0.0,0.0,0.0,0.0,[],[]
2001-12-23,0.0,0.0,0.0,0.0,[],[]
2001-12-26,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-27,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-30,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2001-12-31,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-01-02,0.0,0.0,0.0,0.0,[],[]
2002-01-05,0.0,0.0,0.0,0.0,[],[]
2002-01-06,0.0,0.0,0.0,0.0,[],[]
2002-01-10,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-01-12,0.0,0.0,0.0,0.0,[],[]
2002-01-15,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-01-17,0.0,0.0,0.0,0.0,[],[]
2002-01-19,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-01-21,0.0,0.0,0.0,0.0,[],[]
2002-01-23,0.0,0.0,0.0,0.0,[],[]
2002-01-25,0.0,0.0,0.0,0.0,[],[]
2002-01-26,0.0,0.0,0.0,0.0,[],[]
2002-01-29,0.0,0.0,0.0,0.0,[],[]
2002-01-30,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-02-05,0.0,0.0,0.0,0.0,[],[]
2002-02-07,0.0,0.0,0.0,0.0,[],[]
2002-02-08,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-02-10,0.0,0.0,0.0,0.0,[],[]
2002-02-26,0.0,0.0,0.0,0.0,[],[]
2002-02-28,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-02,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-05,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-07,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-08,0.0,0.0,0.0,0.0,[],[]
2002-03-11,0.0,0.0,0.0,0.0,[],[]
2002-03-16,0.0,0.0,0.0,0.0,[],[]
2002-03-18,0.0,0.0,0.0,0.0,[],[]
2002-03-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-23,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-26,0.0,0.0,0.0,0.0,[],[]
2002-03-28,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-03-30,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-02,0.0,0.0,0.0,0.0,[],[]
2002-04-03,0.0,0.0,0.0,0.0,[],[]
2002-04-07,0.0,0.0,0.0,0.0,[],[]
2002-04-08,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-10,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-12,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-14,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-17,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-19,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-21,0.0,0.0,0.0,0.0,[],[]
2002-04-23,0.0,0.0,0.0,0.0,[],[]
2002-04-24,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-04-27,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-03,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-05,0.0,0.0,0.0,0.0,[],[]
2002-05-07,0.0,0.0,0.0,0.0,[],[]
2002-05-09,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-12,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-13,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-16,0.0,0.0,0.0,0.0,[],[]
2002-05-19,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-21,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-23,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-05-25,0.0,0.0,0.0,0.0,[],[]
2002-05-28,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-06-04,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-06-06,0.0,0.0,0.0,0.0,[],[]
2002-06-08,0.0,0.0,0.0,0.0,[],[]
2002-06-10,0.0,0.0,0.0,0.0,[],[]
2002-06-13,0.0,0.0,0.0,0.0,[],[]
2002-09-08,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2002-09-15,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2002-09-22,0.0,0.0,1.0,1.0,['Panthers'],['NFL']
2002-09-29,0.0,0.0,0.0,0.0,[],[]
2002-10-06,0.0,0.0,0.0,0.0,[],[]
2002-10-09,0.0,0.0,0.0,0.0,[],[]
2002-10-11,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-10-12,0.0,0.0,0.0,0.0,[],[]
2002-10-13,0.0,0.0,0.0,0.0,[],[]
2002-10-15,0.0,0.0,0.0,0.0,[],[]
2002-10-17,0.0,0.0,0.0,0.0,[],[]
2002-10-19,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
2002-10-20,0.0,0.0,0.0,0.0,[],[]
2002-10-22,1.0,0.0,0.0,1.0,['Hurricanes'],['NHL']
