date,NASDAQCOM
1971-02-01,100.0
1971-03-01,101.78
1971-04-01,106.34
1971-05-01,111.35
1971-06-01,108.87
1971-07-01,108.47
1971-08-01,105.59
1971-09-01,108.65
1971-10-01,109.58
1971-11-01,103.69
1971-12-01,105.06
1972-01-01,113.65
1972-02-01,119.58
1972-03-01,126.29
1972-04-01,128.06
1972-05-01,130.16
1972-06-01,133.13
1972-07-01,130.59
1972-08-01,128.45
1972-09-01,130.7
1972-10-01,129.3
1972-11-01,131.59
1972-12-01,133.94
1973-01-01,134.63
1973-02-01,126.94
1973-03-01,119.53
1973-04-01,115.79
1973-05-01,107.96
1973-06-01,102.3
1973-07-01,100.15
1973-08-01,107.13
1973-09-01,105.5
1973-10-01,110.97
1973-11-01,109.62
1973-12-01,91.97
1974-01-01,92.53
1974-02-01,94.15
1974-03-01,94.05
1974-04-01,91.9
1974-05-01,87.63
1974-06-01,81.08
1974-07-01,75.39
1974-08-01,69.63
1974-09-01,60.88
1974-10-01,55.48
1974-11-01,65.06
1974-12-01,61.66
1975-01-01,60.7
1975-02-01,70.73
1975-03-01,73.83
1975-04-01,75.42
1975-05-01,79.27
1975-06-01,83.88
1975-07-01,86.33
1975-08-01,81.62
1975-09-01,77.89
1975-10-01,73.8
1975-11-01,76.62
1975-12-01,78.66
1976-01-01,78.06
1976-02-01,87.28
1976-03-01,90.25
1976-04-01,90.44
1976-05-01,89.05
1976-06-01,87.81
1976-07-01,90.28
1976-08-01,91.27
1976-09-01,90.59
1976-10-01,90.44
1976-11-01,90.39
1976-12-01,91.83
1977-01-01,97.69
1977-02-01,96.3
1977-03-01,95.14
1977-04-01,94.54
1977-05-01,95.83
1977-06-01,95.86
1977-07-01,99.9
1977-08-01,100.76
1977-09-01,100.4
1977-10-01,101.16
1977-11-01,96.74
1977-12-01,103.68
1978-01-01,104.0
1978-02-01,101.54
1978-03-01,101.47
1978-04-01,105.89
1978-05-01,115.96
1978-06-01,120.34
1978-07-01,120.15
1978-08-01,126.81
1978-09-01,135.35
1978-10-01,133.3
1978-11-01,114.65
1978-12-01,116.19
1979-01-01,117.84
1979-02-01,125.76
1979-03-01,123.33
1979-04-01,131.36
1979-05-01,133.79
1979-06-01,131.76
1979-07-01,137.03
1979-08-01,141.9
1979-09-01,148.49
1979-10-01,149.59
1979-11-01,136.42
1979-12-01,143.86
1980-01-01,148.17
1980-02-01,162.3
1980-03-01,156.87
1980-04-01,133.14
1980-05-01,139.68
1980-06-01,150.17
1980-07-01,158.17
1980-08-01,172.49
1980-09-01,182.34
1980-10-01,189.62
1980-11-01,193.15
1980-12-01,204.91
1981-01-01,203.55
1981-02-01,193.09
1981-03-01,199.06
1981-04-01,211.34
1981-05-01,216.68
1981-06-01,223.02
1981-07-01,214.63
1981-08-01,210.4
1981-09-01,195.17
1981-10-01,181.09
1981-11-01,197.25
1981-12-01,201.13
1982-01-01,195.53
1982-02-01,186.82
1982-03-01,180.13
1982-04-01,177.31
1982-05-01,184.97
1982-06-01,177.36
1982-07-01,170.6
