date,open,high,low,close,volume
2023-04-01,24.450538602930017,25.98178370112238,23.956588328123352,25.764446258544922,159000
2023-05-01,25.626138689177857,28.85657179022292,25.202328543894374,28.37447738647461,208400
2023-06-01,28.491051635157014,29.92350816738134,28.263834963893242,29.883991241455078,138500
2023-07-01,29.94326322399325,31.553542072490323,29.143064357369724,31.247291564941406,68400
2023-08-01,31.267050724388813,31.632574741697297,28.698509024841734,30.865962982177734,64100
2023-09-01,30.753343903298642,31.41523736031718,28.94548593625857,29.419679641723633,59200
2023-10-01,29.439434055152407,31.484389666608944,27.51302921667862,28.51080894470215,445100
2023-11-01,28.718267585910233,32.897086299962346,28.718267585910233,31.80051612854004,853000
2023-12-01,31.790638726694205,33.61825316354864,30.980560609635784,33.04527282714844,1639800
2024-01-01,32.970435811403476,35.262393471695994,31.77980840625282,33.843563079833984,3249900
2024-02-01,34.151138526175444,38.3629829350841,34.09657162133232,37.92145919799805,4695800
2024-03-01,37.921460354738855,39.71136616425496,37.068177308980275,38.84419631958008,3873600
2024-04-01,38.85411702493416,40.05466468099526,35.95692726469742,37.95122528076172,4959900
2024-05-01,38.25880554442357,42.02912262694211,37.82224000382965,41.05677795410156,4487700
2024-06-01,41.40404137522271,45.89667248831562,41.027008542261676,44.75764083862305,8005300
2024-07-01,45.144595354827516,49.569756980133434,42.485528776190705,44.59889221191406,22844100
2024-08-01,45.223969291671935,45.72006371329238,38.20919068785076,44.29130935668945,14729400
2024-09-01,43.57693165630421,47.67467258956716,41.89021367092287,47.30756378173828,13844200
2024-10-01,47.317485976032685,49.58959940286934,45.888735361922826,47.08928298950195,15410600
2024-11-01,47.54569029833127,52.16929420846928,47.01288610017506,51.34577560424805,19023300
2024-12-01,51.59381982571558,58.231561821498424,51.57397559467152,53.99491500854492,51173000
2025-01-01,54.58000183105469,56.96900177001953,53.15999984741211,55.650001525878906,47104500
2025-02-01,54.220001220703125,55.82699966430664,49.380001068115234,51.209999084472656,36997900
2025-03-01,51.470001220703125,51.63999938964844,44.36000061035156,45.86000061035156,65676100
2025-04-01,45.709999084472656,47.54999923706055,39.0,45.9900016784668,78868500
2025-05-01,47.619998931884766,53.709999084472656,46.275001525878906,52.349998474121094,51668300
2025-06-01,52.0099983215332,55.900001525878906,51.2400016784668,55.470001220703125,43898300
2025-07-01,55.0,59.77000045776367,54.38999938964844,58.59000015258789,35483200
2025-08-01,57.459999084472656,60.959999084472656,56.5,59.790000915527344,45594300
2025-09-01,58.65999984741211,65.7300033569336,58.3120002746582,64.86000061035156,55996600
2025-10-01,64.38999938964844,69.13999938964844,62.599998474121094,67.95999908447266,74095900
2025-11-01,68.76000213623047,69.08999633789062,62.36000061035156,63.555198669433594,64296221
