date,open,high,low,close,volume
2018-05-01,14.62514552725504,14.761284184180187,14.401490155915937,14.592082977294922,316800
2018-06-01,14.68349188604702,15.422527840284861,14.281883702993895,14.566801071166992,579800
2018-07-01,14.352870663084628,15.403080621128009,14.352870663084628,14.62222957611084,577200
2018-08-01,14.625146259437837,15.597563828863303,14.469559745087771,15.393355369567871,494900
2018-09-01,15.403080500122382,15.52949478096009,14.968409750545552,15.396273612976074,276600
2018-10-01,15.480873412252587,15.510045652598237,12.650168249895714,13.526315689086914,525500
2018-11-01,13.604108697382554,14.109765800015964,12.569457256690855,13.808316230773926,373900
2018-12-01,14.129211338648261,14.138935726115776,11.853756603892895,12.50527572631836,193700
2019-01-01,12.403803834661016,14.290277118966136,12.38425537652723,14.221856117248535,292600
2019-02-01,14.348923551660299,15.248174947289298,14.270727859185271,15.052684783935547,291700
2019-03-01,15.130879983005459,15.668476982531512,14.534637614284783,15.385016441345215,577400
2019-04-01,15.512086806929453,16.557955935012018,15.492538347838918,16.421112060546875,368400
2019-05-01,16.548178035138783,16.548178035138783,14.793660592719192,14.822983741760254,340400
2019-06-01,14.906069066762598,16.102465290505535,14.534639037173482,15.889381408691406,309200
2019-07-01,16.299680860728852,16.878307973856817,16.05449915137762,16.319293975830078,258000
2019-08-01,16.280062883024907,16.579184812753674,15.14045786391924,15.78969955444336,297800
2019-09-01,15.721049899690966,16.22710374682527,15.379756486918088,15.663186073303223,204500
2019-10-01,15.714182143038505,16.129027930451347,15.09338187305639,16.005456924438477,243000
2019-11-01,16.142756243272284,17.09013946222299,16.113335647359737,16.978336334228516,230700
2019-12-01,17.074452065674528,17.8492270732697,16.449729997286344,17.555007934570312,183400
2020-01-01,17.648990909990093,19.005094893759175,17.648990909990093,18.123628616333008,490000
2020-02-01,18.287736364482843,19.624184345184243,16.509078285574123,16.853017807006836,580200
2020-03-01,17.295227843620268,17.902526201773668,12.529213081059257,15.32003402709961,571800
2020-04-01,14.867996900633734,17.776739204676417,14.386482358453222,17.540895462036133,472000
