station_complex_id,avg_daily_ridership_24,avg_daily_ridership_25,change_pct,change,complex_id,display_name,latitude,longitude,borough
374,733.620218579235,1146.2493150684932,0.5624560038549318,412.62909648925813,374,E 143 St-St Mary's St (6),40.808719,-73.907657,Bronx
363,1940.3945205479451,2728.478021978022,0.4061460146813499,788.0835014300767,363,Westchester Sq-E Tremont Av (6),40.839892,-73.842952,Bronx
215,3680.5136612021856,4856.567123287671,0.319535143825915,1176.0534620854855,215,"Tremont Av (B,D)",40.85041,-73.905227,Bronx
428,2877.396174863388,3672.041095890411,0.27616806054340115,794.644921027023,428,"174 St (2,5)",40.837288,-73.887734,Bronx
367,2005.967213114754,2558.4109589041095,0.27540018709057146,552.4437457893555,367,St Lawrence Av (6),40.831509,-73.867618,Bronx
138,1514.2704918032787,6206.767123287671,3.0988496816683675,4692.496631484392,138,Canarsie-Rockaway Pkwy (L),40.646654,-73.90185,Brooklyn
133,1143.672131147541,1639.3753424657534,0.4334312237029264,495.7032113182124,133,Atlantic Av (L),40.675345,-73.903097,Brooklyn
87,1984.2295081967213,2674.6428571428573,0.3479503485328103,690.413348946136,87,"Crescent St (J,Z)",40.683194,-73.873785,Brooklyn
90,1453.5123287671233,1893.6878453038673,0.30283576398013984,440.175516536744,90,"Van Siclen Av (J,Z)",40.678024,-73.891688,Brooklyn
173,6058.226775956284,7713.342465753424,0.27320134273710517,1655.1156897971405,173,"High St (A,C)",40.699337,-73.990531,Brooklyn
224,8267.0773480663,10454.441095890412,0.26458730887956977,2187.3637478241126,224,57 St (M),40.763972,-73.97745,Manhattan
223,10393.93169398907,12614.495890410959,0.21364044538661595,2220.5641964218885,223,"Lexington Av/63 St (M,Q)",40.764629,-73.966113,Manhattan
222,5174.016393442623,6241.791780821918,0.206372633208615,1067.7753873792954,222,Roosevelt Island (M),40.759145,-73.95326,Manhattan
312,8764.161202185793,10569.717808219179,0.2060159055019524,1805.5566060333858,312,79 St (1),40.783934,-73.979917,Manhattan
394,5557.081967213115,6673.693150684931,0.20093480536365005,1116.6111834718167,394,110 St (6),40.79502,-73.94425,Manhattan
83,1557.1939890710382,3062.586301369863,0.966733960485478,1505.392312298825,83,"Woodhaven Blvd (J,Z)",40.693879,-73.851576,Queens
85,1260.5111111111112,2387.9275766016713,0.8944121599188195,1127.41646549056,85,"75 St-Elderts Ln (J,Z)",40.691324,-73.867139,Queens
198,2496.3879781420765,4314.090410958904,0.7281329860311387,1817.7024328168272,198,Howard Beach-JFK Airport (A),40.660476,-73.830301,Queens
449,5771.893442622951,9442.82191780822,0.636000735577868,3670.9284751852692,449,111 St (7),40.75173,-73.855334,Queens
221,4818.319672131148,7786.438356164384,0.6160070078373263,2968.1186840332357,221,21 St-Queensbridge (M),40.754203,-73.942836,Queens
