Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2020-05-01,NYCT,NYPD,Felony Assault,19,1.21
2020-05-01,NYCT,NYPD,Murder,0,0.0
2020-05-01,NYCT,NYPD,Rape,0,0.0
2020-05-01,NYCT,NYPD,Robbery,35,2.23
2020-05-01,NYCT,NYPD,Grand Larceny,31,1.97
2020-06-01,NYCT,NYPD,Burglary,3,0.12
2020-06-01,NYCT,NYPD,Felony Assault,19,0.77
2020-06-01,NYCT,NYPD,Murder,0,0.0
2020-06-01,NYCT,NYPD,Rape,2,0.08
2020-06-01,NYCT,NYPD,Robbery,46,1.87
2020-06-01,NYCT,NYPD,Grand Larceny,36,1.47
2020-07-01,NYCT,NYPD,Burglary,3,0.09
2020-07-01,NYCT,NYPD,Felony Assault,31,0.93
2020-07-01,NYCT,NYPD,Murder,1,0.03
2020-07-01,NYCT,NYPD,Rape,0,0.0
2020-07-01,NYCT,NYPD,Robbery,38,1.14
2020-07-01,NYCT,NYPD,Grand Larceny,34,1.02
2020-08-01,NYCT,NYPD,Burglary,1,0.03
2020-08-01,NYCT,NYPD,Felony Assault,29,0.79
2020-08-01,NYCT,NYPD,Murder,1,0.03
2020-08-01,NYCT,NYPD,Rape,2,0.05
2020-08-01,NYCT,NYPD,Robbery,46,1.25
2020-08-01,NYCT,NYPD,Grand Larceny,31,0.84
2020-09-01,NYCT,NYPD,Burglary,2,0.03
2020-09-01,NYCT,NYPD,Felony Assault,22,0.31
2020-09-01,NYCT,NYPD,Murder,0,0.0
2020-09-01,NYCT,NYPD,Rape,0,0.0
2020-09-01,NYCT,NYPD,Robbery,39,0.55
2020-09-01,NYCT,NYPD,Grand Larceny,50,0.71
2020-10-01,NYCT,NYPD,Burglary,0,0.0
2020-10-01,NYCT,NYPD,Felony Assault,37,0.47
2020-10-01,NYCT,NYPD,Murder,1,0.01
2020-10-01,NYCT,NYPD,Rape,0,0.0
2020-10-01,NYCT,NYPD,Robbery,39,0.5
2020-10-01,NYCT,NYPD,Grand Larceny,72,0.92
2020-11-01,NYCT,NYPD,Burglary,1,0.01
2020-11-01,NYCT,NYPD,Felony Assault,26,0.37
2020-11-01,NYCT,NYPD,Murder,0,0.0
2020-11-01,NYCT,NYPD,Rape,1,0.01
2020-11-01,NYCT,NYPD,Robbery,38,0.54
2020-11-01,NYCT,NYPD,Grand Larceny,44,0.62
2020-12-01,NYCT,NYPD,Burglary,0,0.0
2020-12-01,NYCT,NYPD,Felony Assault,37,0.53
2020-12-01,NYCT,NYPD,Murder,0,0.0
2020-12-01,NYCT,NYPD,Rape,0,0.0
2020-12-01,NYCT,NYPD,Robbery,40,0.57
2020-12-01,NYCT,NYPD,Grand Larceny,41,0.59
2021-01-01,NYCT,NYPD,Burglary,2,0.03
2021-01-01,NYCT,NYPD,Felony Assault,43,0.65
2021-01-01,NYCT,NYPD,Murder,0,0.0
2021-01-01,NYCT,NYPD,Rape,1,0.02
2021-01-01,NYCT,NYPD,Robbery,24,0.36
2021-01-01,NYCT,NYPD,Grand Larceny,44,0.66
2021-02-01,NYCT,NYPD,Burglary,1,0.02
2021-02-01,NYCT,NYPD,Felony Assault,37,0.6
2021-02-01,NYCT,NYPD,Murder,2,0.03
2021-02-01,NYCT,NYPD,Rape,0,0.0
2021-02-01,NYCT,NYPD,Robbery,30,0.48
2021-02-01,NYCT,NYPD,Grand Larceny,34,0.55
2021-03-01,NYCT,NYPD,Burglary,0,0.0
2021-03-01,NYCT,NYPD,Felony Assault,40,0.49
2021-03-01,NYCT,NYPD,Murder,1,0.01
2021-03-01,NYCT,NYPD,Rape,1,0.01
2021-03-01,NYCT,NYPD,Robbery,35,0.43
2021-03-01,NYCT,NYPD,Grand Larceny,41,0.5
2021-04-01,NYCT,NYPD,Burglary,0,0.0
2021-04-01,NYCT,NYPD,Felony Assault,37,0.44
2021-04-01,NYCT,NYPD,Murder,1,0.01
2021-04-01,NYCT,NYPD,Rape,0,0.0
2021-04-01,NYCT,NYPD,Robbery,26,0.31
2021-04-01,NYCT,NYPD,Grand Larceny,47,0.56
2021-05-01,NYCT,NYPD,Burglary,0,0.0
2021-05-01,NYCT,NYPD,Felony Assault,65,0.72
2021-05-01,NYCT,NYPD,Murder,0,0.0
2021-05-01,NYCT,NYPD,Rape,0,0.0
2021-05-01,NYCT,NYPD,Robbery,51,0.57
2021-05-01,NYCT,NYPD,Grand Larceny,52,0.58
2021-06-01,NYCT,NYPD,Burglary,0,0.0
2021-06-01,NYCT,NYPD,Felony Assault,31,0.31
2021-06-01,NYCT,NYPD,Murder,0,0.0
2021-06-01,NYCT,NYPD,Rape,0,0.0
2021-06-01,NYCT,NYPD,Robbery,33,0.33
2021-06-01,NYCT,NYPD,Grand Larceny,47,0.48
2021-07-01,NYCT,NYPD,Burglary,0,0.0
2021-07-01,NYCT,NYPD,Felony Assault,26,0.26
2021-07-01,NYCT,NYPD,Murder,0,0.0
2021-07-01,NYCT,NYPD,Rape,0,0.0
2021-07-01,NYCT,NYPD,Robbery,39,0.39
2021-07-01,NYCT,NYPD,Grand Larceny,55,0.55
2021-08-01,NYCT,NYPD,Burglary,1,0.01
2021-08-01,NYCT,NYPD,Felony Assault,35,0.35
2021-08-01,NYCT,NYPD,Murder,0,0.0
2021-08-01,NYCT,NYPD,Rape,2,0.02
2021-08-01,NYCT,NYPD,Robbery,44,0.44
2021-08-01,NYCT,NYPD,Grand Larceny,64,0.64
2021-09-01,NYCT,NYPD,Burglary,0,0.0
2021-09-01,NYCT,NYPD,Felony Assault,36,0.33
2021-09-01,NYCT,NYPD,Murder,0,0.0
2021-09-01,NYCT,NYPD,Rape,0,0.0
2021-09-01,NYCT,NYPD,Robbery,52,0.48
2021-09-01,NYCT,NYPD,Grand Larceny,96,0.88
2021-10-01,NYCT,NYPD,Burglary,1,0.01
2021-10-01,NYCT,NYPD,Felony Assault,34,0.28
2021-10-01,NYCT,NYPD,Murder,0,0.0
2021-10-01,NYCT,NYPD,Rape,1,0.01
2021-10-01,NYCT,NYPD,Robbery,40,0.33
2021-10-01,NYCT,NYPD,Grand Larceny,85,0.7
2021-11-01,NYCT,NYPD,Burglary,1,0.01
2021-11-01,NYCT,NYPD,Felony Assault,40,0.34
2021-11-01,NYCT,NYPD,Murder,1,0.01
2021-11-01,NYCT,NYPD,Rape,0,0.0
2021-11-01,NYCT,NYPD,Robbery,88,0.74
2021-11-01,NYCT,NYPD,Grand Larceny,103,0.87
2021-12-01,NYCT,NYPD,Burglary,0,0.0
2021-12-01,NYCT,NYPD,Felony Assault,39,0.35
2021-12-01,NYCT,NYPD,Murder,1,0.01
2021-12-01,NYCT,NYPD,Rape,4,0.04
2021-12-01,NYCT,NYPD,Robbery,58,0.51
2021-12-01,NYCT,NYPD,Grand Larceny,92,0.82
2022-01-01,NYCT,NYPD,Burglary,1,0.01
2022-01-01,NYCT,NYPD,Felony Assault,45,0.49
2022-01-01,NYCT,NYPD,Murder,1,0.01
2022-01-01,NYCT,NYPD,Rape,1,0.01
2022-01-01,NYCT,NYPD,Robbery,57,0.62
2022-01-01,NYCT,NYPD,Grand Larceny,93,1.01
2022-02-01,NYCT,NYPD,Burglary,1,0.01
2022-02-01,NYCT,NYPD,Felony Assault,41,0.41
2022-02-01,NYCT,NYPD,Murder,0,0.0
2022-02-01,NYCT,NYPD,Rape,1,0.01
2022-02-01,NYCT,NYPD,Robbery,52,0.52
2022-02-01,NYCT,NYPD,Grand Larceny,87,0.86
2022-03-01,NYCT,NYPD,Burglary,0,0.0
2022-03-01,NYCT,NYPD,Felony Assault,62,0.49
2022-03-01,NYCT,NYPD,Murder,0,0.0
2022-03-01,NYCT,NYPD,Rape,1,0.01
2022-03-01,NYCT,NYPD,Robbery,42,0.33
2022-03-01,NYCT,NYPD,Grand Larceny,75,0.6
2022-04-01,NYCT,NYPD,Burglary,1,0.01
2022-04-01,NYCT,NYPD,Felony Assault,49,0.41
2022-04-01,NYCT,NYPD,Murder,1,0.01
2022-04-01,NYCT,NYPD,Rape,1,0.01
2022-04-01,NYCT,NYPD,Robbery,47,0.39
2022-04-01,NYCT,NYPD,Grand Larceny,77,0.65
2022-05-01,NYCT,NYPD,Burglary,0,0.0
2022-05-01,NYCT,NYPD,Felony Assault,55,0.44
2022-05-01,NYCT,NYPD,Murder,1,0.01
2022-05-01,NYCT,NYPD,Rape,1,0.01
2022-05-01,NYCT,NYPD,Robbery,54,0.43
2022-05-01,NYCT,NYPD,Grand Larceny,108,0.86
2022-06-01,NYCT,NYPD,Burglary,0,0.0
2022-06-01,NYCT,NYPD,Felony Assault,35,0.28
2022-06-01,NYCT,NYPD,Murder,0,0.0
2022-06-01,NYCT,NYPD,Rape,1,0.01
2022-06-01,NYCT,NYPD,Robbery,49,0.39
2022-06-01,NYCT,NYPD,Grand Larceny,77,0.62
2022-07-01,NYCT,NYPD,Burglary,0,0.0
2022-07-01,NYCT,NYPD,Felony Assault,39,0.34
2022-07-01,NYCT,NYPD,Murder,1,0.01
2022-07-01,NYCT,NYPD,Rape,2,0.02
2022-07-01,NYCT,NYPD,Robbery,44,0.38
2022-07-01,NYCT,NYPD,Grand Larceny,107,0.93
2022-08-01,NYCT,NYPD,Burglary,0,0.0
2022-08-01,NYCT,NYPD,Felony Assault,40,0.34
2022-08-01,NYCT,NYPD,Murder,0,0.0
2022-08-01,NYCT,NYPD,Rape,0,0.0
2022-08-01,NYCT,NYPD,Robbery,48,0.4
2022-08-01,NYCT,NYPD,Grand Larceny,90,0.75
2022-09-01,NYCT,NYPD,Burglary,1,0.01
2022-09-01,NYCT,NYPD,Felony Assault,36,0.28
2022-09-01,NYCT,NYPD,Murder,1,0.01
2022-09-01,NYCT,NYPD,Rape,1,0.01
2022-09-01,NYCT,NYPD,Robbery,54,0.42
2022-09-01,NYCT,NYPD,Grand Larceny,105,0.81
2022-10-01,NYCT,NYPD,Burglary,2,0.02
2022-10-01,NYCT,NYPD,Felony Assault,46,0.35
2022-10-01,NYCT,NYPD,Murder,3,0.02
2022-10-01,NYCT,NYPD,Rape,0,0.0
2022-10-01,NYCT,NYPD,Robbery,51,0.38
