Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2025-06-01,NYCT,NYPD,Rape,1,0.01
2025-06-01,NYCT,NYPD,Robbery,38,0.26
2025-06-01,NYCT,NYPD,Grand Larceny,0,0.0
2025-06-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-07-01,NYCT,NYPD,Burglary,0,0.0
2025-07-01,NYCT,NYPD,Felony Assault,39,0.27
2025-07-01,NYCT,NYPD,Murder,1,0.01
2025-07-01,NYCT,NYPD,Rape,1,0.01
2025-07-01,NYCT,NYPD,Robbery,30,0.21
2025-07-01,NYCT,NYPD,Grand Larceny,78,0.54
2025-07-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-08-01,NYCT,NYPD,Burglary,0,0.0
2025-08-01,NYCT,NYPD,Felony Assault,31,0.22
2025-08-01,NYCT,NYPD,Murder,0,0.0
2025-08-01,NYCT,NYPD,Rape,1,0.01
2025-08-01,NYCT,NYPD,Robbery,37,0.27
2025-08-01,NYCT,NYPD,Grand Larceny,87,0.63
2025-08-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-09-01,NYCT,NYPD,Burglary,1,0.01
2025-09-01,NYCT,NYPD,Felony Assault,46,0.31
2025-09-01,NYCT,NYPD,Murder,0,0.0
2025-09-01,NYCT,NYPD,Rape,1,0.01
2025-09-01,NYCT,NYPD,Robbery,31,0.21
2025-09-01,NYCT,NYPD,Grand Larceny,79,0.53
2025-09-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-10-01,NYCT,NYPD,Burglary,1,0.01
2025-10-01,NYCT,NYPD,Felony Assault,48,0.31
2025-10-01,NYCT,NYPD,Murder,1,0.01
2025-10-01,NYCT,NYPD,Rape,0,0.0
2025-10-01,NYCT,NYPD,Robbery,36,0.24
2025-10-01,NYCT,NYPD,Grand Larceny,69,0.45
2025-10-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2025-11-01,NYCT,NYPD,Murder,0,0.0
2025-11-01,NYCT,NYPD,Rape,0,0.0
2025-11-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
