Rk,Season,Team,3PA/G,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
160,2023-24,LAC,33.2,82,51,31,.622,19705,3473,7108,2437,4389,1036,2719,1499,1817,822,2701,3523,2097,640,413,1078,1519,9481,.489,.555,.381,.825,.599,.561
161,2025-26,SAS,33.1,7,5,2,.714,1705,292,589,209,357,83,232,158,212,82,242,324,167,62,41,114,165,825,.496,.585,.358,.745,.605,.566
162,2023-24,TOR,33.1,82,25,57,.305,19805,3466,7356,2524,4644,942,2712,1339,1772,891,2607,3498,2335,634,388,1147,1509,9213,.471,.543,.347,.756,.566,.535
163,2017-18,TOR,33.0,82,59,23,.720,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156,.472,.541,.358,.794,.575,.539
164,2020-21,DET,32.9,72,20,52,.278,17430,2783,6162,1951,3792,832,2370,1278,1683,694,2381,3075,1743,531,371,1075,1477,7676,.452,.515,.351,.759,.556,.519
165,2017-18,DAL,32.8,82,24,58,.293,19805,3128,7042,2161,4354,967,2688,1167,1530,666,2717,3383,1858,578,310,1007,1578,8390,.444,.496,.360,.763,.544,.513
166,2021-22,CLE,32.8,82,44,38,.537,19730,3255,6940,2302,4254,953,2686,1376,1810,837,2786,3623,2064,580,343,1181,1433,8839,.469,.541,.355,.760,.571,.538
167,2025-26,TOR,32.8,8,4,4,.500,1920,354,706,250,444,104,262,152,200,76,251,327,244,67,32,120,193,964,.501,.563,.397,.760,.607,.575
168,2023-24,MIN,32.7,82,56,26,.683,19805,3383,6974,2346,4293,1037,2681,1461,1881,770,2807,3577,2184,647,497,1162,1544,9264,.485,.546,.387,.777,.594,.559
169,2014-15,HOU,32.7,82,56,26,.683,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522,.444,.506,.348,.715,.548,.512
170,2019-20,DET,32.7,66,20,46,.303,15965,2595,5658,1804,3501,791,2157,1097,1476,644,2109,2753,1589,490,299,1008,1299,7078,.459,.515,.367,.743,.561,.529
171,2021-22,MEM,32.7,82,56,26,.683,19780,3571,7739,2626,5060,945,2679,1393,1898,1159,2873,4032,2131,800,533,1082,1620,9480,.461,.519,.353,.734,.553,.522
172,2018-19,OKC,32.6,82,49,33,.598,19855,3497,7706,2565,5029,932,2677,1461,2049,1031,2911,3942,1917,766,425,1145,1839,9387,.454,.510,.348,.713,.545,.514
173,2022-23,PHI,32.6,82,54,28,.659,19880,3347,6870,2312,4195,1035,2675,1719,2058,715,2641,3356,2063,635,389,1121,1675,9448,.487,.551,.387,.835,.608,.563
174,2022-23,PHO,32.6,82,45,37,.549,19780,3453,7388,2452,4714,1001,2674,1412,1781,971,2657,3628,2235,585,432,1110,1739,9319,.467,.520,.374,.793,.570,.535
175,2023-24,NOP,32.6,82,49,33,.598,19705,3484,7165,2461,4492,1023,2673,1445,1873,852,2753,3605,2210,684,378,1067,1508,9436,.486,.548,.383,.771,.591,.558
176,2023-24,PHO,32.6,82,49,33,.598,19780,3482,7063,2462,4392,1020,2671,1548,1915,831,2783,3614,2218,610,492,1221,1475,9532,.493,.561,.382,.808,.603,.565
177,2019-20,WAS,32.6,72,25,47,.347,17355,2990,6544,2126,4199,864,2345,1394,1770,732,2295,3027,1801,574,309,1020,1634,8238,.457,.506,.368,.788,.562,.523
178,2022-23,CHO,32.5,82,27,55,.329,19830,3385,7413,2504,4744,881,2669,1447,1933,901,2751,3652,2062,634,425,1164,1661,9098,.457,.528,.330,.749,.550,.516
179,2022-23,DET,32.4,82,17,65,.207,19805,3244,7140,2310,4481,934,2659,1623,2106,916,2564,3480,1884,574,308,1237,1813,9045,.454,.516,.351,.771,.561,.520
180,2018-19,MIA,32.4,82,39,43,.476,19730,3251,7218,2323,4560,928,2658,1238,1782,921,2879,3800,1991,627,448,1208,1712,8668,.450,.509,.349,.695,.542,.515
181,2019-20,ORL,32.2,73,33,40,.452,17570,2871,6468,2064,4114,807,2354,1282,1656,751,2498,3249,1747,599,396,937,1336,7831,.444,.502,.343,.774,.544,.506
182,2022-23,SAS,32.2,82,22,60,.268,19855,3533,7593,2622,4953,911,2640,1292,1739,965,2619,3584,2232,572,322,1253,1630,9269,.465,.529,.345,.743,.554,.525
183,2017-18,CLE,32.1,82,50,32,.610,19730,3311,6950,2330,4314,981,2636,1488,1909,694,2761,3455,1916,582,312,1126,1524,9091,.476,.540,.372,.779,.584,.547
184,2025-26,DAL,32.1,8,2,6,.250,1920,299,680,218,423,81,257,171,222,70,274,344,187,64,42,130,171,850,.440,.515,.315,.770,.546,.499
185,2018-19,ORL,32.1,82,42,40,.512,19780,3316,7307,2379,4674,937,2633,1231,1575,822,2902,3724,2095,543,445,1082,1526,8800,.454,.509,.356,.782,.550,.518
186,2023-24,CHI,32.1,82,39,43,.476,19980,3448,7339,2507,4709,941,2630,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206,.470,.532,.358,.791,.568,.534
187,2021-22,NOP,32.1,82,36,46,.439,19755,3294,7212,2421,4583,873,2629,1501,1903,981,2726,3707,2047,680,328,1153,1612,8962,.457,.528,.332,.789,.557,.517
188,2022-23,TOR,32.0,82,41,41,.500,19805,3434,7489,2554,4863,880,2626,1506,1922,1043,2485,3528,1961,772,424,956,1641,9254,.459,.525,.335,.784,.555,.517
189,2021-22,SAS,32.0,82,34,48,.415,19805,3546,7601,2621,4975,925,2626,1262,1673,901,2815,3716,2289,626,403,1043,1483,9279,.467,.527,.352,.754,.556,.527
190,2024-25,DEN,31.9,82,50,32,.610,19855,3724,7360,2740,4741,984,2619,1470,1909,919,2832,3751,2542,656,402,1169,1444,9902,.506,.578,.376,.770,.604,.573
191,2022-23,HOU,31.9,82,22,60,.268,19755,3329,7287,2473,4668,856,2619,1567,2078,1100,2695,3795,1835,600,374,1332,1679,9081,.457,.530,.327,.754,.554,.516
192,2021-22,PHO,31.9,82,64,18,.780,19730,3581,7389,2630,4773,951,2616,1303,1635,801,2913,3714,2244,702,359,1060,1633,9416,.485,.551,.364,.797,.581,.549
193,2019-20,CLE,31.8,65,19,46,.292,15725,2619,5715,1892,3645,727,2070,983,1296,704,2172,2876,1500,447,211,1073,1188,6948,.458,.519,.351,.758,.553,.522
194,2021-22,PHI,31.8,82,51,31,.622,19805,3230,6932,2280,4324,950,2608,1605,1955,700,2770,3470,1945,633,435,1027,1590,9015,.466,.527,.364,.821,.578,.534
195,2019-20,PHO,31.8,73,34,39,.466,17595,3006,6429,2175,4109,831,2320,1451,1740,712,2465,3177,1987,559,290,1077,1609,8294,.468,.529,.358,.834,.576,.532
196,2020-21,ORL,31.8,72,21,51,.292,17330,2754,6423,1970,4135,784,2288,1196,1543,747,2525,3272,1571,496,318,924,1237,7488,.429,.476,.343,.775,.527,.490
197,2023-24,DET,31.7,82,14,68,.171,19755,3353,7236,2447,4634,906,2602,1398,1780,861,2692,3553,2088,531,384,1248,1688,9010,.463,.528,.348,.785,.562,.526
198,2021-22,BRK,31.7,82,44,38,.537,19755,3442,7251,2502,4649,940,2602,1434,1781,844,2796,3640,2071,582,448,1153,1670,9258,.475,.538,.361,.805,.576,.540
199,2022-23,WAS,31.7,82,35,47,.427,19755,3456,7127,2531,4526,925,2601,1442,1838,774,2804,3578,2083,561,424,1158,1539,9279,.485,.559,.356,.785,.585,.550
200,2015-16,GSW,31.6,82,73,9,.890,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,.487,.528,.416,.763,.593,.563
