Rk,Season,Team,3PA/G,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
130,2021-22,TOR,34.2,82,48,34,.585,19855,3332,7489,2353,4681,979,2808,1327,1749,1095,2622,3717,1809,738,376,1021,1607,8970,.445,.503,.349,.759,.543,.510
131,2022-23,MEM,34.2,82,51,31,.622,19780,3585,7551,2600,4744,985,2807,1432,1954,988,2835,3823,2135,680,473,1116,1643,9587,.475,.548,.351,.733,.570,.540
132,2023-24,OKC,34.2,82,57,25,.695,19805,3653,7324,2563,4519,1090,2805,1451,1759,722,2725,3447,2223,694,538,1039,1545,9847,.499,.567,.389,.825,.608,.573
133,2020-21,DEN,34.2,72,47,25,.653,17480,3114,6422,2187,3960,927,2462,1129,1406,758,2442,3200,1933,582,323,972,1374,8284,.485,.552,.377,.803,.588,.557
134,2021-22,LAC,34.2,82,42,40,.512,19780,3285,7170,2238,4368,1047,2802,1273,1606,747,2860,3607,1969,608,406,1126,1528,8890,.458,.512,.374,.793,.564,.531
135,2024-25,DAL,34.2,82,39,43,.476,19730,3443,7194,2423,4393,1020,2801,1458,1894,828,2702,3530,2070,636,445,1151,1458,9364,.479,.552,.364,.770,.583,.549
136,2019-20,POR,34.1,74,35,39,.473,17835,3122,6749,2170,4224,952,2525,1312,1632,754,2599,3353,1525,465,451,946,1606,8508,.463,.514,.377,.804,.570,.533
137,2022-23,OKC,34.1,82,40,42,.488,19855,3533,7590,2538,4793,995,2797,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633,.465,.530,.356,.809,.570,.531
138,2024-25,NYK,34.1,82,51,31,.622,19880,3553,7315,2522,4521,1031,2794,1357,1696,890,2607,3497,2254,671,324,1088,1407,9494,.486,.558,.369,.800,.589,.556
139,2018-19,UTA,34.0,82,50,32,.610,19755,3314,7082,2321,4293,993,2789,1540,2092,820,2981,3801,2133,663,483,1240,1728,9161,.468,.541,.356,.736,.572,.538
140,2023-24,CHO,34.0,82,21,61,.256,19730,3281,7133,2292,4345,989,2788,1189,1512,765,2538,3303,2033,562,371,1129,1472,8740,.460,.528,.355,.786,.560,.529
141,2024-25,TOR,34.0,82,30,52,.366,19805,3414,7462,2445,4676,969,2786,1294,1729,1034,2666,3700,2340,664,348,1257,1738,9091,.458,.523,.348,.748,.553,.522
142,2020-21,CHI,34.0,72,31,41,.431,17380,3035,6380,2131,3934,904,2446,995,1258,693,2544,3237,1927,482,304,1089,1362,7969,.476,.542,.370,.791,.575,.547
143,2020-21,IND,34.0,72,34,38,.472,17455,3115,6567,2226,4122,889,2445,1183,1493,648,2424,3072,1973,611,460,975,1453,8302,.474,.540,.364,.792,.575,.542
144,2018-19,CHO,33.9,82,39,43,.476,19830,3297,7362,2320,4579,977,2783,1510,1895,814,2778,3592,1905,591,405,1001,1550,9081,.448,.507,.351,.797,.554,.514
145,2016-17,CLE,33.9,82,51,31,.622,19880,3275,6963,2208,4184,1067,2779,1431,1913,766,2821,3587,1858,539,327,1121,1486,9048,.470,.528,.384,.748,.580,.547
146,2022-23,BRK,33.8,82,45,37,.549,19730,3399,6978,2351,4207,1048,2771,1449,1811,674,2648,3322,2093,585,506,1127,1730,9295,.487,.559,.378,.800,.598,.562
147,2018-19,TOR,33.8,82,58,24,.707,19880,3460,7305,2445,4534,1015,2771,1449,1803,786,2920,3706,2085,680,437,1150,1724,9384,.474,.539,.366,.804,.579,.543
148,2023-24,MIA,33.7,82,46,36,.561,19755,3266,7022,2244,4257,1022,2765,1478,1806,766,2702,3468,2116,617,280,1038,1415,9032,.465,.527,.370,.818,.578,.538
149,2019-20,LAC,33.5,72,49,23,.681,17380,2992,6425,2097,4015,895,2410,1498,1894,767,2664,3431,1708,511,338,1051,1594,8377,.466,.522,.371,.791,.577,.535
150,2016-17,BOS,33.4,82,53,29,.646,19755,3168,6978,2183,4236,985,2742,1536,1903,744,2698,3442,2069,617,340,1088,1686,8857,.454,.515,.359,.807,.567,.525
151,2024-25,LAC,33.4,82,50,32,.610,19805,3409,7075,2387,4337,1022,2738,1416,1776,841,2750,3591,2064,773,370,1220,1503,9256,.482,.550,.373,.797,.589,.554
152,2020-21,ATL,33.4,72,41,31,.569,17405,2937,6281,2042,3879,895,2402,1417,1745,760,2525,3285,1737,503,342,953,1392,8186,.468,.526,.373,.812,.581,.539
153,2022-23,LAC,33.4,82,44,38,.537,19830,3370,7059,2329,4324,1041,2735,1533,1962,803,2742,3545,1959,580,364,1167,1598,9314,.477,.539,.381,.781,.588,.551
154,2020-21,SAC,33.3,72,31,41,.431,17305,3067,6382,2193,3982,874,2400,1181,1585,674,2307,2981,1836,543,358,963,1400,8189,.481,.551,.364,.745,.578,.549
155,2023-24,PHI,33.3,82,47,35,.573,19780,3404,7331,2412,4598,992,2733,1597,1934,906,2616,3522,2041,694,492,984,1668,9397,.464,.525,.363,.826,.574,.532
156,2022-23,MIN,33.3,82,42,40,.512,19830,3515,7167,2518,4436,997,2731,1467,1942,749,2686,3435,2145,657,444,1258,1768,9494,.490,.568,.365,.755,.592,.560
157,2018-19,WAS,33.3,82,32,50,.390,19930,3456,7387,2526,4656,930,2731,1508,1963,794,2679,3473,2154,683,379,1154,1701,9350,.468,.543,.341,.768,.567,.531
158,2023-24,POR,33.2,82,21,61,.256,19880,3227,7356,2288,4633,939,2723,1329,1680,1036,2469,3505,1894,627,354,1249,1654,8722,.439,.494,.345,.791,.539,.503
159,2021-22,SAC,33.2,82,30,52,.366,19805,3321,7223,2384,4501,937,2722,1466,1908,784,2737,3521,1943,588,369,1156,1552,9045,.460,.530,.344,.768,.561,.525
