Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
182,Isaiah Thomas,53,2017-05-02,28-084,BOS,,WAS,W 129-119 (OT),*,45,18,33,.545,13,21,.619,5,12,.417,12,13,.923,.684,1,3,4,4,3,0,2,2,53,41.3,13.8,10,G,thomais02
183,T.J. Warren,53,2020-08-01,26-331,IND,,PHI,W 127-121,*,41,20,29,.690,11,17,.647,9,12,.750,4,4,1.000,.862,0,4,4,3,0,2,1,4,53,42.8,20.7,18,F,warretj01
184,Dominique Wilkins,53,1987-01-12,27-000,ATL,,LAC,W 125-115,*,37,19,25,.760,18,24,.750,1,1,1.000,14,19,.737,.794,3,3,6,2,2,3,1,3,53,47.4,24.1,,F-G,wilkido01
185,Giannis Antetokounmpo,52,2019-03-17,24-101,MIL,,PHI,L 125-130,*,36,15,26,.577,12,18,.667,3,8,.375,19,21,.905,.738,1,15,16,7,2,1,1,1,52,50.4,27.9,12,F-G,antetgi01
186,Devin Booker,52,2024-01-19,27-081,PHO,@,NOP,W 123-109,*,37,18,30,.600,12,19,.632,6,11,.545,10,10,1.000,.756,1,3,4,5,0,0,1,0,52,42.3,19.6,12,G,bookede01
187,Devin Booker,52,2024-04-01,27-154,PHO,@,NOP,W 124-111,*,39,19,28,.679,11,12,.917,8,16,.500,6,7,.857,.837,1,2,3,9,0,1,3,3,52,43.7,24.6,8,G,bookede01
188,Kobe Bryant,52,2003-02-18,24-179,LAL,,HOU,W 106-99 (2OT),*,54,19,38,.500,16,29,.552,3,9,.333,11,11,1.000,.607,0,8,8,7,0,3,5,4,52,35.8,13.9,13,G-F,bryanko01
189,Kobe Bryant,52,2006-11-30,28-099,LAL,,UTA,W 132-102,*,34,19,26,.731,17,23,.739,2,3,.667,12,15,.800,.798,0,4,4,3,0,1,1,5,52,41.2,16.3,22,G-F,bryanko01
190,Kobe Bryant,52,2008-03-02,29-192,LAL,,DAL,W 108-104 (OT),*,51,15,27,.556,13,24,.542,2,3,.667,20,27,.741,.669,1,10,11,4,1,2,5,2,52,39.4,16.6,4,G-F,bryanko01
191,Jimmy Butler,52,2017-01-02,27-110,CHI,,CHO,W 118-111,*,38,15,24,.625,14,20,.700,1,4,.250,21,22,.955,.772,3,9,12,6,3,1,2,0,52,51.5,28.0,15,F-G,butleji01
192,Joe Barry Carroll,52,1983-03-05,24-224,GSW,,UTA,W 127-121,*,42,22,32,.688,22,32,.688,0,0,,8,13,.615,.689,7,7,14,1,1,5,1,2,52,46.8,,,C-F,carrojo01
193,Jamal Crawford,52,2007-01-26,26-312,NYK,,MIA,W 116-96,*,39,20,30,.667,12,20,.600,8,10,.800,4,4,1.000,.819,2,1,3,1,2,0,3,2,52,39.6,20.0,27,G,crawfja01
194,Terry Cummings,52,1990-01-31,28-322,SAS,,CHH,W 129-95,*,39,19,32,.594,19,30,.633,0,2,.000,14,17,.824,.659,3,8,11,2,2,0,2,4,52,40.3,10.3,,F,cummite01
195,Stephen Curry,52,2025-04-01,37-018,GSW,@,MEM,W 134-125,*,37,16,31,.516,4,11,.364,12,20,.600,8,8,1.000,.753,1,9,10,8,5,1,2,2,52,48.6,32.8,17,G,curryst01
196,DeMar DeRozan,52,2018-01-01,28-147,TOR,,MIL,W 131-127 (OT),*,43,17,29,.586,12,20,.600,5,9,.556,13,13,1.000,.749,1,4,5,8,1,1,2,4,52,44.1,17.1,9,G-F,derozde01
197,Kevin Durant,52,2013-01-18,24-111,OKC,@,DAL,W 117-114 (OT),*,50,13,31,.419,8,22,.364,5,9,.556,21,21,1.000,.646,0,9,9,1,2,0,4,2,52,36.1,14.9,-1,F-G,duranke01
198,Joel Embiid,52,2023-04-04,29-019,PHI,,BOS,W 103-101,*,39,20,25,.800,20,24,.833,0,1,.000,12,13,.923,.846,2,11,13,6,0,2,3,3,52,48.2,30.0,17,C,embiijo01
199,Shai Gilgeous-Alexander,52,2025-01-29,26-201,OKC,@,GSW,L 109-116,*,39,16,29,.552,14,23,.609,2,6,.333,18,21,.857,.680,0,3,3,4,1,0,3,4,52,37.0,17.8,1,G,gilgesh01
200,Allen Iverson,52,2001-05-16,25-343,PHI,,TOR,W 121-88,*,43,21,32,.656,13,18,.722,8,14,.571,2,2,1.000,.791,0,2,2,7,4,0,1,3,52,45.3,24.5,30,G,iversal01
201,LeBron James,52,2005-12-10,20-345,CLE,@,MIL,L 106-111,*,43,19,29,.655,14,20,.700,5,9,.556,9,10,.900,.778,0,7,7,7,2,0,3,5,52,42.9,19.9,-3,F-G,jamesle01
202,LeBron James,52,2009-02-04,24-036,CLE,@,NYK,W 107-102,*,44,17,33,.515,15,26,.577,2,7,.286,16,19,.842,.629,0,9,9,11,0,2,3,1,52,42.9,19.3,7,F-G,jamesle01
203,Michael Jordan,52,1987-12-17,24-303,CHI,,CLE,W 111-100,*,41,20,31,.645,20,31,.645,0,0,,12,12,1.000,.717,0,3,3,6,4,1,2,2,52,45.3,21.4,,G-F,jordami01
204,Michael Jordan,52,1988-02-26,25-009,CHI,,POR,L 96-104,*,43,21,34,.618,21,32,.656,0,2,.000,10,12,.833,.662,2,6,8,3,2,3,6,5,52,37.2,17.7,,G-F,jordami01
205,Michael Jordan,52,1988-11-09,25-266,CHI,@,BOS,W 110-104,*,42,18,33,.545,16,29,.552,2,4,.500,14,16,.875,.649,0,3,3,2,9,2,2,4,52,44.4,22.8,,G-F,jordami01
206,Michael Jordan,52,1988-11-16,25-273,CHI,@,PHI,L 110-123,*,43,24,29,.828,24,28,.857,0,1,.000,4,4,1.000,.845,3,6,9,1,4,2,4,2,52,46.5,19.8,,G-F,jordami01
207,Michael Jordan,52,1988-11-26,25-283,CHI,@,DEN,L 123-128,*,44,19,27,.704,16,22,.727,3,5,.600,11,14,.786,.784,2,9,11,7,1,0,6,3,52,42.3,15.3,,G-F,jordami01
208,Michael Jordan,52,1989-12-20,26-306,CHI,@,ORL,L 109-110,*,45,20,37,.541,18,34,.529,2,3,.667,10,10,1.000,.628,1,4,5,7,4,0,3,3,52,40.7,15.6,,G-F,jordami01
209,Michael Jordan,52,1993-03-12,30-023,CHI,,CHH,W 123-108,*,43,21,35,.600,19,31,.613,2,4,.500,8,9,.889,.667,3,6,9,5,2,1,0,3,52,44.4,20.3,,G-F,jordami01
210,Bernard King,52,1984-11-24,27-356,NYK,,IND,W 119-100,*,36,19,31,.613,19,31,.613,0,0,,14,17,.824,.676,2,5,7,7,0,0,2,4,52,40.9,17.8,,F,kingbe01
211,Bernard King,52,1990-12-29,34-025,WSB,,DEN,W 161-133,*,39,20,35,.571,20,35,.571,0,0,,12,14,.857,.632,3,5,8,6,1,0,4,3,52,38.3,2.4,,F,kingbe01
