Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
426,Clifford Robinson,50,2000-01-16,33-031,PHO,,DEN,W 113-100,*,43,17,26,.654,14,21,.667,3,5,.600,13,15,.867,.767,3,5,8,4,0,2,0,2,50,44.8,19.7,25,F-C,robincl02
427,David Robinson,50,1994-02-21,28-199,SAS,@,MIN,W 114-89,*,38,18,32,.563,17,28,.607,1,4,.250,13,15,.867,.648,5,4,9,2,2,6,3,2,50,42.5,21.8,,C,robinda01
428,Derrick Rose,50,2018-10-31,30-027,MIN,,UTA,W 128-125,*,41,19,31,.613,15,24,.625,4,7,.571,8,11,.727,.698,0,4,4,6,1,1,6,4,50,34.2,4.7,10,G,rosede01
429,Amar'e Stoudemire,50,2005-01-02,22-047,PHO,,POR,W 117-98,*,41,20,27,.741,20,26,.769,0,1,.000,10,17,.588,.725,5,6,11,3,1,1,1,3,50,43.2,15.7,25,F-C,stoudam01
430,Jayson Tatum,50,2021-05-28,23-086,BOS,,BRK,W 125-119,*,41,16,30,.533,11,19,.579,5,11,.455,13,15,.867,.683,0,6,6,7,2,1,1,3,50,41.8,21.0,1,F,tatumja01
431,Kiki Vandeweghe,50,1984-01-11,25-163,DEN,,SAS,W 163-155,*,34,21,30,.700,20,29,.690,1,1,1.000,7,7,1.000,.756,1,3,4,2,1,1,1,1,50,40.7,,,F,vandeki01
432,Dwyane Wade,50,2009-02-22,27-036,MIA,@,ORL,L 99-122,*,37,17,30,.567,15,23,.652,2,7,.286,14,15,.933,.683,0,5,5,5,1,1,1,3,50,39.9,23.4,-16,G,wadedw01
433,Dwyane Wade,50,2009-03-14,27-056,MIA,,UTA,W 140-129 (3OT),*,52,19,39,.487,15,28,.536,4,11,.364,8,9,.889,.582,3,7,10,9,4,2,6,2,50,39.0,13.2,10,G,wadedw01
434,Victor Wembanyama,50,2024-11-13,20-314,SAS,,WAS,W 139-130,*,32,18,29,.621,10,13,.769,8,16,.500,6,9,.667,.758,1,5,6,2,1,3,1,3,50,40.2,15.6,13,C-F,wembavi01
435,Russell Westbrook,50,2017-04-09,28-148,OKC,@,DEN,W 106-105,*,37,17,32,.531,12,20,.600,5,12,.417,11,11,1.000,.679,2,14,16,10,1,0,2,1,50,45.6,32.1,10,G,westbru01
436,Dominique Wilkins,50,1986-04-19,26-097,ATL,,DET,W 137-125,*,43,19,28,.679,19,28,.679,0,0,,12,15,.800,.723,0,5,5,3,1,0,6,2,50,34.6,6.9,,F-G,wilkido01
437,Dominique Wilkins,50,1988-03-01,28-049,ATL,,DET,L 104-117,*,44,18,35,.514,17,33,.515,1,2,.500,13,14,.929,.607,4,1,5,3,1,0,1,3,50,36.3,13.5,,F-G,wilkido01
438,Lou Williams,50,2018-01-10,31-075,LAC,@,GSW,W 125-106,*,35,16,27,.593,8,11,.727,8,16,.500,10,10,1.000,.796,0,2,2,7,0,0,4,0,50,39.0,22.2,8,G,willilo02
439,Trae Young,50,2020-02-20,21-154,ATL,,MIA,W 129-124,*,40,12,25,.480,4,10,.400,8,15,.533,18,19,.947,.749,0,2,2,8,2,1,7,4,50,37.2,12.4,10,G,youngtr01
440,Mark Aguirre,49,1985-01-28,25-049,DAL,,PHI,W 111-109,*,39,17,25,.680,15,22,.682,2,3,.667,13,19,.684,.734,4,5,9,3,0,0,3,4,49,37.7,13.6,,F-G,aguirma01
441,Giannis Antetokounmpo,49,2021-05-02,26-147,MIL,,BRK,W 117-114,*,36,21,36,.583,17,28,.607,4,8,.500,3,6,.500,.634,1,7,8,4,1,3,1,2,49,37.9,20.4,5,F-G,antetgi01
442,Carmelo Anthony,49,2008-02-08,23-255,DEN,,WAS,W 111-100,*,39,19,25,.760,16,22,.727,3,3,1.000,8,8,1.000,.859,0,4,4,2,2,0,1,2,49,41.9,20.3,14,F,anthoca01
443,Desmond Bane,49,2023-12-06,25-164,MEM,@,DET,W 116-102,*,36,19,31,.613,15,23,.652,4,8,.500,7,7,1.000,.719,1,5,6,8,1,2,3,2,49,41.3,19.6,-1,G,banede01
444,Larry Bird,49,1988-01-27,31-051,BOS,,WSB,W 106-100,*,43,20,30,.667,20,26,.769,0,4,.000,9,9,1.000,.721,0,8,8,6,4,0,2,1,49,44.2,21.0,,F,birdla01
445,Larry Bird,49,1988-02-15,31-070,BOS,@,PHO,W 107-106,*,43,17,27,.630,14,21,.667,3,6,.500,12,12,1.000,.759,2,10,12,7,0,2,2,1,49,45.2,22.7,,F,birdla01
446,Larry Bird,49,1992-03-15,35-099,BOS,,POR,W 152-148 (2OT),*,54,19,35,.543,17,27,.630,2,8,.250,9,10,.900,.622,0,14,14,12,4,1,5,5,49,42.0,11.2,,F,birdla01
447,Otis Birdsong,49,1980-01-29,24-051,KCK,@,DEN,W 121-111,*,40,20,25,.800,20,25,.800,0,0,,9,15,.600,.775,1,3,4,3,3,1,2,3,49,41.3,,,G,birdsot01
448,Devin Booker,49,2022-03-24,25-145,PHO,@,DEN,W 140-130,*,39,16,25,.640,14,20,.700,2,5,.400,15,17,.882,.754,0,4,4,10,3,1,2,3,49,45.8,18.1,16,G,bookede01
449,Devin Booker,49,2022-11-18,26-019,PHO,@,UTA,L 133-134,*,41,16,31,.516,14,22,.636,2,9,.222,15,15,1.000,.652,1,7,8,10,1,0,1,3,49,42.3,11.7,-4,G,bookede01
450,Devin Booker,49,2024-04-28,27-181,PHO,,MIN,L 116-122,*,45,13,21,.619,10,16,.625,3,5,.600,20,21,.952,.810,0,5,5,6,2,1,2,5,49,43.5,16.9,1,G,bookede01
451,Kobe Bryant,49,2008-04-23,29-244,LAL,,DEN,W 122-107,*,42,18,27,.667,13,18,.722,5,9,.556,8,9,.889,.791,1,3,4,10,1,1,2,4,49,43.6,23.6,13,G-F,bryanko01
452,Kobe Bryant,49,2009-03-01,30-190,LAL,@,PHO,L 111-118,*,39,18,38,.474,15,29,.517,3,9,.333,10,10,1.000,.578,4,7,11,2,1,1,1,5,49,34.6,14.2,-11,G-F,bryanko01
453,Terry Catledge,49,1990-01-13,26-144,ORL,@,GSW,L 127-138,*,41,18,29,.621,18,28,.643,0,1,.000,13,15,.867,.688,6,3,9,1,0,0,2,1,49,38.5,7.8,,F,catlete01
454,Stephen Curry,49,2018-01-27,29-319,GSW,,BOS,W 109-105,*,37,16,24,.667,8,11,.727,8,13,.615,9,10,.900,.863,0,4,4,5,2,0,1,2,49,43.1,30.7,6,G,curryst01
455,Stephen Curry,49,2021-04-19,33-036,GSW,@,PHI,W 107-96,*,37,14,28,.500,4,11,.364,10,17,.588,11,12,.917,.736,0,3,3,5,0,0,6,2,49,32.2,19.1,11,G,curryst01
456,Stephen Curry,49,2021-05-08,33-055,GSW,,OKC,W 136-97,*,29,14,26,.538,3,5,.600,11,21,.524,10,10,1.000,.806,0,5,5,2,1,0,1,2,49,38.5,18.4,31,G,curryst01
457,DeMar DeRozan,49,2023-03-17,33-222,CHI,,MIN,W 139-131 (2OT),*,52,15,25,.600,13,21,.619,2,4,.500,17,18,.944,.744,2,12,14,4,3,0,1,3,49,45.7,12.3,11,G-F,derozde01
458,Luka Dončić,49,2022-02-17,22-354,DAL,@,NOP,W 125-118,*,38,17,35,.486,10,21,.476,7,14,.500,8,12,.667,.608,1,14,15,8,0,1,5,3,49,34.7,9.3,21,G-F,doncilu01
459,Luka Dončić,49,2023-10-27,24-241,DAL,,BRK,W 125-120,*,36,16,25,.640,7,11,.636,9,14,.643,8,10,.800,.833,1,9,10,7,0,0,0,1,49,45.0,29.1,9,G-F,doncilu01
460,Luka Dončić,49,2025-10-24,26-238,LAL,,MIN,W 128-110,*,35,14,23,.609,9,11,.818,5,12,.417,16,19,.842,.781,1,10,11,8,0,0,3,4,49,42.0,18.7,18,G-F,doncilu01
461,Kevin Durant,49,2018-11-26,30-058,GSW,,ORL,W 116-110,*,40,16,33,.485,12,23,.522,4,10,.400,13,13,1.000,.633,0,6,6,9,2,2,4,4,49,38.2,14.4,13,F-G,duranke01
462,Kevin Durant,49,2021-06-15,32-259,BRK,,MIL,W 114-108,*,48,16,23,.696,12,14,.857,4,9,.444,13,16,.813,.816,0,17,17,10,3,2,3,3,49,50.4,24.6,6,F-G,duranke01
463,Anthony Edwards,49,2022-04-07,20-245,MIN,,SAS,W 127-121,*,39,16,28,.571,10,14,.714,6,14,.429,11,14,.786,.717,2,4,6,8,1,0,2,2,49,41.0,18.0,18,G-F,edwaran01
464,Anthony Edwards,49,2025-02-05,23-184,MIN,,CHI,W 127-108,*,37,13,28,.464,7,14,.500,6,14,.429,17,18,.944,.682,3,6,9,3,1,1,5,2,49,36.1,14.4,17,G-F,edwaran01
465,Dale Ellis,49,1989-01-05,28-152,SEA,,SAC,W 120-106,*,43,20,32,.625,15,24,.625,5,8,.625,4,4,1.000,.726,2,4,6,2,3,2,5,0,49,38.0,16.8,,G-F,ellisda01
466,Joel Embiid,49,2020-02-24,25-345,PHI,,ATL,W 129-112,*,36,17,24,.708,16,21,.762,1,3,.333,14,15,.933,.801,4,10,14,3,3,1,4,4,49,44.6,16.8,19,C,embiijo01
467,De'Aaron Fox,49,2024-11-16,26-332,SAC,,UTA,W 121-117,*,36,16,30,.533,13,26,.500,3,4,.750,14,19,.737,.639,0,3,3,9,2,0,4,3,49,36.4,10.0,1,G,foxde01
468,World B. Free,49,1979-12-16,26-007,SDC,,DET,W 133-126,*,40,21,33,.636,21,33,.636,0,0,,7,12,.583,.640,5,1,6,5,0,0,6,1,49,33.2,,,G,freewo01
469,George Gervin,49,1981-02-17,28-296,SAS,,BOS,L 116-128,*,40,17,31,.548,17,29,.586,0,2,.000,15,17,.882,.637,2,4,6,2,0,0,4,4,49,31.7,,,G-F,gervige01
470,George Gervin,49,1982-02-17,29-296,SAS,,DET,W 126-112,*,33,22,29,.759,22,28,.786,0,1,.000,5,6,.833,.774,,,2,3,1,0,4,1,49,,,,G-F,gervige01
471,Jerami Grant,49,2024-02-08,29-333,POR,,DET,L 122-128 (OT),*,45,14,29,.483,11,23,.478,3,6,.500,18,20,.900,.648,2,6,8,6,0,0,4,5,49,34.9,2.8,-5,F,grantje01
472,James Harden,49,2019-11-16,30-082,HOU,@,MIN,W 125-105,*,39,16,41,.390,8,19,.421,8,22,.364,9,11,.818,.534,1,5,6,6,0,0,5,4,49,25.7,2.9,16,G,hardeja01
473,James Harden,49,2020-07-31,30-340,HOU,@,DAL,W 153-149 (OT),*,43,14,20,.700,11,11,1.000,3,9,.333,18,21,.857,.838,0,9,9,8,3,3,1,5,49,49.8,19.0,8,G,hardeja01
474,Brandon Ingram,49,2020-01-16,22-136,NOP,,UTA,W 138-132 (OT),*,41,15,25,.600,12,17,.706,3,8,.375,16,20,.800,.725,1,7,8,6,0,1,4,3,49,38.4,9.5,1,F,ingrabr01
475,Kyrie Irving,49,2017-01-23,24-306,CLE,@,NOP,L 122-124,*,42,15,28,.536,7,14,.500,8,14,.571,11,11,1.000,.746,0,2,2,4,2,1,0,4,49,39.9,18.5,12,G,irvinky01
476,Allen Iverson,49,2001-02-13,25-251,PHI,@,MIL,W 107-104,*,43,17,32,.531,14,27,.519,3,5,.600,12,14,.857,.642,2,3,5,2,2,0,5,3,49,32.1,12.3,1,G,iversal01
477,LeBron James,49,2009-05-20,24-141,CLE,,ORL,L 106-107,*,41,20,30,.667,17,24,.708,3,6,.500,6,10,.600,.712,3,3,6,8,2,3,2,1,49,44.7,29.6,7,F-G,jamesle01
478,LeBron James,49,2014-05-12,29-133,MIA,@,BRK,W 102-96,*,43,16,24,.667,13,18,.722,3,6,.500,14,19,.737,.757,0,6,6,2,3,0,1,5,49,39.8,19.2,13,F-G,jamesle01
479,Nikola Jokić,49,2022-01-19,26-334,DEN,,LAC,W 130-128 (OT),*,41,16,25,.640,13,20,.650,3,5,.600,14,16,.875,.765,7,7,14,10,3,1,5,4,49,48.2,24.3,15,C-F,jokicni01
480,Michael Jordan,49,1985-02-12,21-361,CHI,,DET,W 139-126 (OT),*,45,19,31,.613,19,31,.613,0,0,,11,13,.846,.667,7,8,15,5,4,0,6,5,49,40.9,12.1,,G-F,jordami01
481,Michael Jordan,49,1986-04-17,23-059,CHI,@,BOS,L 104-123,*,43,18,36,.500,18,36,.500,0,0,,13,15,.867,.575,0,4,4,2,2,1,5,3,49,29.3,8.7,,G-F,jordami01
482,Michael Jordan,49,1987-01-30,23-347,CHI,@,PHI,L 112-121,*,41,19,35,.543,19,31,.613,0,4,.000,11,12,.917,.608,1,1,2,5,3,2,4,4,49,35.0,12.7,,G-F,jordami01
483,Michael Jordan,49,1987-03-11,24-022,CHI,@,PHI,L 108-117,*,44,19,34,.559,18,33,.545,1,1,1.000,10,11,.909,.631,4,4,8,7,2,4,6,4,49,38.5,19.7,,G-F,jordami01
484,Michael Jordan,49,1987-11-21,24-277,CHI,,DET,L 132-144 (OT),*,44,17,38,.447,17,36,.472,0,2,.000,15,17,.882,.539,2,4,6,8,6,1,4,6,49,36.9,10.2,,G-F,jordami01
485,Michael Jordan,49,1988-02-19,25-002,CHI,,SAC,W 111-90,*,38,19,27,.704,19,27,.704,0,0,,11,14,.786,.739,2,1,3,3,3,3,5,2,49,39.6,18.5,,G-F,jordami01
486,Michael Jordan,49,1988-03-23,25-035,CHI,@,PHI,W 118-102,*,42,20,35,.571,20,34,.588,0,1,.000,9,12,.750,.608,5,8,13,2,0,2,0,4,49,38.4,18.4,,G-F,jordami01
487,Michael Jordan,49,1990-02-14,26-362,CHI,@,ORL,L 129-135 (OT),*,47,21,43,.488,21,41,.512,0,2,.000,7,10,.700,.517,1,6,7,2,0,1,0,1,49,30.3,6.1,,G-F,jordami01
488,Michael Jordan,49,1990-03-30,27-041,CHI,,NYK,W 107-106 (OT),*,45,20,34,.588,19,31,.613,1,3,.333,8,9,.889,.645,1,11,12,4,5,2,2,3,49,42.8,25.0,,G-F,jordami01
489,Michael Jordan,49,1990-05-11,27-083,CHI,@,PHI,L 112-118,*,42,19,34,.559,15,23,.652,4,11,.364,7,9,.778,.645,2,3,5,5,4,1,5,4,49,35.9,14.2,,G-F,jordami01
490,Michael Jordan,49,1992-11-24,29-281,CHI,@,GSW,W 101-92,*,44,18,30,.600,17,27,.630,1,3,.333,12,14,.857,.678,2,3,5,7,1,1,3,2,49,39.5,19.1,,G-F,jordami01
491,Michael Jordan,49,1997-11-21,34-277,CHI,@,LAC,W 111-102 (2OT),*,52,18,38,.474,18,36,.500,0,2,.000,13,19,.684,.528,2,3,5,5,1,1,4,3,49,29.5,9.5,15,G-F,jordami01
492,Bernard King,49,1991-01-31,34-058,WSB,@,NYK,W 107-98,*,43,20,35,.571,20,35,.571,0,0,,9,10,.900,.622,3,8,11,5,1,0,3,3,49,36.9,14.5,,F,kingbe01
493,Zach LaVine,49,2019-11-23,24-258,CHI,@,CHO,W 116-115,*,35,17,28,.607,4,11,.364,13,17,.765,2,2,1.000,.848,0,4,4,0,2,0,4,5,49,33.4,19.5,15,G-F,lavinza01
494,Damian Lillard,49,2017-03-19,26-247,POR,@,MIA,W 115-104,*,36,14,21,.667,5,9,.556,9,12,.750,12,12,1.000,.932,0,1,1,5,0,1,3,1,49,41.0,30.8,14,G,lillada01
495,Karl Malone,49,1990-03-29,26-248,UTA,@,GSW,L 123-128,*,41,17,22,.773,17,22,.773,0,0,,15,21,.714,.784,4,10,14,4,0,0,4,5,49,40.6,13.2,,F,malonka01
496,Moses Malone,49,1982-03-13,26-355,HOU,,POR,W 112-107,*,45,17,26,.654,17,26,.654,0,0,,15,19,.789,.713,5,7,12,3,1,5,4,3,49,43.0,,,C-F,malonmo01
497,Lauri Markkanen,49,2023-01-05,25-228,UTA,@,HOU,W 131-114,*,36,15,27,.556,9,12,.750,6,15,.400,13,13,1.000,.749,1,7,8,1,0,1,0,0,49,40.3,14.1,16,F-C,markkla01
498,Tracy McGrady,49,2001-04-13,21-324,ORL,@,WAS,L 110-113,*,44,19,31,.613,17,26,.654,2,5,.400,9,14,.643,.659,3,5,8,7,2,4,6,3,49,39.0,15.8,3,G-F,mcgratr01
499,Ja Morant,49,2022-10-21,23-072,MEM,@,HOU,W 129-122,*,31,17,26,.654,12,20,.600,5,6,.833,10,13,.769,.772,3,1,4,8,1,2,3,2,49,43.0,28.7,23,G,moranja01
500,Hakeem Olajuwon,49,1987-05-14,24-113,HOU,@,SEA,L 125-128 (2OT),*,53,19,33,.576,19,33,.576,0,0,,11,13,.846,.633,11,14,25,2,2,6,2,4,49,48.6,18.2,,C,olajuha01
501,Shaquille O'Neal,49,1993-12-09,21-278,ORL,@,IND,L 105-111,*,45,17,25,.680,17,25,.680,0,0,,15,18,.833,.744,3,8,11,3,2,0,2,3,49,42.5,16.0,,C,onealsh01
502,Shaquille O'Neal,49,1996-03-22,24-016,ORL,@,WSB,W 111-108 (OT),*,45,21,40,.525,21,40,.525,0,0,,7,13,.538,.536,8,9,17,2,1,3,3,4,49,35.2,11.7,,C,onealsh01
503,Shaquille O'Neal,49,2000-04-05,28-030,LAL,@,GSW,W 111-104,*,44,19,27,.704,19,27,.704,0,0,,11,16,.688,.720,2,11,13,1,0,3,2,3,49,40.0,12.3,8,C,onealsh01
504,Latrell Sprewell,49,2001-12-11,31-094,NYK,,BOS,L 93-102 (OT),*,48,18,32,.563,12,22,.545,6,10,.600,7,8,.875,.690,1,6,7,1,1,0,6,4,49,30.0,12.9,-2,G,sprewla01
505,Amar'e Stoudemire,49,2008-11-05,25-355,PHO,@,IND,W 113-103,*,44,17,21,.810,17,19,.895,0,2,.000,15,15,1.000,.888,1,10,11,6,5,2,4,3,49,50.2,21.6,11,F-C,stoudam01
506,Jayson Tatum,49,2022-11-30,24-272,BOS,,MIA,W 134-121,*,39,15,25,.600,7,13,.538,8,12,.667,11,12,.917,.809,1,10,11,3,2,0,1,3,49,42.7,16.3,29,F,tatumja01
507,Kelly Tripucka,49,1982-03-12,23-024,DET,,GSW,W 121-117,*,47,19,28,.679,19,28,.679,0,0,,11,16,.688,.699,4,4,8,1,3,0,4,4,49,37.1,,,F-G,tripuke01
508,Kiki Vandeweghe,49,1983-01-01,24-153,DEN,,PHO,W 127-125,*,38,18,24,.750,17,23,.739,1,1,1.000,12,12,1.000,.837,1,2,3,2,0,0,3,4,49,37.5,,,F,vandeki01
509,Antoine Walker,49,1998-01-07,21-148,BOS,@,WAS,L 108-110,*,42,21,36,.583,16,31,.516,5,5,1.000,2,7,.286,.627,2,10,12,0,1,0,5,6,49,28.2,7.0,2,F,walkean02
510,Russell Westbrook,49,2015-03-04,26-112,OKC,,PHI,W 123-118 (OT),*,42,16,33,.485,15,29,.517,1,4,.250,16,20,.800,.586,3,12,15,10,3,1,4,3,49,41.9,16.2,-12,G,westbru01
511,Russell Westbrook,49,2017-01-05,28-054,OKC,@,HOU,L 116-118,*,38,16,34,.471,8,19,.421,8,15,.533,9,11,.818,.631,1,7,8,5,2,0,5,2,49,33.3,15.7,2,G,westbru01
512,Paul Westphal,49,1980-02-21,29-083,PHO,@,DET,W 125-116,*,39,18,30,.600,16,28,.571,2,2,1.000,11,12,.917,.694,0,2,2,2,3,1,3,0,49,37.5,,,G,westppa01
513,Dominique Wilkins,49,1985-12-21,25-343,ATL,,HOU,W 123-122,*,47,19,32,.594,18,30,.600,1,2,.500,10,10,1.000,.673,4,7,11,1,3,0,2,1,49,40.4,12.7,,F-G,wilkido01
514,Dominique Wilkins,49,1988-02-09,28-028,ATL,,PHI,W 112-110,*,42,16,33,.485,12,26,.462,4,7,.571,13,18,.722,.599,6,6,12,4,2,0,4,2,49,36.3,16.0,,F-G,wilkido01
515,Trae Young,49,2019-03-01,20-163,ATL,,CHI,L 161-168 (4OT),*,56,17,33,.515,11,20,.550,6,13,.462,9,11,.818,.647,1,7,8,16,1,1,9,2,49,37.8,4.5,-9,G,youngtr01
516,Trae Young,49,2019-11-29,21-071,ATL,@,IND,L 104-105 (OT),*,43,16,28,.571,8,13,.615,8,15,.533,9,9,1.000,.767,0,1,1,6,2,0,9,1,49,32.9,17.8,1,G,youngtr01
517,LaMarcus Aldridge,48,2019-03-24,33-248,SAS,@,BOS,W 115-96,*,37,20,31,.645,19,30,.633,1,1,1.000,7,8,.875,.695,3,10,13,6,0,1,3,5,48,38.9,18.8,23,F-C,aldrila01
518,Giannis Antetokounmpo,48,2019-12-16,25-010,MIL,,DAL,L 116-120,*,34,18,31,.581,17,25,.680,1,6,.167,11,16,.688,.631,4,10,14,4,1,1,3,3,48,37.6,19.3,-1,F-G,antetgi01
519,Giannis Antetokounmpo,48,2024-01-06,29-031,MIL,@,HOU,L 108-112,*,39,16,25,.640,15,23,.652,1,2,.500,15,21,.714,.701,3,14,17,2,0,1,2,4,48,39.3,15.9,-1,F-G,antetgi01
520,Giannis Antetokounmpo,48,2024-02-03,29-059,MIL,@,DAL,W 129-117,*,40,20,28,.714,18,23,.783,2,5,.400,6,10,.600,.741,1,5,6,10,5,1,1,3,48,47.5,23.3,15,F-G,antetgi01
521,Larry Bird,48,1984-12-09,28-002,BOS,,ATL,W 128-127,*,42,20,32,.625,20,30,.667,0,2,.000,8,9,.889,.667,2,12,14,5,1,1,2,3,48,40.2,16.1,,F,birdla01
522,Larry Bird,48,1985-01-27,28-051,BOS,,POR,W 128-127,*,45,17,28,.607,15,23,.652,2,5,.400,12,12,1.000,.721,1,9,10,7,3,1,5,3,48,41.0,15.6,,F,birdla01
523,Larry Bird,48,1985-03-17,28-100,BOS,,HOU,W 134-120,*,43,17,32,.531,17,30,.567,0,2,.000,14,15,.933,.622,4,11,15,7,2,0,3,1,48,41.6,10.5,,F,birdla01
524,Bojan Bogdanović,48,2021-05-07,32-019,UTA,,DEN,W 127-120,*,39,16,23,.696,8,12,.667,8,11,.727,8,8,1.000,.905,1,7,8,2,2,0,5,4,48,37.9,15.9,4,G-F,bogdabo02
525,Devin Booker,48,2019-03-30,22-151,PHO,,MEM,L 115-120,*,43,19,29,.655,16,23,.696,3,6,.500,7,8,.875,.738,1,2,3,11,0,0,6,3,48,36.7,8.2,1,G,bookede01
526,Devin Booker,48,2022-01-17,25-079,PHO,@,SAS,W 121-107,*,35,18,33,.545,13,20,.650,5,13,.385,7,8,.875,.657,0,5,5,6,3,0,0,2,48,39.6,23.7,3,G,bookede01
527,Jalen Brunson,48,2023-03-31,26-212,NYK,@,CLE,W 130-116,*,38,18,32,.563,11,20,.550,7,12,.583,5,8,.625,.676,2,2,4,9,0,0,2,1,48,37.5,15.9,3,G,brunsja01
528,Kobe Bryant,48,2001-05-13,22-263,LAL,@,SAC,W 119-113,*,48,15,29,.517,14,28,.500,1,1,1.000,17,19,.895,.642,9,7,16,3,2,1,2,2,48,43.3,15.8,6,G-F,bryanko01
529,Kobe Bryant,48,2004-12-28,26-127,LAL,,TOR,W 117-99,*,46,14,26,.538,10,19,.526,4,7,.571,16,18,.889,.708,0,2,2,4,2,0,5,2,48,34.2,10.5,21,G-F,bryanko01
530,Kobe Bryant,48,2006-01-06,27-136,LAL,,PHI,W 119-93,*,35,19,29,.655,12,22,.545,7,7,1.000,3,4,.750,.780,0,10,10,2,2,0,7,2,48,33.5,13.8,23,G-F,bryanko01
531,Kobe Bryant,48,2008-01-14,29-144,LAL,@,SEA,W 123-121 (OT),*,42,21,44,.477,19,36,.528,2,8,.250,4,7,.571,.510,0,2,2,2,1,0,1,1,48,26.0,3.4,-3,G-F,bryanko01
532,Kobe Bryant,48,2012-01-10,33-140,LAL,,PHO,W 99-83,*,39,18,31,.581,18,28,.643,0,3,.000,12,13,.923,.654,0,5,5,3,3,0,2,2,48,36.9,20.5,16,G-F,bryanko01
533,Vince Carter,48,2000-11-18,23-297,TOR,,MIL,W 111-102,*,45,14,31,.452,11,24,.458,3,7,.429,17,18,.944,.617,5,5,10,4,3,2,2,3,48,40.5,17.9,8,G-F,cartevi01
534,Vince Carter,48,2010-02-08,33-013,ORL,,NOH,W 123-117,*,38,19,27,.704,13,17,.765,6,10,.600,4,4,1.000,.834,0,7,7,2,0,0,2,5,48,36.2,14.1,19,G-F,cartevi01
535,DeMarcus Cousins,48,2016-01-23,25-163,SAC,,IND,W 108-97,*,39,17,29,.586,16,27,.593,1,2,.500,13,20,.650,.635,2,11,13,2,1,0,5,4,48,32.2,11.4,16,C-F,couside01
536,Stephen Curry,48,2019-01-13,30-305,GSW,@,DAL,W 119-114,*,37,17,32,.531,6,13,.462,11,19,.579,3,3,1.000,.720,3,3,6,5,1,2,0,5,48,39.3,26.6,9,G,curryst01
537,Adrian Dantley,48,1981-03-18,26-018,UTA,,DAL,W 120-113,*,48,17,25,.680,17,25,.680,0,0,,14,15,.933,.759,,,11,7,,0,,3,48,,,,F-G,dantlad01
538,Anthony Davis,48,2018-01-14,24-309,NOP,@,NYK,W 123-118 (OT),*,50,17,30,.567,15,24,.625,2,6,.333,12,15,.800,.656,6,11,17,0,4,3,4,2,48,41.4,10.4,0,F-C,davisan02
539,Anthony Davis,48,2018-12-28,25-292,NOP,,DAL,W 114-112,*,43,20,32,.625,20,30,.667,0,2,.000,8,11,.727,.651,7,10,17,4,2,2,1,3,48,44.3,20.5,2,F-C,davisan02
540,Clyde Drexler,48,1989-01-22,26-214,POR,,NYK,L 116-120,*,39,20,28,.714,20,28,.714,0,0,,8,9,.889,.751,4,7,11,6,4,0,5,4,48,42.5,17.7,,G,drexlcl01
541,Clyde Drexler,48,1991-11-24,29-155,POR,,SAS,W 116-111,*,40,17,28,.607,14,21,.667,3,7,.429,11,13,.846,.712,1,5,6,3,6,3,1,2,48,45.0,31.6,,G,drexlcl01
542,Mike Dunleavy,48,1980-12-06,26-260,HOU,,DEN,W 111-108,,34,19,30,.633,19,30,.633,0,0,,10,13,.769,.672,1,3,4,6,2,0,3,2,48,37.4,,,G,dunlemi01
543,Kevin Durant,48,2014-01-04,25-097,OKC,@,MIN,W 115-111,*,43,16,32,.500,12,23,.522,4,9,.444,12,13,.923,.636,0,7,7,7,2,1,3,2,48,37.5,15.1,0,F-G,duranke01
544,Kevin Durant,48,2014-01-07,25-100,OKC,@,UTA,L 101-112,*,45,14,34,.412,11,21,.524,3,13,.231,17,19,.895,.567,0,7,7,5,4,2,0,2,48,39.2,20.2,-12,F-G,duranke01
545,Kevin Durant,48,2021-06-19,32-263,BRK,,MIL,L 111-115 (OT),*,53,17,36,.472,13,25,.520,4,11,.364,10,11,.909,.588,1,8,9,6,1,1,3,4,48,33.6,10.4,-4,F-G,duranke01
546,Anthony Edwards,48,2021-11-10,20-097,MIN,@,GSW,L 110-123,*,42,16,27,.593,9,14,.643,7,13,.538,9,12,.750,.743,2,4,6,5,2,0,6,1,48,36.0,17.2,-3,G-F,edwaran01
547,Monta Ellis,48,2012-02-07,26-104,GSW,,OKC,L 116-119,*,42,18,29,.621,15,23,.652,3,6,.500,9,10,.900,.719,1,6,7,2,2,1,3,2,48,37.3,10.5,5,G,ellismo01
548,Joel Embiid,48,2022-12-27,28-286,PHI,@,WAS,L 111-116,*,36,17,32,.531,16,27,.593,1,5,.200,13,14,.929,.629,4,6,10,1,3,3,3,5,48,37.4,15.8,8,C,embiijo01
549,Joel Embiid,48,2023-11-06,29-235,PHI,,WAS,W 146-128,*,31,17,25,.680,17,23,.739,0,2,.000,14,14,1.000,.770,2,9,11,6,1,1,1,2,48,45.5,18.4,15,C,embiijo01
550,Paul George,48,2015-12-05,25-217,IND,@,UTA,L 119-122 (OT),*,42,15,27,.556,7,16,.438,8,11,.727,10,13,.769,.733,0,8,8,3,3,0,2,4,48,37.8,22.7,-12,F-G,georgpa01
