Season,Team Name,3PA/G,W/L%,average
2011,Chicago Bulls,16.9,0.758,False
2012,Utah Jazz,16.9,0.524,False
2000,Miami Heat,16.9,0.61,False
2009,Sacramento Kings,16.9,0.305,False
1996,Charlotte Hornets,16.9,0.659,False
2011,Los Angeles Lakers,16.8,0.621,False
2014,Washington Wizards,16.8,0.561,False
2009,Philadelphia 76ers,16.8,0.329,False
1999,New Jersey Nets,16.8,0.378,False
1995,Los Angeles Clippers,16.8,0.354,False
2007,Miami Heat,16.7,0.183,False
1996,New Jersey Nets,16.7,0.317,False
2006,New York Knicks,16.7,0.402,False
2007,Sacramento Kings,16.7,0.463,False
2002,Los Angeles Lakers,16.7,0.61,False
1996,Golden State Warriors,16.6,0.366,False
2006,Memphis Grizzlies,16.6,0.268,False
2005,San Antonio Spurs,16.6,0.768,False
1995,Los Angeles Lakers,16.6,0.646,False
1995,Portland Trail Blazers,16.6,0.537,False
2003,Miami Heat,16.5,0.512,False
2000,Dallas Mavericks,16.5,0.646,False
1996,Philadelphia 76ers,16.5,0.268,False
2008,Boston Celtics,16.5,0.756,False
2000,Sacramento Kings,16.5,0.671,False
2014,Sacramento Kings,16.5,0.354,False
1995,Detroit Pistons,16.5,0.561,False
1995,Chicago Bulls,16.5,0.878,False
1994,Milwaukee Bucks,16.5,0.415,False
2015,Minnesota Timberwolves,16.4,0.354,False
2000,Orlando Magic,16.4,0.524,False
2001,New York Knicks,16.4,0.366,False
2008,Charlotte Bobcats,16.3,0.427,False
1996,Los Angeles Clippers,16.3,0.439,False
2010,New Jersey Nets,16.3,0.293,False
2011,Toronto Raptors,16.3,0.348,False
2011,Washington Wizards,16.3,0.303,False
2005,Milwaukee Bucks,16.3,0.488,False
2009,Charlotte Bobcats,16.2,0.537,False
1996,Boston Celtics,16.2,0.183,False
2007,Detroit Pistons,16.2,0.72,False
1999,Dallas Mavericks,16.2,0.488,False
2011,Indiana Pacers,16.1,0.636,False
1995,San Antonio Spurs,16.1,0.72,False
1998,Miami Heat,16.1,0.66,False
2001,Portland Trail Blazers,16.1,0.598,False
2004,New Orleans Hornets,16.0,0.22,False
1996,Dallas Mavericks,16.0,0.293,False
2003,Memphis Grizzlies,16.0,0.61,False
2007,Milwaukee Bucks,16.0,0.317,False
1998,Indiana Pacers,16.0,0.66,False
2007,Chicago Bulls,15.9,0.402,False
2006,Detroit Pistons,15.9,0.646,False
1994,Seattle SuperSonics,15.9,0.695,False
2013,New Orleans Pelicans,15.9,0.415,False
1994,New Jersey Nets,15.8,0.366,False
2003,Toronto Raptors,15.8,0.402,False
1996,New York Knicks,15.8,0.695,False
2008,Chicago Bulls,15.8,0.5,False
2001,Seattle SuperSonics,15.8,0.549,False
2002,Seattle SuperSonics,15.7,0.488,False
2005,Boston Celtics,15.7,0.402,False
2008,Toronto Raptors,15.7,0.402,False
2002,Sacramento Kings,15.7,0.72,False
2001,Denver Nuggets,15.7,0.329,False
1995,New York Knicks,15.7,0.573,False
1993,Houston Rockets,15.7,0.707,False
1996,Cleveland Cavaliers,15.7,0.512,False
2006,Boston Celtics,15.6,0.293,False
2003,Golden State Warriors,15.6,0.451,False
2003,Indiana Pacers,15.6,0.744,False
2006,Charlotte Bobcats,15.6,0.402,False
2011,Miami Heat,15.6,0.697,False
2002,Memphis Grizzlies,15.6,0.341,False
2015,Milwaukee Bucks,15.6,0.402,False
2010,Sacramento Kings,15.6,0.293,False
2000,Los Angeles Lakers,15.5,0.683,False
1996,Vancouver Grizzlies,15.5,0.171,False
2004,Dallas Mavericks,15.5,0.707,False
2002,San Antonio Spurs,15.5,0.732,False
2003,Washington Wizards,15.5,0.305,False
2002,Houston Rockets,15.5,0.524,False
1999,Los Angeles Clippers,15.5,0.183,False
1994,Portland Trail Blazers,15.4,0.537,False
2012,Chicago Bulls,15.4,0.549,False
1994,Washington Bullets,15.4,0.256,False
2005,Charlotte Bobcats,15.4,0.317,False
2004,Miami Heat,15.4,0.72,False
1999,Boston Celtics,15.4,0.427,False
2007,Minnesota Timberwolves,15.4,0.268,False
2010,Detroit Pistons,15.3,0.366,False
2010,Utah Jazz,15.3,0.476,False
2006,NOK,15.3,0.476,False
2003,Chicago Bulls,15.3,0.28,False
2004,Boston Celtics,15.3,0.549,False
2003,Atlanta Hawks,15.2,0.341,False
1997,Boston Celtics,15.2,0.439,False
2010,Philadelphia 76ers,15.2,0.5,False
2003,Orlando Magic,15.2,0.256,False
2014,Memphis Grizzlies,15.2,0.671,False
1999,Phoenix Suns,15.2,0.646,False
1998,Boston Celtics,15.2,0.38,False
2004,New York Knicks,15.1,0.402,False
2006,Chicago Bulls,15.1,0.598,False
2002,Golden State Warriors,15.1,0.463,False
2010,New Orleans Hornets,15.0,0.561,False
2006,Portland Trail Blazers,15.0,0.39,False
2009,Oklahoma City Thunder,15.0,0.61,False
2011,Boston Celtics,15.0,0.591,False
2009,Washington Wizards,14.9,0.317,False
2014,Minnesota Timberwolves,14.9,0.195,False
1999,Detroit Pistons,14.9,0.512,False
1995,Washington Bullets,14.8,0.476,False
2001,San Antonio Spurs,14.8,0.707,False
1997,Phoenix Suns,14.8,0.683,False
2009,Utah Jazz,14.7,0.646,False
1998,Charlotte Hornets,14.7,0.52,False
2010,Charlotte Bobcats,14.7,0.415,False
2004,New Jersey Nets,14.7,0.512,False
2003,Phoenix Suns,14.7,0.354,False
1999,Miami Heat,14.7,0.634,False
1994,Dallas Mavericks,14.6,0.439,False
1995,Golden State Warriors,14.6,0.439,False
2008,Washington Wizards,14.6,0.232,False
2011,Philadelphia 76ers,14.6,0.53,False
2001,Indiana Pacers,14.6,0.512,False
2001,Atlanta Hawks,14.6,0.402,False
2001,New Jersey Nets,14.6,0.634,False
1995,Sacramento Kings,14.6,0.476,False
2002,Toronto Raptors,14.5,0.293,False
2009,Detroit Pistons,14.5,0.329,False
1994,Chicago Bulls,14.5,0.573,False
2009,New Jersey Nets,14.5,0.146,False
1997,Dallas Mavericks,14.4,0.244,False
2010,Washington Wizards,14.4,0.28,False
1994,Miami Heat,14.4,0.39,False
2009,Minnesota Timberwolves,14.4,0.183,False
1996,San Antonio Spurs,14.4,0.244,False
2002,Los Angeles Clippers,14.4,0.329,False
1999,Toronto Raptors,14.3,0.549,False
2000,Seattle SuperSonics,14.3,0.537,False
1995,Toronto Raptors,14.2,0.256,False
2000,Toronto Raptors,14.2,0.573,False
2004,Portland Trail Blazers,14.2,0.329,False
2001,Sacramento Kings,14.1,0.744,False
1994,Denver Nuggets,14.1,0.5,False
2000,Indiana Pacers,14.1,0.5,False
1994,San Antonio Spurs,14.1,0.756,False
2005,Atlanta Hawks,14.1,0.317,False
1998,Phoenix Suns,14.0,0.54,False
2002,Portland Trail Blazers,14.0,0.61,False
2002,Phoenix Suns,14.0,0.537,False
1995,Denver Nuggets,14.0,0.427,False
2013,Memphis Grizzlies,14.0,0.61,False
2001,Los Angeles Clippers,14.0,0.476,False
1988,New York Knicks,14.0,0.634,False
2004,Minnesota Timberwolves,14.0,0.537,False
2003,Milwaukee Bucks,14.0,0.5,False
2002,Atlanta Hawks,13.9,0.427,False
2003,San Antonio Spurs,13.9,0.695,False
1997,New York Knicks,13.9,0.524,False
2011,Detroit Pistons,13.9,0.379,False
1993,Orlando Magic,13.9,0.61,False
1996,Indiana Pacers,13.8,0.476,False
1995,Vancouver Grizzlies,13.8,0.183,False
1999,Portland Trail Blazers,13.8,0.72,False
1998,Los Angeles Lakers,13.7,0.62,False
2003,New Jersey Nets,13.7,0.573,False
2008,Utah Jazz,13.7,0.585,False
2010,Boston Celtics,13.6,0.683,False
2002,Indiana Pacers,13.6,0.585,False
2003,Los Angeles Lakers,13.6,0.683,False
2003,New York Knicks,13.6,0.476,False
2000,New York Knicks,13.6,0.585,False
1998,Detroit Pistons,13.6,0.58,False
1998,New Jersey Nets,13.6,0.32,False
2005,Dallas Mavericks,13.6,0.732,False
2000,Detroit Pistons,13.6,0.39,False
2001,Toronto Raptors,13.5,0.512,False
2011,Charlotte Bobcats,13.5,0.106,False
2012,Memphis Grizzlies,13.5,0.683,False
1998,Orlando Magic,13.5,0.66,False
1998,Portland Trail Blazers,13.5,0.7,False
2008,Memphis Grizzlies,13.5,0.293,False
2003,Portland Trail Blazers,13.4,0.5,False
2002,Miami Heat,13.4,0.305,False
2001,Memphis Grizzlies,13.4,0.28,False
2001,Phoenix Suns,13.4,0.439,False
1998,Los Angeles Clippers,13.4,0.18,False
2007,Utah Jazz,13.4,0.659,False
1992,Phoenix Suns,13.4,0.756,False
2000,San Antonio Spurs,13.3,0.707,False
1996,Minnesota Timberwolves,13.3,0.488,False
2010,Toronto Raptors,13.3,0.268,False
2006,Minnesota Timberwolves,13.3,0.39,False
1997,Toronto Raptors,13.2,0.195,False
1998,Toronto Raptors,13.2,0.46,False
2000,New Jersey Nets,13.2,0.317,False
2008,Detroit Pistons,13.2,0.476,False
2007,Los Angeles Clippers,13.2,0.28,False
2007,Atlanta Hawks,13.1,0.451,False
2005,Denver Nuggets,13.1,0.537,False
1992,Atlanta Hawks,13.1,0.524,False
2002,New Orleans Hornets,13.1,0.573,False
1992,Houston Rockets,13.1,0.671,False
2008,Philadelphia 76ers,13.1,0.5,False
1999,Golden State Warriors,13.0,0.232,False
1999,Milwaukee Bucks,13.0,0.512,False
2009,Chicago Bulls,13.0,0.5,False
2000,Los Angeles Clippers,13.0,0.378,False
1990,Denver Nuggets,12.9,0.244,False
1996,Sacramento Kings,12.9,0.415,False
2000,Portland Trail Blazers,12.9,0.61,False
1998,Atlanta Hawks,12.9,0.62,False
2006,Utah Jazz,12.9,0.622,False
1995,Milwaukee Bucks,12.9,0.305,False
2011,Memphis Grizzlies,12.9,0.621,False
2000,Phoenix Suns,12.9,0.622,False
2004,Detroit Pistons,12.8,0.659,False
1994,Los Angeles Clippers,12.8,0.207,False
2011,Utah Jazz,12.8,0.545,False
2001,Minnesota Timberwolves,12.8,0.61,False
1999,Los Angeles Lakers,12.8,0.817,False
1997,Portland Trail Blazers,12.8,0.561,False
2005,Portland Trail Blazers,12.7,0.256,False
1993,Phoenix Suns,12.7,0.683,False
2002,New Jersey Nets,12.7,0.598,False
1993,Detroit Pistons,12.7,0.244,False
2006,Atlanta Hawks,12.7,0.366,False
1994,Sacramento Kings,12.6,0.476,False
1994,Cleveland Cavaliers,12.6,0.524,False
1999,Chicago Bulls,12.6,0.207,False
2005,Philadelphia 76ers,12.6,0.463,False
1997,Indiana Pacers,12.5,0.707,False
2001,Cleveland Cavaliers,12.5,0.354,False
2003,Los Angeles Clippers,12.5,0.341,False
2009,Memphis Grizzlies,12.4,0.488,False
1993,Milwaukee Bucks,12.4,0.244,False
1997,Atlanta Hawks,12.4,0.61,False
1994,Minnesota Timberwolves,12.4,0.256,False
1998,Milwaukee Bucks,12.4,0.56,False
1995,Utah Jazz,12.4,0.671,False
1991,Milwaukee Bucks,12.3,0.378,False
1998,Chicago Bulls,12.2,0.26,False
1999,Charlotte Hornets,12.2,0.598,False
1996,Washington Bullets,12.2,0.537,False
2002,Chicago Bulls,12.2,0.366,False
1993,Miami Heat,12.2,0.512,False
2001,Charlotte Hornets,12.1,0.537,False
2001,Golden State Warriors,12.1,0.256,False
2003,Philadelphia 76ers,12.1,0.402,False
1990,Houston Rockets,12.1,0.634,False
2003,Denver Nuggets,12.0,0.524,False
1994,Indiana Pacers,12.0,0.634,False
2000,Charlotte Hornets,12.0,0.561,False
1995,Phoenix Suns,12.0,0.5,False
1994,Boston Celtics,12.0,0.427,False
1998,Dallas Mavericks,11.9,0.38,False
2004,Atlanta Hawks,11.9,0.159,False
1995,Indiana Pacers,11.9,0.634,False
2003,Detroit Pistons,11.8,0.659,False
1998,New York Knicks,11.8,0.54,False
2011,New Orleans Hornets,11.8,0.318,False
2000,Golden State Warriors,11.8,0.207,False
2006,Orlando Magic,11.7,0.488,False
1997,Chicago Bulls,11.7,0.756,False
1991,Houston Rockets,11.7,0.512,False
2007,Philadelphia 76ers,11.6,0.488,False
1998,Washington Wizards,11.6,0.36,False
2000,Chicago Bulls,11.6,0.183,False
2008,Oklahoma City Thunder,11.6,0.28,False
2000,Vancouver Grizzlies,11.5,0.28,False
1997,Washington Wizards,11.5,0.512,False
1991,Portland Trail Blazers,11.5,0.695,False
2005,Minnesota Timberwolves,11.5,0.402,False
1993,Philadelphia 76ers,11.5,0.305,False
1992,Philadelphia 76ers,11.5,0.317,False
2004,Denver Nuggets,11.5,0.598,False
1992,Miami Heat,11.5,0.439,False
1991,Indiana Pacers,11.5,0.488,False
2007,Seattle SuperSonics,11.5,0.244,False
1997,Detroit Pistons,11.4,0.451,False
1999,New York Knicks,11.4,0.61,False
1997,New Jersey Nets,11.4,0.524,False
1994,Philadelphia 76ers,11.4,0.293,False
1992,Milwaukee Bucks,11.4,0.341,False
2000,Atlanta Hawks,11.4,0.305,False
1998,Golden State Warriors,11.3,0.42,False
2010,Memphis Grizzlies,11.3,0.561,False
2005,Utah Jazz,11.3,0.5,False
2004,Milwaukee Bucks,11.3,0.366,False
1996,Milwaukee Bucks,11.2,0.402,False
1999,Cleveland Cavaliers,11.2,0.39,False
2004,Orlando Magic,11.2,0.439,False
1993,Charlotte Hornets,11.2,0.5,False
1993,New York Knicks,11.1,0.695,False
1992,Detroit Pistons,11.1,0.488,False
1997,Orlando Magic,11.1,0.5,False
2004,Cleveland Cavaliers,11.0,0.512,False
1997,Charlotte Hornets,11.0,0.622,False
1990,Portland Trail Blazers,11.0,0.768,False
2006,Los Angeles Clippers,11.0,0.488,False
1996,Utah Jazz,11.0,0.78,False
2000,Minnesota Timberwolves,11.0,0.573,False
2001,Miami Heat,11.0,0.439,False
1999,Vancouver Grizzlies,11.0,0.268,False
1997,Vancouver Grizzlies,11.0,0.232,False
2003,Minnesota Timberwolves,10.9,0.707,False
2002,Cleveland Cavaliers,10.9,0.207,False
1997,Denver Nuggets,10.9,0.134,False
1999,Washington Wizards,10.9,0.354,False
1992,Orlando Magic,10.8,0.5,False
2005,NOK,10.8,0.463,False
2005,New York Knicks,10.8,0.28,False
1999,San Antonio Spurs,10.8,0.646,False
2004,Charlotte Bobcats,10.7,0.22,False
1998,Cleveland Cavaliers,10.7,0.44,False
1997,Minnesota Timberwolves,10.6,0.549,False
1999,Orlando Magic,10.6,0.5,False
2001,Chicago Bulls,10.6,0.256,False
1997,San Antonio Spurs,10.5,0.683,False
1993,Golden State Warriors,10.5,0.61,False
1995,Minnesota Timberwolves,10.5,0.317,False
1998,San Antonio Spurs,10.4,0.74,False
1999,Utah Jazz,10.4,0.671,False
2000,Utah Jazz,10.4,0.646,False
1992,Golden State Warriors,10.4,0.415,False
1989,Cleveland Cavaliers,10.4,0.512,False
2000,Washington Wizards,10.3,0.232,False
2005,Los Angeles Clippers,10.3,0.573,False
1992,Portland Trail Blazers,10.3,0.622,False
2001,Utah Jazz,10.3,0.537,False
1989,Los Angeles Lakers,10.3,0.768,False
1992,Dallas Mavericks,10.2,0.134,False
1990,Atlanta Hawks,10.2,0.524,False
1993,Los Angeles Clippers,10.1,0.329,False
1993,Atlanta Hawks,10.1,0.695,False
2002,Denver Nuggets,10.0,0.207,False
1988,Sacramento Kings,10.0,0.329,False
2006,Philadelphia 76ers,10.0,0.427,False
1999,Atlanta Hawks,9.9,0.341,False
1993,Cleveland Cavaliers,9.9,0.573,False
2002,Washington Wizards,9.9,0.451,False
1997,Philadelphia 76ers,9.9,0.378,False
1997,Sacramento Kings,9.8,0.329,False
2002,Minnesota Timberwolves,9.8,0.622,False
2000,Philadelphia 76ers,9.8,0.683,False
1993,Los Angeles Lakers,9.8,0.402,False
1997,Cleveland Cavaliers,9.8,0.573,False
1994,Utah Jazz,9.8,0.732,False
1990,Golden State Warriors,9.8,0.537,False
1991,Dallas Mavericks,9.7,0.268,False
2005,Orlando Magic,9.7,0.439,False
1992,Indiana Pacers,9.6,0.5,False
1992,Sacramento Kings,9.6,0.305,False
2002,Philadelphia 76ers,9.6,0.585,False
2003,Cleveland Cavaliers,9.6,0.427,False
2003,Utah Jazz,9.6,0.512,False
2001,Washington Wizards,9.6,0.451,False
1988,Seattle SuperSonics,9.4,0.573,False
1993,Dallas Mavericks,9.4,0.159,False
1993,Portland Trail Blazers,9.4,0.573,False
1989,Indiana Pacers,9.4,0.512,False
1991,Golden State Warriors,9.3,0.671,False
2004,Utah Jazz,9.3,0.317,False
1990,Orlando Magic,9.2,0.378,False
1990,Milwaukee Bucks,9.2,0.585,False
1991,Miami Heat,9.2,0.463,False
1989,Golden State Warriors,9.1,0.451,False
1990,Indiana Pacers,9.1,0.5,False
1995,New Jersey Nets,9.1,0.366,False
1993,Washington Bullets,9.1,0.293,False
1990,Los Angeles Lakers,9.1,0.707,False
1998,Vancouver Grizzlies,9.1,0.16,False
1992,Cleveland Cavaliers,9.0,0.659,False
1993,Sacramento Kings,8.9,0.341,False
1993,Seattle SuperSonics,8.8,0.768,False
1999,Minnesota Timberwolves,8.7,0.61,False
2001,Philadelphia 76ers,8.7,0.524,False
1993,San Antonio Spurs,8.7,0.671,False
1989,New York Knicks,8.7,0.549,False
1991,Cleveland Cavaliers,8.6,0.695,False
1987,Boston Celtics,8.6,0.695,False
1997,Milwaukee Bucks,8.6,0.439,False
1997,Golden State Warriors,8.5,0.232,False
1992,San Antonio Spurs,8.4,0.598,False
1993,New Jersey Nets,8.3,0.549,False
1988,Dallas Mavericks,8.3,0.463,False
1991,Philadelphia 76ers,8.3,0.427,False
1989,Denver Nuggets,8.3,0.524,False
1988,Denver Nuggets,8.2,0.537,False
1991,Sacramento Kings,8.2,0.354,False
1998,Minnesota Timberwolves,8.2,0.5,False
1991,Atlanta Hawks,8.2,0.463,False
1997,Utah Jazz,8.2,0.756,False
1991,New Jersey Nets,8.2,0.488,False
1989,Milwaukee Bucks,8.2,0.537,False
2004,Los Angeles Clippers,8.2,0.451,False
1992,Chicago Bulls,8.2,0.695,False
1989,Chicago Bulls,8.2,0.671,False
1988,Los Angeles Lakers,8.1,0.695,False
2000,Cleveland Cavaliers,8.0,0.366,False
1993,Chicago Bulls,8.0,0.671,False
1986,Dallas Mavericks,8.0,0.671,False
1989,Seattle SuperSonics,7.9,0.5,False
1989,Sacramento Kings,7.9,0.28,False
1991,Seattle SuperSonics,7.9,0.573,False
1988,Philadelphia 76ers,7.9,0.561,False
1988,Portland Trail Blazers,7.9,0.476,False
1999,Philadelphia 76ers,7.8,0.598,False
2002,Utah Jazz,7.8,0.573,False
1987,Seattle SuperSonics,7.8,0.537,False
1998,Utah Jazz,7.8,0.74,False
1989,Utah Jazz,7.7,0.671,False
1988,Golden State Warriors,7.7,0.524,False
1992,Los Angeles Lakers,7.6,0.476,False
1991,New York Knicks,7.5,0.622,False
1990,Philadelphia 76ers,7.5,0.537,False
1988,Indiana Pacers,7.5,0.341,False
1989,Charlotte Hornets,7.5,0.232,False
1992,Seattle SuperSonics,7.4,0.671,False
1998,Philadelphia 76ers,7.4,0.56,False
1991,Orlando Magic,7.4,0.256,False
1992,New York Knicks,7.4,0.732,False
1990,Dallas Mavericks,7.3,0.341,False
1993,Denver Nuggets,7.3,0.512,False
1991,Phoenix Suns,7.3,0.646,False
1990,New Jersey Nets,7.1,0.317,False
1992,Washington Bullets,7.0,0.268,False
1990,Sacramento Kings,7.0,0.305,False
1986,Milwaukee Bucks,7.0,0.61,False
1986,Seattle SuperSonics,7.0,0.476,False
1992,Minnesota Timberwolves,6.9,0.232,False
1988,New Jersey Nets,6.9,0.317,False
1988,Milwaukee Bucks,6.9,0.598,False
1987,New York Knicks,6.9,0.463,False
1989,Portland Trail Blazers,6.9,0.72,False
1986,Boston Celtics,6.9,0.72,False
1987,Denver Nuggets,6.9,0.659,False
1993,Utah Jazz,6.8,0.646,False
1990,New York Knicks,6.8,0.476,False
1993,Minnesota Timberwolves,6.8,0.244,False
1989,Philadelphia 76ers,6.6,0.646,False
1989,Phoenix Suns,6.6,0.659,False
1979,San Diego Clippers,6.6,0.427,False
1989,Detroit Pistons,6.6,0.72,False
1992,Charlotte Hornets,6.5,0.537,False
1991,Washington Bullets,6.5,0.305,False
1988,Chicago Bulls,6.5,0.573,False
1991,Detroit Pistons,6.4,0.585,False
1987,Dallas Mavericks,6.4,0.646,False
1988,Houston Rockets,6.4,0.549,False
1989,New Jersey Nets,6.2,0.207,False
1991,Los Angeles Clippers,6.1,0.549,False
1993,Indiana Pacers,6.1,0.573,False
1992,Los Angeles Clippers,6.0,0.5,False
1989,Houston Rockets,6.0,0.5,False
1992,New Jersey Nets,6.0,0.524,False
1989,Dallas Mavericks,5.9,0.573,False
1987,Indiana Pacers,5.9,0.463,False
1988,Phoenix Suns,5.9,0.671,False
1990,Cleveland Cavaliers,5.8,0.402,False
1987,Los Angeles Lakers,5.8,0.756,False
1993,Boston Celtics,5.8,0.39,False
1988,Cleveland Cavaliers,5.8,0.695,False
1987,Philadelphia 76ers,5.7,0.439,False
1990,Miami Heat,5.7,0.293,False
1991,Utah Jazz,5.6,0.671,False
1990,Utah Jazz,5.6,0.659,False
1987,New Jersey Nets,5.5,0.232,False
1992,Denver Nuggets,5.5,0.439,False
1991,Chicago Bulls,5.5,0.817,False
1987,Sacramento Kings,5.5,0.293,False
1986,New Jersey Nets,5.5,0.293,False
1986,Utah Jazz,5.5,0.537,False
1986,Los Angeles Lakers,5.5,0.793,False
1985,Dallas Mavericks,5.4,0.537,False
1991,Los Angeles Lakers,5.4,0.524,False
1984,Dallas Mavericks,5.4,0.537,False
1990,Detroit Pistons,5.4,0.61,False
1990,Los Angeles Clippers,5.3,0.378,False
1990,Phoenix Suns,5.3,0.671,False
1988,Charlotte Hornets,5.2,0.244,False
1990,Seattle SuperSonics,5.2,0.5,False
1986,Atlanta Hawks,5.2,0.695,False
1990,Chicago Bulls,5.2,0.744,False
1979,Boston Celtics,5.1,0.744,False
1991,Denver Nuggets,5.1,0.293,False
1990,Charlotte Hornets,5.1,0.317,False
1992,Utah Jazz,5.0,0.573,False
1987,San Antonio Spurs,5.0,0.378,False
1989,Atlanta Hawks,5.0,0.5,False
1987,Milwaukee Bucks,5.0,0.512,False
1985,Los Angeles Lakers,5.0,0.756,False
1985,Washington Bullets,5.0,0.476,False
1980,San Diego Clippers,5.0,0.439,False
1991,San Antonio Spurs,4.9,0.573,False
1989,Boston Celtics,4.9,0.634,False
1987,Utah Jazz,4.9,0.573,False
1986,San Antonio Spurs,4.9,0.341,False
1988,Detroit Pistons,4.9,0.768,False
1984,Washington Bullets,4.9,0.488,False
1988,Atlanta Hawks,4.8,0.634,False
1984,Golden State Warriors,4.8,0.268,False
1991,Minnesota Timberwolves,4.8,0.183,False
1989,Orlando Magic,4.8,0.22,False
1985,Boston Celtics,4.8,0.817,False
1986,Denver Nuggets,4.8,0.451,False
1985,Cleveland Cavaliers,4.8,0.354,False
1992,Boston Celtics,4.7,0.585,False
1985,Milwaukee Bucks,4.7,0.695,False
1990,Minnesota Timberwolves,4.6,0.354,False
1988,Utah Jazz,4.6,0.622,False
1987,Portland Trail Blazers,4.6,0.646,False
1979,Houston Rockets,4.6,0.5,False
1986,New York Knicks,4.6,0.293,False
1991,Charlotte Hornets,4.5,0.378,False
1986,Golden State Warriors,4.4,0.512,False
1991,Boston Celtics,4.4,0.622,False
1987,Phoenix Suns,4.4,0.341,False
1986,Los Angeles Clippers,4.2,0.146,False
1990,Boston Celtics,4.2,0.683,False
1986,Philadelphia 76ers,4.1,0.549,False
1986,Portland Trail Blazers,4.1,0.598,False
1986,Cleveland Cavaliers,4.1,0.378,False
1981,San Diego Clippers,4.1,0.207,False
1987,Cleveland Cavaliers,4.1,0.512,False
1984,Cleveland Cavaliers,4.1,0.439,False
1981,Golden State Warriors,4.0,0.549,False
1986,Houston Rockets,4.0,0.512,False
1987,Los Angeles Clippers,3.9,0.207,False
1985,Chicago Bulls,3.9,0.366,False
1983,Utah Jazz,3.9,0.549,False
1986,Indiana Pacers,3.9,0.5,False
1981,Indiana Pacers,3.9,0.427,False
1979,Indiana Pacers,3.8,0.451,False
1987,Golden State Warriors,3.8,0.244,False
1985,Houston Rockets,3.8,0.622,False
1988,Boston Celtics,3.8,0.512,False
1984,Boston Celtics,3.8,0.768,False
1982,San Antonio Spurs,3.8,0.646,False
1986,Sacramento Kings,3.7,0.354,False
1984,Phoenix Suns,3.7,0.439,False
1984,Utah Jazz,3.7,0.5,False
1985,Denver Nuggets,3.7,0.573,False
1989,Miami Heat,3.7,0.22,False
1985,Seattle SuperSonics,3.7,0.378,False
1986,Chicago Bulls,3.6,0.488,False
1988,Miami Heat,3.6,0.183,False
1979,New Jersey Nets,3.6,0.415,False
1990,San Antonio Spurs,3.6,0.671,False
1984,Los Angeles Lakers,3.6,0.756,False
1989,Minnesota Timberwolves,3.6,0.268,False
1984,Milwaukee Bucks,3.6,0.72,False
1988,San Antonio Spurs,3.6,0.256,False
1987,Houston Rockets,3.5,0.561,False
1983,Phoenix Suns,3.5,0.5,False
1990,Washington Bullets,3.5,0.366,False
1987,Atlanta Hawks,3.4,0.61,False
1983,Washington Bullets,3.4,0.427,False
1979,Phoenix Suns,3.4,0.671,False
1985,Golden State Warriors,3.4,0.366,False
1985,Portland Trail Blazers,3.4,0.488,False
1979,Chicago Bulls,3.4,0.366,False
1982,Detroit Pistons,3.3,0.451,False
1982,Houston Rockets,3.3,0.171,False
1983,San Antonio Spurs,3.2,0.451,False
1982,San Diego Clippers,3.2,0.305,False
1983,Denver Nuggets,3.1,0.463,False
1979,Denver Nuggets,3.1,0.366,False
1986,Phoenix Suns,3.1,0.439,False
1981,San Antonio Spurs,3.1,0.585,False
1980,Cleveland Cavaliers,3.0,0.341,False
1988,Washington Bullets,3.0,0.488,False
1987,Chicago Bulls,3.0,0.61,False
1980,Boston Celtics,2.9,0.756,False
1980,Washington Bullets,2.9,0.476,False
1985,New York Knicks,2.9,0.28,False
1984,Kansas City Kings,2.9,0.378,False
1979,Washington Bullets,2.9,0.476,False
1982,Washington Bullets,2.9,0.512,False
1982,Indiana Pacers,2.9,0.244,False
1981,Washington Bullets,2.9,0.524,False
1980,New York Knicks,2.9,0.61,False
1984,Atlanta Hawks,2.9,0.415,False
1984,Denver Nuggets,2.9,0.634,False
1988,Los Angeles Clippers,2.9,0.256,False
1983,Milwaukee Bucks,2.8,0.61,False
1983,New Jersey Nets,2.8,0.549,False
1989,Los Angeles Clippers,2.8,0.366,False
1985,Los Angeles Clippers,2.8,0.39,False
1983,Boston Celtics,2.8,0.756,False
1989,San Antonio Spurs,2.8,0.683,False
1983,Golden State Warriors,2.8,0.451,False
1983,Los Angeles Lakers,2.8,0.659,False
1985,Philadelphia 76ers,2.7,0.659,False
1984,New Jersey Nets,2.7,0.512,False
1984,Philadelphia 76ers,2.7,0.707,False
1979,Detroit Pistons,2.7,0.195,False
1986,Washington Bullets,2.7,0.512,False
1982,Kansas City Kings,2.6,0.549,False
1985,New Jersey Nets,2.6,0.476,False
1981,New York Knicks,2.6,0.402,False
1981,Chicago Bulls,2.6,0.415,False
1981,Detroit Pistons,2.6,0.476,False
1980,Golden State Warriors,2.6,0.476,False
1982,Chicago Bulls,2.5,0.341,False
1983,Indiana Pacers,2.5,0.317,False
1979,San Antonio Spurs,2.5,0.5,False
1987,Detroit Pistons,2.5,0.659,False
1984,Portland Trail Blazers,2.5,0.512,False
1984,San Antonio Spurs,2.5,0.5,False
1984,Detroit Pistons,2.4,0.561,False
1984,New York Knicks,2.4,0.293,False
1989,Washington Bullets,2.4,0.378,False
1985,San Antonio Spurs,2.4,0.427,False
1979,New York Knicks,2.3,0.476,False
1981,Dallas Mavericks,2.3,0.341,False
1983,Kansas City Kings,2.3,0.463,False
1979,Seattle SuperSonics,2.3,0.683,False
