date,SP500,UMCSENT,SP500_yoy_change,UMCSENT_yoy_change,SP500_yoy_change_ma12,UMCSENT_yoy_change_ma12
1984-02-01,157.05999755859375,97.4,6.078616877214471,30.56300268096517,31.78594884787636,33.94192400306775
1984-03-01,159.17999267578125,101.0,4.066413238036404,25.0,29.073130899252064,33.49837561597097
1984-04-01,160.0500030517578,96.1,-2.6637412997151833,7.856341189674532,25.41662328463268,31.15052618584843
1984-05-01,150.5500030517578,98.1,-7.291087125064289,5.144694533762051,21.046816970446315,28.39406554514342
1984-06-01,153.17999267578125,95.5,-8.625630378497885,3.579175704989157,15.916160406717749,25.3310922369468
1984-07-01,150.66000366210938,96.6,-7.3203703710656765,4.094827586206895,10.98966651155476,22.180992497061396
1984-08-01,166.67999267578125,99.1,1.3868606228370606,9.020902090209004,7.975096334198837,19.683498863906028
1984-09-01,166.10000610351562,100.9,0.018063935674006437,12.23581757508343,4.817518879037098,18.225997851343838
1984-10-01,166.08999633789062,96.3,1.5530377491518532,7.838745800671898,3.087954647771723,17.074049556349877
1984-11-01,163.5800018310547,95.7,-1.6947068322514358,5.049396267837558,1.2701971982727482,15.298808537985437
1984-12-01,167.24000549316406,92.9,1.4006020250809215,-1.3800424628450103,-0.05233946172636809,12.599196747212886
1985-01-01,179.6300048828125,96.0,9.92595364861626,-4.095904095904091,-0.26383232583195904,8.742246405887547
1985-02-01,181.17999267578125,93.7,15.357185465502866,-3.7987679671457886,0.509381723192074,5.878765518544967
1985-03-01,180.66000366210935,93.7,13.494165080204956,-7.2277227722772235,1.2950277100394532,3.1931219541885327
1985-04-01,179.8300018310547,94.6,12.358636927298484,-1.5608740894901163,2.5468925622905925,2.4083540142581454
1985-05-01,189.5500030517578,91.8,25.90501442008748,-6.422018348623848,5.313234357719906,1.4444612740593203
1985-06-01,191.8500061035156,96.5,25.24482000047015,1.0471204188481575,8.135771889300576,1.2334566668809037
1985-07-01,190.9199981689453,94.0,26.722417050465808,-2.6915113871635588,10.972670841094866,0.6679284191000326
1985-08-01,188.6300048828125,92.4,13.168954386581632,-6.760847628657906,11.954511988073582,-0.6472173908055433
1985-09-01,182.0800018310547,92.1,9.62070748966748,-8.72150644202181,12.754732284239703,-2.3936610588976466
1985-10-01,189.82000732421875,88.4,14.287441453157834,-8.203530633437161,13.815932592906869,-3.730517428406735
