date,SP500,UMCSENT,SP500_yoy_change,UMCSENT_yoy_change,yoy_change_diff
1985-01-01,179.6300048828125,96.0,,,
1985-02-01,181.17999267578125,93.7,,,
1985-03-01,180.66000366210935,93.7,,,
1985-04-01,179.8300018310547,94.6,,,
1985-05-01,189.5500030517578,91.8,,,
1985-06-01,191.8500061035156,96.5,,,
1985-07-01,190.9199981689453,94.0,,,
1985-08-01,188.6300048828125,92.4,,,
1985-09-01,182.0800018310547,92.1,,,
1985-10-01,189.82000732421875,88.4,,,
1985-11-01,202.1699981689453,90.9,,,
1985-12-01,211.27999877929688,93.9,,,
1986-01-01,211.77999877929688,95.6,17.89789735710272,-0.4166666666666763,-18.314564023769396
1986-02-01,226.9199981689453,95.9,25.245616150904194,2.347918890074707,-22.89769726082949
1986-03-01,238.8999938964844,95.1,32.23734587280427,1.4941302027748016,-30.743215670029468
1986-04-01,235.52000427246097,96.2,30.9681376157275,1.6913319238900826,-29.276805691837417
1986-05-01,247.3500061035156,94.8,30.493274661660188,3.267973856209161,-27.225300805451027
1986-06-01,250.83999633789065,99.3,30.747974124403264,2.901554404145079,-27.846419720258183
1986-07-01,236.1199951171875,97.7,23.67483625693556,3.936170212765955,-19.738666044169605
1986-08-01,252.92999267578125,94.9,34.08788958729843,2.7056277056277,-31.38226188167073
1986-09-01,231.32000732421875,91.9,27.043060741427304,-0.21715526601518986,-27.260216007442494
1986-10-01,243.97999572753903,95.6,28.532286541751773,8.14479638009049,-20.387490161661283
1986-11-01,249.22000122070312,91.4,23.27249516638963,0.5500550055005604,-22.722440160889068
1986-12-01,242.1699981689453,89.1,14.620408731597978,-5.111821086261992,-19.73222981785997
1987-01-01,274.0799865722656,90.4,29.417314265779027,-5.439330543933041,-34.856644809712066
1987-02-01,284.20001220703125,90.2,25.242382557856402,-5.943691345151203,-31.186073903007603
1987-03-01,291.70001220703125,90.8,22.101305843241303,-4.5215562565720235,-26.622862099813325
1987-04-01,288.3599853515625,92.8,22.43545351586087,-3.53430353430354,-25.96975705016441
1987-05-01,290.1000061035156,91.1,17.28320151409628,-3.9029535864978926,-21.186155100594174
1987-06-01,304.0,91.5,21.1927939874871,-7.85498489425982,-29.047778881746922
1987-07-01,318.6600036621094,93.7,34.95680596806587,-4.094165813715456,-39.05097178178133
1987-08-01,329.79998779296875,94.4,30.391806959692367,-0.5268703898840932,-30.91867734957646
1987-09-01,321.8299865722656,93.6,39.127605214532025,1.8498367791077053,-37.27776843542432
1987-10-01,251.7899932861328,89.3,3.201081111303683,-6.589958158995812,-9.791039270299496
1987-11-01,230.3000030517578,83.1,-7.591685288609806,-9.08096280087528,-1.489277512265474
1987-12-01,247.0800018310547,86.8,2.0275028695685204,-2.581369248035914,-4.6088721176044345
1988-01-01,257.07000732421875,90.8,-6.20620989543208,0.4424778761061843,6.648687771538264
1988-02-01,267.82000732421875,91.6,-5.763548268562413,1.552106430155198,7.315654698717611
1988-03-01,258.8900146484375,94.6,-11.247856080070084,4.185022026431717,15.432878106501802
1988-04-01,261.3299865722656,91.2,-9.373699595088569,-1.724137931034475,7.649561664054094
1988-05-01,262.1600036621094,94.8,-9.631162307330833,4.061470911086729,13.692633218417562
1988-06-01,273.5,94.7,-10.032894736842103,3.49726775956285,13.530162496404952
1988-07-01,272.0199890136719,93.4,-14.636293890805375,-0.32017075773745907,14.316123133067915
1988-08-01,261.5199890136719,97.4,-20.703457036559836,3.177966101694918,23.881423138254753
1988-09-01,271.9100036621094,97.3,-15.51129011993011,3.952991452991461,19.46428157292157
1988-10-01,278.9700012207031,94.1,10.794713316379934,5.375139977603571,-5.419573338776362
1988-11-01,273.70001220703125,93.0,18.844988528080787,11.913357400722035,-6.931631127358752
1988-12-01,277.7200012207031,91.9,12.40084149367906,5.87557603686637,-6.52526545681269
1989-01-01,297.4700012207031,97.9,15.715561032186676,7.819383259911894,-7.896177772274782
1989-02-01,288.8599853515625,95.4,7.856014282709323,4.148471615720539,-3.7075426669887834
1989-03-01,294.8699951171875,94.3,13.897786099479115,-0.3171247357293794,-14.214910835208494
1989-04-01,309.6400146484375,91.5,18.486216874622883,0.3289473684210398,-18.157269506201843
1989-05-01,320.5199890136719,90.7,22.261208626919693,-4.32489451476793,-26.586103141687623
1989-06-01,317.9800109863281,90.6,16.26325813028451,-4.329461457233375,-20.592719587517884
1989-07-01,346.0799865722656,92.0,27.225939471261242,-1.4989293361884481,-28.72486880744969
1989-08-01,351.45001220703125,89.6,34.38743766108754,-8.00821355236141,-42.39565121344895
1989-09-01,349.1499938964844,95.8,28.406454045125074,-1.541623843782114,-29.948077888907186
1989-10-01,340.3599853515625,93.9,22.005944675854792,-0.2125398512220933,-22.218484527076885
1989-11-01,345.989990234375,90.9,26.41212086342999,-2.2580645161290214,-28.670185379559012
1989-12-01,353.3999938964844,90.5,27.250465340319007,-1.5233949945593128,-28.77386033487832
1990-01-01,329.0799865722656,93.0,10.62627667389895,-5.005107252298268,-15.631383926197218
1990-02-01,331.8900146484375,89.5,14.896500546624525,-6.184486373165621,-21.080986919790146
1990-03-01,339.94000244140625,91.3,15.284704469950228,-3.181336161187698,-18.466040631137925
1990-04-01,330.79998779296875,93.9,6.83373341412481,2.622950819672143,-4.210782594452667
1990-05-01,361.2300109863281,90.6,12.70124278299527,-0.11025358324145973,-12.811496366236728
1990-06-01,358.0199890136719,88.3,12.591979572283662,-2.5386313465783683,-15.13061091886203
1990-07-01,356.1499938964844,88.2,2.90973408313977,-4.130434782608694,-7.040168865748464
1990-08-01,322.55999755859375,76.4,-8.220234356235856,-14.732142857142849,-6.511908500906992
1990-09-01,306.04998779296875,72.8,-12.344266606601707,-24.00835073068893,-11.664084124087225
1990-10-01,304.0,63.9,-10.68280259619996,-31.948881789137385,-21.266079192937426
1990-11-01,322.2200012207031,66.0,-6.870137774092822,-27.392739273927404,-20.522601499834582
1990-12-01,330.2200012207031,65.5,-6.559137825727013,-27.62430939226519,-21.065171566538176
1991-01-01,343.92999267578125,66.8,4.5125825663830055,-28.172043010752688,-32.68462557713569
1991-02-01,367.0700073242187,70.4,10.599894881756677,-21.340782122905022,-31.9406770046617
1991-03-01,375.2200012207031,87.7,10.378301619674168,-3.943044906900317,-14.321346526574485
1991-04-01,375.3399963378906,81.8,13.464331979600086,-12.886048988285415,-26.3503809678855
1991-05-01,389.8299865722656,78.3,7.917386351108013,-13.576158940397354,-21.493545291505367
1991-06-01,371.1600036621094,82.1,3.6701902272656906,-7.021517553793888,-10.691707781059579
1991-07-01,387.80999755859375,82.9,8.889514026304157,-6.00907029478458,-14.898584321088737
1991-08-01,395.4299926757813,82.0,22.59114449055344,7.329842931937169,-15.261301558616271
1991-09-01,387.8599853515625,83.0,26.730926587696892,14.010989010989006,-12.719937576707887
1991-10-01,392.4500122070313,78.3,29.095398752312928,22.535211267605625,-6.560187484707303
1991-11-01,375.2200012207031,69.1,16.448389236923223,4.696969696969688,-11.751419539953535
1991-12-01,417.0899963378906,68.2,26.30670304526097,4.122137404580162,-22.18456564068081
1992-01-01,408.7799987792969,67.5,18.85558325372598,1.0479041916167775,-17.807679062109205
1992-02-01,412.7000122070313,68.8,12.43087257807729,-2.272727272727282,-14.703599850804572
1992-03-01,403.69000244140625,76.0,7.587548938777688,-13.34093500570126,-20.92848394447895
1992-04-01,414.9500122070313,77.2,10.553102854906715,-5.623471882640585,-16.1765747375473
1992-05-01,415.3500061035156,79.2,6.546448557137663,1.1494252873563315,-5.397023269781331
1992-06-01,408.1400146484375,80.4,9.963360982179914,-2.0706455542021773,-12.03400653638209
1992-07-01,424.2099914550781,76.6,9.38603804069924,-7.599517490952968,-16.98555553165221
1992-08-01,414.0299987792969,76.1,4.703741862789346,-7.195121951219519,-11.898863814008864
1992-09-01,417.7999877929687,75.6,7.719281073624562,-8.915662650602417,-16.63494372422698
1992-10-01,418.6799926757813,73.3,6.683648784017038,-6.38569604086846,-13.069344824885498
1992-11-01,431.3500061035156,85.3,14.95922517461883,23.444283646888575,8.485058472269746
1992-12-01,435.7099914550781,91.0,4.464263175974903,33.43108504398826,28.96682186801336
1993-01-01,438.7799987792969,89.3,7.3389109275371345,32.29629629629629,24.957385368759155
1993-02-01,443.3800048828125,86.6,7.433969413209174,25.872093023255815,18.43812361004664
1993-03-01,451.6700134277344,85.9,11.885360225955122,13.026315789473685,1.1409555635185633
1993-04-01,440.19000244140625,85.6,6.082658029127108,10.880829015544036,4.7981709864169275
1993-05-01,450.19000244140625,80.3,8.38810541132089,1.388888888888884,-6.999216522432006
1993-06-01,450.5299987792969,81.5,10.386137749167567,1.3681592039801016,-9.017978545187464
1993-07-01,448.1300048828125,77.0,5.638719952278026,0.5221932114882533,-5.116526740789773
1993-08-01,463.55999755859375,77.3,11.962900979476942,1.5768725361366753,-10.386028443340265
1993-09-01,458.9299926757813,77.9,9.84442462530508,3.0423280423280685,-6.802096582977012
1993-10-01,467.8299865722656,82.7,11.739274566803882,12.824010914051854,1.084736347247972
1993-11-01,461.7900085449219,81.2,7.056914804842096,-4.806565064478308,-11.863479869320404
1993-12-01,466.4500122070313,88.2,7.055156263296869,-3.076923076923077,-10.132079340219946
1994-01-01,481.6099853515625,94.3,9.761152899270776,5.599104143337064,-4.1620487559337125
1994-02-01,467.1400146484375,93.2,5.358836551933566,7.621247113163987,2.2624105612304213
1994-03-01,445.7699890136719,91.5,-1.306268788863596,6.519208381839348,7.825477170702944
1994-04-01,450.9100036621094,92.6,2.4353122881590306,8.177570093457941,5.742257805298911
1994-05-01,456.5,92.8,1.4016298728035448,15.566625155666248,14.164995282862703
1994-06-01,444.2699890136719,91.2,-1.3894767901330374,11.901840490797543,13.291317280930581
1994-07-01,458.260009765625,89.0,2.260505829209425,15.58441558441559,13.323909755206165
1994-08-01,475.489990234375,91.7,2.57355956911991,18.62871927554981,16.055159706429897
1994-09-01,462.7099914550781,91.5,0.8236547707979547,17.458279845956337,16.634625075158382
1994-10-01,472.3500061035156,92.7,0.9661671250207116,12.091898428053206,11.125731303032495
1994-11-01,453.69000244140625,91.6,-1.7540453352462904,12.807881773399,14.56192710864529
1994-12-01,459.2699890136719,95.1,-1.5392910291473272,7.823129251700678,9.362420280848005
1995-01-01,470.4200134277344,97.6,-2.3234509798752856,3.499469777306463,5.822920757181748
1995-02-01,487.3900146484375,95.1,4.334888762470901,2.0386266094420513,-2.2962621530288496
1995-03-01,500.7099914550781,90.3,12.324742310034974,-1.3114754098360715,-13.636217719871045
1995-04-01,514.7100219726562,92.5,14.149168967729441,-0.10799136069113979,-14.25716032842058
1995-05-01,533.4000244140625,89.8,16.845569422576666,-3.2327586206896575,-20.078328043266325
1995-06-01,544.75,92.7,22.616880156457285,1.6447368421052655,-20.972143314352017
1995-07-01,562.0599975585938,94.4,22.650893724297873,6.067415730337089,-16.583477993960784
1995-08-01,561.8800048828125,96.2,18.168629502769296,4.907306434023995,-13.261323068745302
1995-09-01,584.4099731445312,88.9,26.301567706965812,-2.841530054644803,-29.143097761610615
1995-10-01,581.5,90.2,23.107863339915813,-2.696871628910469,-25.80473496882628
1995-11-01,605.3699951171875,88.2,33.43251820837083,-3.7117903930130924,-37.14430860138392
1995-12-01,615.9299926757812,91.0,34.11065547708709,-4.311251314405884,-38.42190679149298
1996-01-01,636.02001953125,89.3,35.202585216743756,-8.504098360655732,-43.70668357739949
1996-02-01,640.4299926757812,88.5,31.399900167781247,-6.9400630914826404,-38.33996325926389
1996-03-01,645.5,93.7,28.916940148159973,3.7652270210409844,-25.151713127118988
1996-04-01,654.1699829101562,92.7,27.094860209446004,0.216216216216214,-26.87864399322979
1996-05-01,669.1199951171875,89.4,25.444312802987355,-0.44543429844097204,-25.889747101428327
1996-06-01,670.6300048828125,92.4,23.107848532870577,-0.3236245954692518,-23.431473128339828
1996-07-01,639.9500122070312,94.7,13.857953774822352,0.3177966101694851,-13.540157164652868
1996-08-01,651.989990234375,95.3,16.037229402807473,-0.9355509355509439,-16.972780338358415
1996-09-01,687.3300170898438,94.7,17.610932166597237,6.524184476940387,-11.08674768965685
1996-10-01,705.27001953125,96.5,21.28461212919175,6.984478935698446,-14.300133193493304
1996-11-01,757.02001953125,99.2,25.05079961630838,12.471655328798192,-12.57914428751019
1996-12-01,740.739990234375,96.9,20.263666170303285,6.483516483516483,-13.780149686786803
1997-01-01,786.1599731445312,97.4,23.606167888227027,9.070548712206051,-14.535619176020976
1997-02-01,790.8200073242188,99.7,23.482662643592445,12.655367231638426,-10.827295411954019
1997-03-01,757.1199951171875,100.0,17.29202093217468,6.7235859124866515,-10.568435019688028
1997-04-01,801.3400268554688,101.4,22.497217510746715,9.385113268608425,-13.11210424213829
1997-05-01,848.280029296875,103.2,26.775471587620103,15.436241610738243,-11.33922997688186
1997-06-01,885.1400146484375,104.5,31.98634242485303,13.095238095238093,-18.89110432961494
1997-07-01,954.3099975585938,107.1,49.1225844761549,13.093980992608234,-36.02860348354666
1997-08-01,899.469970703125,104.4,37.95763495997642,9.548793284365175,-28.408841675611242
1997-09-01,947.280029296875,106.0,37.82026184563567,11.932418162618784,-25.887843683016886
1997-10-01,914.6199951171876,105.6,29.683662964304048,9.430051813471497,-20.25361115083255
1997-11-01,955.4000244140624,107.2,26.205384238801255,8.064516129032251,-18.140868109769002
1997-12-01,970.4299926757812,102.1,31.008181746570852,5.366357069143435,-25.641824677427415
1998-01-01,980.280029296875,106.6,24.69218260704502,9.445585215605746,-15.246597391439273
1998-02-01,1049.3399658203125,110.4,32.69011356589342,10.732196589769316,-21.957916976124103
1998-03-01,1101.75,106.5,45.51854489452105,6.499999999999995,-39.01854489452106
1998-04-01,1111.75,108.7,38.736361936468874,7.199211045364895,-31.53715089110398
