game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
But Sanchez did a good job of getting out of jams and gave up just one run on three hits while striking out six in his fourth start since coming back from shoulder surgery.",5,4,9,Bottom,15,Chase Field,[],FLA leads 1-0,Florida Marlins,Arizona Diamondbacks,Arthur Rhodes,Jon Rauch,Kevin Gregg,2008-08-22 - Florida Marlins (5) @ Arizona Diamondbacks (4) (Final),2008,
235692,2008-08-24T00:10:00Z,2008-08-23,R,Final,Florida Marlins,Arizona Diamondbacks,146,109,N,1,Yusmeiro Petit,Chris Volstad,"Petit has pitched well given his inconsistent schedule. As the team's fifth starter, he pitched on seven days' rest in his last start. He got the win in that one, as the D-backs beat the Astros, 11-5. Petit allowed two runs on four hits over seven innings. In his last three starts, he is 1-2 but has a 3.71 ERA. Petit doesn't overwhelm you with his stuff, but he commands it well and has a good feel for pitching.","Volstad did a nice job of getting out of jams while giving up two runs in six-plus innings against the Cubs on Sunday. Through the first three innings, Volstad tossed 63 pitches and put six runners on base but didn't surrender a run. But, after cruising through the next three without allowing a run, the 21-year-old started off the seventh by giving up two hits and left the game. After that, the Cubs put eight runs on the board -- two charged to Volstad -- and he had to settle for the second no-decision of his rookie year.",1,7,9,Top,15,Chase Field,[],Series tied 1-1,Arizona Diamondbacks,Florida Marlins,Yusmeiro Petit,Chris Volstad,,2008-08-23 - Florida Marlins (1) @ Arizona Diamondbacks (7) (Final),2008,
235707,2008-08-24T20:10:00Z,2008-08-24,R,Final,Florida Marlins,Arizona Diamondbacks,146,109,N,1,Doug Davis,Ricky Nolasco,"Since taking a perfect game into the eighth inning against the Padres on July 29, Davis has struggled. His last outing -- also against the Padres -- showed that he might be turning the corner. The lefty allowed a pair of runs on seven hits over six innings. The biggest key for Davis is throwing strikes early in the count. When he does that, he's able to expand the zone. When he falls behind, he has to come in with his fastball and gets into trouble.","A dubious distinction came to an end the last time Nolasco took the mound. The 25-year-old right-hander recorded his first career complete game, beating San Francisco, 6-0, last Tuesday at AT&T Park. The complete game snapped a string of 301 straight games by Florida pitchers without a complete game, which is a Major League record. Nolasco struck out 11 and walked just one, while allowing just two hits. It was also the Marlins' first complete-game shutout since Dontrelle Willis blanked the Phillies, 3-0, on Sept. 10, 2006. The 12 wins also was a personal high for Nolasco, who won 11 as a rookie in 2006.",5,2,9,Bottom,15,Chase Field,[],FLA wins 2-1,Florida Marlins,Arizona Diamondbacks,Ricky Nolasco,Doug Davis,Kevin Gregg,2008-08-24 - Florida Marlins (5) @ Arizona Diamondbacks (2) (Final),2008,
235717,2008-08-26T02:05:00Z,2008-08-25,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,Jake Peavy,Dan Haren,"Peavy had an uncharacteristic outing the last time out against the D-backs at Chase Field. Before he even took the mound, he had a 4-0 lead, and the ace couldn't hold onto the lead as the Padres fell, 8-6. In Peavy's previous six starts, he had only received 12 runs of support. The game was anticipated to be a pitchers' duel with Dan Haren on the mound for the D-backs. It will be the same exact pitching matchup when the two teams face each other on Monday.","Haren threw a season-low 82 pitches in his last start, but still lasted six innings despite allowing a season-high 11 hits, which produced five runs for the Friars. Haren is 6-1 in his last seven starts. He will likely need better results than Wednesday's to defeat Jake Peavy for the second time in five days. A victory Monday would tie Haren's career high of 15, set last year.",2,4,9,Bottom,2680,PETCO Park,[],SD leads 1-0,San Diego Padres,Arizona Diamondbacks,Trevor Hoffman,Jon Rauch,,2008-08-25 - Arizona Diamondbacks (2) @ San Diego Padres (4) (Final),2008,
235727,2008-08-27T02:05:00Z,2008-08-26,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,Chad Reineke,Brandon Webb,"In Reineke's second career big league start, he may have pitched well enough to win, but he went up against Cy Young front-runner Brandon Webb, who outpitched Reineke in Arizona. The rookie had his first quality start, but made a few mistake pitches, most notably to Conor Jackson, who smacked a two-run double in the fifth inning off Reineke. He'll get the same team and the same opposing pitcher the next time out.","Webb might have had his best sinker in his last outing against the Padres, limiting them to just three hits across seven innings as he picked up his Major League-leading 19th win. Webb had a little bit of a scare in the sixth inning when a Kevin Kouzmanoff line drive hit him on his ribs, but the right-hander should be on schedule to make his next start against the very same team and pitcher he beat the last time out.",2,9,9,Top,2680,PETCO Park,[],SD wins 2-0,San Diego Padres,Arizona Diamondbacks,Chad Reineke,Brandon Webb,,2008-08-26 - Arizona Diamondbacks (2) @ San Diego Padres (9) (Final),2008,
235742,2008-08-27T19:35:00Z,2008-08-27,R,Final,Arizona Diamondbacks,San Diego Padres,109,135,N,1,Cha Seung Baek,Randy Johnson,"Baek returns to PETCO Park after allowing five runs in seven innings in a road loss to the Giants on Aug. 22. Normally, a return to PETCO Park sits well with pitchers. Not Baek, though. He's 0-8 with a 5.97 ERA at home since being acquired from the Seattle Mariners in May. Baek did set a career high with eight strikeouts but was victimized when the Giants scored five runs in the fourth inning of his last start. His stuff looked good at times, especially when Baek was able to throw his curveball. But a few pitches up in the strike zone hurt him.","It was an outing much like several others in 2008 for the Big Unit the last time out. Poor defense behind him and a lack of run support foiled the 44-year-old left-hander in his bid for career win No. 295. Johnson allowed just one earned run, but still could not pick up the win against the Marlins. If he were to join the 300-wins club in 2008, he likely will have to win the remainder of his starts. Against the Padres, Johnson is 2-1 this season.",4,5,9,Top,2680,PETCO Park,[],SD wins 3-0,San Diego Padres,Arizona Diamondbacks,Mike Adams,Chad Qualls,Trevor Hoffman,2008-08-27 - Arizona Diamondbacks (4) @ San Diego Padres (5) (Final),2008,
235770,2008-08-30T01:40:00Z,2008-08-29,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,Doug Davis,Hiroki Kuroda,"Amid concerns of a stiff back, Davis had one of his better outings on Sunday, when he limited the Marlins to three runs in seven innings. For the first time all season, he didn't walk a batter, but he still was outpitched by Marlins starter Ricky Nolasco. Against the Dodgers, Davis is 1-1 this season in three starts.","Kuroda dominated the Phillies for the second straight start Sunday evening, giving up one run on two hits in six innings. Kuroda has thrived in August after a rough end to July, compiling a 3-1 mark and a 2.10 ERA this month while yielding one run in four of his five starts. That stretch started with a one-run, seven-inning win over the D-backs at Dodger Stadium, but Arizona has hit him in his two starts in Phoenix.",3,9,9,Top,15,Chase Field,[],AZ leads 1-0,Arizona Diamondbacks,Los Angeles Dodgers,Doug Davis,Hiroki Kuroda,,2008-08-29 - Los Angeles Dodgers (3) @ Arizona Diamondbacks (9) (Final),2008,
235785,2008-08-31T00:10:00Z,2008-08-30,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,Dan Haren,Chad Billingsley,"Haren pitched well against the Padres his last time out. The right-hander allowed two runs on nine hits over seven innings of work. He struck out a season-high 11, the third time in his career that he has reached double digits in strikeouts. While he gave up plenty of hits, Haren was able to pitch out of jams adjusted from his previous start against the Padres, when they jumped on him for three runs in the first inning. ","Billingsley tossed another quality start on Monday in Philadelphia, giving up three runs on seven hits in six innings despite struggling at times with his control, as he walked five (two intentional) and ran up a pitch count of 107. Still, the outing accounted for his ninth consecutive start in which he's yielded three runs or less, and he's compiled a 3.04 ERA in that time. Billingsley has struggled against the D-backs this year, going 0-3 with a 7.71 ERA.",6,2,9,Bottom,15,Chase Field,[],Series tied 1-1,Los Angeles Dodgers,Arizona Diamondbacks,Chad Billingsley,Dan Haren,,2008-08-30 - Los Angeles Dodgers (6) @ Arizona Diamondbacks (2) (Final),2008,
235800,2008-09-01T00:05:00Z,2008-08-31,R,Final,Los Angeles Dodgers,Arizona Diamondbacks,119,109,N,1,Brandon Webb,Derek Lowe,"In his quest to become the National League's first 20-game winner since 2005, Webb was knocked around by the Padres at PETCO Park the last time out, as he allowed six runs and didn't even last five innings for just the second time all season. Webb had one bad inning and gave up a three-run homer to Brian Giles. Maybe pitching under the national limelight on ESPN against the Dodgers -- a team he has had great success against in his career -- will help him get win No. 20.","Lowe did not deserve to lose Tuesday's start in Washington when he threw a complete game of eight innings and gave up just two runs on six hits, but the Dodgers' struggling offense made that so. After a disaster outing in St. Louis, Lowe has thrown four straight quality starts, compiling a 2.28 ERA in that time. He is 1-1 with a 3.78 ERA in three outings against Arizona.",8,1,9,Bottom,15,Chase Field,['ESPN2'],LAD wins 2-1,Los Angeles Dodgers,Arizona Diamondbacks,Derek Lowe,Brandon Webb,,2008-08-31 - Los Angeles Dodgers (8) @ Arizona Diamondbacks (1) (Final),2008,
235819,2008-09-01T20:10:00Z,2008-09-01,R,Final,St. Louis Cardinals,Arizona Diamondbacks,138,109,N,1,Randy Johnson,Joel Pineiro,"It was like deja vu all over again for the Big Unit the last time out. He handed the bullpen a one-run lead after seven strong innings against the Padres, but for the second time in as many starts, the bullpen blew the game, and Johnson was denied his 295th career win. With the way manager Bob Melvin has the starting rotation aligned, Johnson will make six more starts in 2008, meaning he would have to win the remainder of his games to reach the 300-wins club in 2008.","Pineiro returns to the rotation after a brief stint in the bullpen. He was bumped thanks to a strange schedule that provided four off days in less than two weeks. The right-hander was actually going well, with three wins and a 3.60 ERA over his last three starts, but Chase Field presents a challenge for a pitcher who has been much more effective at new Busch Stadium than on the road.",6,8,9,Top,15,Chase Field,[],AZ leads 1-0,Arizona Diamondbacks,St. Louis Cardinals,Chad Qualls,Kyle McClellan,Brandon Lyon,2008-09-01 - St. Louis Cardinals (6) @ Arizona Diamondbacks (8) (Final),2008,
