game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,SEASON,losing_Team
632401,2021-09-22T01:40:00Z,2021-09-21,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Paul Blackburn,Marco Gonzales,,,5,2,9,Bottom,10,Oakland Coliseum,[],SEA leads 2-0,Seattle Mariners,Oakland Athletics,Marco Gonzales,Paul Blackburn,Drew Steckenrider,2021-09-21 - Seattle Mariners (5) @ Oakland Athletics (2) (Final),2021,
632383,2021-09-23T01:40:00Z,2021-09-22,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Cole Irvin,Chris Flexen,,,4,1,9,Bottom,10,Oakland Coliseum,[],SEA wins 3-0,Seattle Mariners,Oakland Athletics,Chris Flexen,Cole Irvin,Drew Steckenrider,2021-09-22 - Seattle Mariners (4) @ Oakland Athletics (1) (Final),2021,
632368,2021-09-23T19:37:00Z,2021-09-23,R,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Chris Bassitt,Yusei Kikuchi,,,6,5,9,Bottom,10,Oakland Coliseum,[],SEA wins 4-0,Seattle Mariners,Oakland Athletics,Joe Smith,Jake Diekman,Paul Sewald,2021-09-23 - Seattle Mariners (6) @ Oakland Athletics (5) (Final),2021,
632356,2021-09-25T01:40:00Z,2021-09-24,R,Final,Houston Astros,Oakland Athletics,117,133,N,1,Frankie Montas,Brandon Bielak,,,2,14,9,Top,10,Oakland Coliseum,[],OAK leads 1-0,Oakland Athletics,Houston Astros,Frankie Montas,Brandon Bielak,,2021-09-24 - Houston Astros (2) @ Oakland Athletics (14) (Final),2021,
632342,2021-09-25T20:07:00Z,2021-09-25,R,Final,Houston Astros,Oakland Athletics,117,133,N,1,Sean Manaea,Framber Valdez,,,1,2,9,Bottom,10,Oakland Coliseum,[],OAK wins 2-0,Oakland Athletics,Houston Astros,Andrew Chafin,Ryan Pressly,,2021-09-25 - Houston Astros (1) @ Oakland Athletics (2) (Final),2021,
632324,2021-09-26T20:07:00Z,2021-09-26,R,Final,Houston Astros,Oakland Athletics,117,133,N,1,Paul Blackburn,Jake Odorizzi,,,3,4,9,Bottom,10,Oakland Coliseum,['MLBN (out-of-market only)'],OAK wins 3-0,Oakland Athletics,Houston Astros,Lou Trivino,Ryne Stanek,,2021-09-26 - Houston Astros (3) @ Oakland Athletics (4) (Final),2021,
632323,2021-09-28T02:10:00Z,2021-09-27,R,Final,Oakland Athletics,Seattle Mariners,133,136,N,1,Chris Flexen,Cole Irvin,,,4,13,9,Top,680,T-Mobile Park,[],SEA leads 1-0,Seattle Mariners,Oakland Athletics,Chris Flexen,Cole Irvin,,2021-09-27 - Oakland Athletics (4) @ Seattle Mariners (13) (Final),2021,
632312,2021-09-29T02:10:00Z,2021-09-28,R,Final,Oakland Athletics,Seattle Mariners,133,136,N,1,Tyler Anderson,Chris Bassitt,,,2,4,9,Top,680,T-Mobile Park,[],SEA wins 2-0,Seattle Mariners,Oakland Athletics,Anthony Misiewicz,Yusmeiro Petit,Drew Steckenrider,2021-09-28 - Oakland Athletics (2) @ Seattle Mariners (4) (Final),2021,
632299,2021-09-30T02:10:00Z,2021-09-29,R,Final,Oakland Athletics,Seattle Mariners,133,136,N,1,Logan Gilbert,Frankie Montas,,,2,4,9,Top,680,T-Mobile Park,[],SEA wins 3-0,Seattle Mariners,Oakland Athletics,Diego Castillo,Andrew Chafin,Drew Steckenrider,2021-09-29 - Oakland Athletics (2) @ Seattle Mariners (4) (Final),2021,
632279,2021-10-02T00:10:00Z,2021-10-01,R,Final,Oakland Athletics,Houston Astros,133,117,N,1,Framber Valdez,Sean Manaea,,,8,6,9,Bottom,2392,Minute Maid Park,[],OAK leads 1-0,Oakland Athletics,Houston Astros,Sean Manaea,Framber Valdez,Lou Trivino,2021-10-01 - Oakland Athletics (8) @ Houston Astros (6) (Final),2021,
632249,2021-10-02T23:10:00Z,2021-10-02,R,Final,Oakland Athletics,Houston Astros,133,117,N,1,Jake Odorizzi,Paul Blackburn,,,4,10,9,Top,2392,Minute Maid Park,[],Series tied 1-1,Houston Astros,Oakland Athletics,Phil Maton,Paul Blackburn,,2021-10-02 - Oakland Athletics (4) @ Houston Astros (10) (Final),2021,
632245,2021-10-03T19:10:00Z,2021-10-03,R,Final,Oakland Athletics,Houston Astros,133,117,N,1,José Urquidy,Cole Irvin,,,6,7,9,Bottom,2392,Minute Maid Park,[],HOU wins 2-1,Houston Astros,Oakland Athletics,Blake Taylor,Lou Trivino,,2021-10-03 - Oakland Athletics (6) @ Houston Astros (7) (Final),2021,
706882,2022-03-18T20:05:00Z,2022-03-18,S,Final,Los Angeles Angels,Oakland Athletics,108,133,N,1,Brent Honeywell,Michael Lorenzen,,,8,10,9,Top,2507,Hohokam Stadium,[],OAK wins Spring,Oakland Athletics,Los Angeles Angels,Chester Pimentel,Ryan Smith,Aaron Brown,2022-03-18 - Los Angeles Angels (8) @ Oakland Athletics (10) (Final),2022,
706993,2022-03-20T01:05:00Z,2022-03-19,S,Final,Oakland Athletics,Cincinnati Reds,133,113,N,1,Tyler Mahle,Sean Manaea,,,3,9,9,Top,3834,Goodyear Ballpark,[],CIN wins Spring,Cincinnati Reds,Oakland Athletics,Tyler Mahle,Sean Manaea,,2022-03-19 - Oakland Athletics (3) @ Cincinnati Reds (9) (Final),2022,
706877,2022-03-20T20:05:00Z,2022-03-20,S,Final: Tied,Cleveland Guardians,Oakland Athletics,114,133,N,1,Cole Irvin,Kirk McCarty,,,9,9,9,Bottom,2507,Hohokam Stadium,[],,,,,,,2022-03-20 - Cleveland Guardians @ Oakland Athletics (Final: Tied),2022,
706948,2022-03-22T20:05:00Z,2022-03-22,S,Final,Oakland Athletics,Kansas City Royals,133,118,N,1,Angel Zerpa,Frankie Montas,,,3,5,9,Top,2603,Surprise Stadium,[],KC wins Spring,Kansas City Royals,Oakland Athletics,Jake Brentz,Luis Romero,Scott Barlow,2022-03-22 - Oakland Athletics (3) @ Kansas City Royals (5) (Final),2022,
707012,2022-03-23T20:05:00Z,2022-03-23,S,Final,Oakland Athletics,Chicago Cubs,133,112,N,1,Marcus Stroman,Adam Oller,,,4,5,9,Top,4629,Sloan Park,[],CHC wins Spring,Chicago Cubs,Oakland Athletics,Jesse Chavez,Zach Logue,Cayne Ueckert,2022-03-23 - Oakland Athletics (4) @ Chicago Cubs (5) (Final),2022,
706879,2022-03-24T20:05:00Z,2022-03-24,S,Final,Texas Rangers,Oakland Athletics,140,133,N,1,Sean Manaea,Jon Gray,,,5,3,9,Bottom,2507,Hohokam Stadium,['MLB.tv Free Game'],TEX wins Spring,Texas Rangers,Oakland Athletics,Spencer Howard,Brent Honeywell,Brandon Workman,2022-03-24 - Texas Rangers (5) @ Oakland Athletics (3) (Final),2022,
706880,2022-03-25T20:05:00Z,2022-03-25,S,Final,Milwaukee Brewers,Oakland Athletics,158,133,N,1,Cole Irvin,Freddy Peralta,,,3,6,9,Top,2507,Hohokam Stadium,[],OAK wins Spring,Oakland Athletics,Milwaukee Brewers,Justin Grimm,Matt Hardy,Shohei Tomioka,2022-03-25 - Milwaukee Brewers (3) @ Oakland Athletics (6) (Final),2022,
706980,2022-03-26T20:05:00Z,2022-03-26,S,Final,Oakland Athletics,Cleveland Guardians,133,114,N,1,Logan Allen,Daulton Jefferies,,,2,9,9,Top,3834,Goodyear Ballpark,[],CLE wins Spring,Cleveland Guardians,Oakland Athletics,Logan Allen,Daulton Jefferies,,2022-03-26 - Oakland Athletics (2) @ Cleveland Guardians (9) (Final),2022,
706876,2022-03-27T20:05:00Z,2022-03-27,S,Final,Seattle Mariners,Oakland Athletics,136,133,N,1,Frankie Montas,Matt Brash,,,7,1,9,Bottom,2507,Hohokam Stadium,[],SEA wins Spring,Seattle Mariners,Oakland Athletics,Matt Brash,Frankie Montas,,2022-03-27 - Seattle Mariners (7) @ Oakland Athletics (1) (Final),2022,
706935,2022-03-28T20:10:00Z,2022-03-28,S,Final,Oakland Athletics,Los Angeles Angels,133,108,N,1,Noah Syndergaard,Paul Blackburn,,,2,7,9,Top,2500,Tempe Diablo Stadium,[],LAA wins Spring,Los Angeles Angels,Oakland Athletics,Noah Syndergaard,Paul Blackburn,,2022-03-28 - Oakland Athletics (2) @ Los Angeles Angels (7) (Final),2022,
706929,2022-03-30T01:05:00Z,2022-03-29,S,Final,Oakland Athletics,Los Angeles Dodgers,133,119,N,1,Tony Gonsolin,Sean Manaea,,,4,6,9,Top,3809,Camelback Ranch,[],LAD wins Spring,Los Angeles Dodgers,Oakland Athletics,Tyler Anderson,Grant Holmes,Daniel Hudson,2022-03-29 - Oakland Athletics (4) @ Los Angeles Dodgers (6) (Final),2022,
706878,2022-03-30T20:05:00Z,2022-03-30,S,Final,Cincinnati Reds,Oakland Athletics,113,133,N,1,Cole Irvin,Vladimir Gutierrez,,,4,5,9,Top,2507,Hohokam Stadium,[],OAK wins Spring,Oakland Athletics,Cincinnati Reds,Cole Irvin,Vladimir Gutierrez,Dany Jiménez,2022-03-30 - Cincinnati Reds (4) @ Oakland Athletics (5) (Final),2022,
706871,2022-03-31T20:05:00Z,2022-03-31,S,Final,Kansas City Royals,Oakland Athletics,118,133,N,1,Daulton Jefferies,Kris Bubic,,,5,4,9,Bottom,2507,Hohokam Stadium,[],KC wins Spring,Kansas City Royals,Oakland Athletics,Kris Bubic,Daulton Jefferies,Josh Staumont,2022-03-31 - Kansas City Royals (5) @ Oakland Athletics (4) (Final),2022,
706998,2022-04-01T20:05:00Z,2022-04-01,S,Final,Oakland Athletics,Chicago White Sox,133,145,N,1,Dallas Keuchel,Adam Oller,,,12,4,9,Bottom,3809,Camelback Ranch,[],OAK wins Spring,Oakland Athletics,Chicago White Sox,Adam Oller,Dallas Keuchel,,2022-04-01 - Oakland Athletics (12) @ Chicago White Sox (4) (Final),2022,
706875,2022-04-02T20:05:00Z,2022-04-02,S,Final: Tied,Colorado Rockies,Oakland Athletics,115,133,N,1,Paul Blackburn,Matt Dennis,,,11,11,9,Bottom,2507,Hohokam Stadium,[],,,,,,,2022-04-02 - Colorado Rockies @ Oakland Athletics (Final: Tied),2022,
706873,2022-04-03T20:05:00Z,2022-04-03,S,Final,San Diego Padres,Oakland Athletics,135,133,N,1,Domingo Acevedo,Sean Manaea,,,2,8,9,Top,2507,Hohokam Stadium,[],OAK wins Spring,Oakland Athletics,San Diego Padres,Kirby Snead,Sean Manaea,Collin Wiles,2022-04-03 - San Diego Padres (2) @ Oakland Athletics (8) (Final),2022,
706874,2022-04-04T20:05:00Z,2022-04-04,S,Final,San Francisco Giants,Oakland Athletics,137,133,N,1,Cole Irvin,Anthony DeSclafani,,,5,3,9,Bottom,2507,Hohokam Stadium,[],SF leads 1-0,San Francisco Giants,Oakland Athletics,Anthony DeSclafani,Cole Irvin,John Brebbia,2022-04-04 - San Francisco Giants (5) @ Oakland Athletics (3) (Final),2022,
706834,2022-04-05T20:05:00Z,2022-04-05,S,Final: Tied,Oakland Athletics,San Francisco Giants,133,137,N,1,Alex Wood,Daulton Jefferies,,,7,7,9,Bottom,2532,Scottsdale Stadium,[],SF leads 1-0,,,,,,2022-04-05 - Oakland Athletics @ San Francisco Giants (Final: Tied),2022,
661131,2022-04-08T19:05:00Z,2022-04-08,R,Final,Oakland Athletics,Philadelphia Phillies,133,143,N,1,Aaron Nola,Frankie Montas,,,5,9,9,Top,2681,Citizens Bank Park,['MLBN'],PHI leads 1-0,Philadelphia Phillies,Oakland Athletics,Aaron Nola,Frankie Montas,,2022-04-08 - Oakland Athletics (5) @ Philadelphia Phillies (9) (Final),2022,
661130,2022-04-09T20:05:00Z,2022-04-09,R,Final,Oakland Athletics,Philadelphia Phillies,133,143,N,1,Kyle Gibson,Cole Irvin,,,2,4,9,Top,2681,Citizens Bank Park,[],PHI wins 2-0,Philadelphia Phillies,Oakland Athletics,Kyle Gibson,Cole Irvin,Corey Knebel,2022-04-09 - Oakland Athletics (2) @ Philadelphia Phillies (4) (Final),2022,
