game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,summary,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,SEASON,losing_Team
469604,2016-03-16T17:05:00Z,2016-03-16,S,Final,Pittsburgh Pirates,Baltimore Orioles,134,110,N,1,Kevin Gausman,Juan Nicasio,,,3,9,9,Top,2508,Ed Smith Stadium,['MLB.TV'],BAL wins Spring,2016-03-16 - Pittsburgh Pirates (3) @ Baltimore Orioles (9) (Final),Baltimore Orioles,Pittsburgh Pirates,Dylan Bundy,Arquimedes Caminero,Pedro Beato,2016,
469747,2016-03-17T17:05:00Z,2016-03-17,S,Final,New York Yankees,Pittsburgh Pirates,147,134,N,1,Jeff Locke,Masahiro Tanaka,,,7,2,9,Bottom,2526,McKechnie Field,['MLB.TV'],NYY wins Spring,2016-03-17 - New York Yankees (7) @ Pittsburgh Pirates (2) (Final),New York Yankees,Pittsburgh Pirates,Luis Severino,Jeff Locke,,2016,
469772,2016-03-18T17:05:00Z,2016-03-18,S,Final,Pittsburgh Pirates,Philadelphia Phillies,134,143,N,1,Charlie Morton,Kyle Lobstein,,,12,15,9,Top,2700,Bright House Field,['MLB.TV'],PHI wins Spring,2016-03-18 - Pittsburgh Pirates (12) @ Philadelphia Phillies (15) (Final),Philadelphia Phillies,Pittsburgh Pirates,Charlie Morton,Wilfredo Boscan,,2016,
469808,2016-03-19T17:05:00Z,2016-03-19,S,Cancelled,Minnesota Twins,Pittsburgh Pirates,142,134,N,1,Jonathon Niese,Tommy Milone,,,0,0,,,2526,McKechnie Field,[],,2016-03-19 - Minnesota Twins @ Pittsburgh Pirates (Cancelled),,,,,,2016,
469844,2016-03-20T17:07:00Z,2016-03-20,S,Final,Pittsburgh Pirates,Toronto Blue Jays,134,141,N,1,Marco Estrada,A.J. Schugel,,,2,3,9,Top,2536,Florida Auto Exchange Stadium,['MLB.TV'],TOR wins Spring,2016-03-20 - Pittsburgh Pirates (2) @ Toronto Blue Jays (3) (Final),Toronto Blue Jays,Pittsburgh Pirates,Gavin Floyd,Cory Luebke,Pat Venditte,2016,
469866,2016-03-21T17:05:00Z,2016-03-21,S,Final,Pittsburgh Pirates,Minnesota Twins,134,142,N,1,Kyle Gibson,Juan Nicasio,,,2,0,9,Bottom,2862,CenturyLink Sports Complex,[],PIT wins Spring,2016-03-21 - Pittsburgh Pirates (2) @ Minnesota Twins (0) (Final),Pittsburgh Pirates,Minnesota Twins,Juan Nicasio,Kyle Gibson,Jim Fuller,2016,
469870,2016-03-21T17:05:00Z,2016-03-21,S,Final,Atlanta Braves,Pittsburgh Pirates,144,134,N,1,Francisco Liriano,Jhoulys Chacín,,,7,3,9,Bottom,2526,McKechnie Field,[],ATL wins Spring,2016-03-21 - Atlanta Braves (7) @ Pittsburgh Pirates (3) (Final),Atlanta Braves,Pittsburgh Pirates,Jhoulys Chacín,Francisco Liriano,,2016,
469918,2016-03-23T17:05:00Z,2016-03-23,S,Final,Baltimore Orioles,Pittsburgh Pirates,110,134,N,1,Jeff Locke,Miguel González,,,5,6,9,Top,2526,McKechnie Field,['MLB.TV'],PIT leads 1-0,2016-03-23 - Baltimore Orioles (5) @ Pittsburgh Pirates (6) (Final),Pittsburgh Pirates,Baltimore Orioles,Jeff Locke,Miguel González,Rob Scahill,2016,
469610,2016-03-24T17:05:00Z,2016-03-24,S,Final,Pittsburgh Pirates,Baltimore Orioles,134,110,N,1,Tyler Wilson,Jonathon Niese,,,5,6,9,Bottom,2508,Ed Smith Stadium,[],Series tied 1-1,2016-03-24 - Pittsburgh Pirates (5) @ Baltimore Orioles (6) (Final),Baltimore Orioles,Pittsburgh Pirates,Mychal Givens,Eric O'Flaherty,,2016,
469638,2016-03-25T22:05:00Z,2016-03-25,S,Final,Pittsburgh Pirates,Boston Red Sox,134,111,N,1,David Price,Ryan Vogelsong,,,3,6,9,Top,4309,JetBlue Park,['MLB.TV'],BOS wins Spring,2016-03-25 - Pittsburgh Pirates (3) @ Boston Red Sox (6) (Final),Boston Red Sox,Pittsburgh Pirates,David Price,Ryan Vogelsong,Matt Barnes,2016,
