name,date_zori,zori,lat,lng,population_x,one_year_change,five_year_change,one_year_date,five_year_date,population_y,date_homebuilding,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population,rt_pc,multi_rt_pc,region
"Jacksonville, FL",2025-08-01,1684.4938710386086,30.3322,-81.6749,1303156.0,0.9082835765212627,36.118669771950906,2024-08-01,2020-08-01,1760548.0,2025-08-01,1343.0,850.0,6.0,0.0,487.0,493.0,13926.0,3458.0,1760548.0,7.910037102084124,1.9641611589118844,Southeast
"Kansas City, MO",2025-08-01,1479.9552282479708,39.1238,-94.5541,1686807.0,4.353840147027621,37.26341861871249,2024-08-01,2020-08-01,2253579.0,2025-08-01,943.0,429.0,4.0,18.0,492.0,514.0,9440.0,4327.0,2253579.0,4.188892424006436,1.9200569405376957,Midwest
"Las Vegas, NV",2025-08-01,1758.4586922627218,36.2333,-115.2654,2256509.0,0.41888959346418897,35.39170648831613,2024-08-01,2020-08-01,2398871.0,2025-08-01,606.0,594.0,0.0,0.0,12.0,12.0,12299.0,2561.0,2398871.0,5.126995157305249,1.067585543366025,West
"Los Angeles, CA",2025-08-01,2926.49269982216,34.1141,-118.4068,11885717.0,2.7945636518330597,29.774209794021765,2024-08-01,2020-08-01,12927614.0,2025-08-01,2853.0,1032.0,118.0,32.0,1671.0,1821.0,26968.0,14793.0,12927614.0,2.0860771368947124,1.1442946857788296,West
"Memphis, TN",2025-08-01,1448.4129019381294,35.1087,-89.9663,1033394.0,2.2505984283127,34.05805517334532,2024-08-01,2020-08-01,1339345.0,2025-08-01,237.0,237.0,0.0,0.0,0.0,0.0,3136.0,82.0,1339345.0,2.3414430187890347,0.06122395648619288,Southeast
"Miami, FL",2025-08-01,2670.734817358158,25.784,-80.2101,6113982.0,1.286411765286788,54.43701986328271,2024-08-01,2020-08-01,6457988.0,2025-08-01,939.0,391.0,34.0,6.0,508.0,548.0,20002.0,14906.0,6457988.0,3.097249483894984,2.308149225424389,Southeast
"Milwaukee, WI",2025-08-01,1418.4957143481404,43.0642,-87.9675,1290221.0,3.8473201624986464,31.280516396893066,2024-08-01,2020-08-01,1574452.0,2025-08-01,233.0,164.0,16.0,4.0,49.0,69.0,3362.0,1622.0,1574452.0,2.1353461394821815,1.0301997139322128,Midwest
"Minneapolis, MN",2025-08-01,1705.626603688576,44.9635,-93.2678,2906807.0,3.9065245915014035,19.11752466016974,2024-08-01,2020-08-01,3757952.0,2025-08-01,1702.0,825.0,12.0,7.0,858.0,877.0,15155.0,5970.0,3757952.0,4.032781685343506,1.5886312544705201,Midwest
"Nashville, TN",2025-08-01,1812.8525294584908,36.1715,-86.7842,1178679.0,0.350291900945221,28.55408548834959,2024-08-01,2020-08-01,2150553.0,2025-08-01,1408.0,1037.0,6.0,6.0,359.0,371.0,19721.0,6202.0,2150553.0,9.170199478924722,2.883909394467376,Southeast
"New York, NY",2025-08-01,3392.266329870573,40.6943,-73.9249,18832416.0,4.512455385629921,36.003425450455005,2024-08-01,2020-08-01,19940274.0,2025-08-01,3819.0,956.0,166.0,117.0,2580.0,2863.0,46851.0,34759.0,19940274.0,2.3495665104702175,1.7431555855250536,Northeast
"Oklahoma City, OK",2025-08-01,1346.4474533366165,35.4676,-97.5136,1000207.0,3.111085708347394,31.73450598696974,2024-08-01,2020-08-01,1497821.0,2025-08-01,704.0,503.0,28.0,3.0,170.0,201.0,7815.0,1602.0,1497821.0,5.217579403680413,1.069553705015486,Southwest
"Orlando, FL",2025-08-01,1990.8378295520292,28.4773,-81.337,1913597.0,0.30970907716494356,37.795179467780194,2024-08-01,2020-08-01,2940513.0,2025-08-01,1649.0,927.0,10.0,8.0,704.0,722.0,26854.0,11179.0,2940513.0,9.1324200913242,3.8017175914542802,Southeast
"Philadelphia, PA",2025-08-01,1868.372378194166,40.0077,-75.1339,5696588.0,3.4655071345562893,29.34243038710069,2024-08-01,2020-08-01,6330422.0,2025-08-01,842.0,618.0,40.0,54.0,130.0,224.0,13263.0,5308.0,6330422.0,2.0951209887745237,0.8384907040952404,Northeast
"Phoenix, AZ",2025-08-01,1777.8936452694536,33.5722,-112.0892,4065338.0,-0.48467695722533843,33.979100986594624,2024-08-01,2020-08-01,5186958.0,2025-08-01,1809.0,1529.0,26.0,8.0,246.0,280.0,38711.0,12606.0,5186958.0,7.463141209163444,2.4303262143244653,Southwest
"Pittsburgh, PA",2025-08-01,1469.861124662354,40.4397,-79.9763,1712828.0,4.369144552656801,29.19131213577215,2024-08-01,2020-08-01,2429917.0,2025-08-01,404.0,300.0,4.0,0.0,100.0,104.0,5466.0,1769.0,2429917.0,2.2494595494414003,0.7280084052253636,Northeast
"Portland, OR",2025-08-01,1850.5192639320985,45.5371,-122.65,2084045.0,1.4540439668867533,25.357642812387237,2024-08-01,2020-08-01,2537904.0,2025-08-01,570.0,433.0,6.0,9.0,122.0,137.0,8856.0,2895.0,2537904.0,3.4894936924328106,1.1407050857715657,West
"Providence, RI",2025-08-01,2144.8370188617723,41.823,-71.4187,1270529.0,5.278323038426436,51.03222012208792,2024-08-01,2020-08-01,1700901.0,2025-08-01,189.0,94.0,14.0,7.0,74.0,95.0,2223.0,966.0,1700901.0,1.3069543730058362,0.5679342889445064,Northeast
"Raleigh, NC",2025-08-01,1717.430104681246,35.8324,-78.6429,1150010.0,0.3777420995087599,30.521933008403845,2024-08-01,2020-08-01,1562009.0,2025-08-01,2006.0,978.0,56.0,0.0,972.0,1028.0,17656.0,5671.0,1562009.0,11.303391977895133,3.630580873733762,Southeast
"Richmond, VA",2025-08-01,1705.1164520428556,37.5295,-77.4756,1081248.0,4.2542664684321885,39.44632019463328,2024-08-01,2020-08-01,1370165.0,2025-08-01,376.0,328.0,42.0,0.0,6.0,48.0,9432.0,4753.0,1370165.0,6.88384245693037,3.468925275423033,Southeast
"Riverside, CA",2025-08-01,2518.4300728208923,33.9381,-117.3949,2288508.0,2.628765165842628,43.137116370568826,2024-08-01,2020-08-01,4744214.0,2025-08-01,1116.0,564.0,20.0,16.0,516.0,552.0,14807.0,4564.0,4744214.0,3.121064943529107,0.9620139395061016,West
"Sacramento, CA",2025-08-01,2288.593789766958,38.5677,-121.4685,1962998.0,2.3453965497038043,30.507166061718905,2024-08-01,2020-08-01,2463127.0,2025-08-01,855.0,525.0,40.0,0.0,290.0,330.0,10325.0,2445.0,2463127.0,4.191826081237386,0.9926406555569405,West
"Salt Lake City, UT",2025-08-01,1659.5314277585574,40.7776,-111.9311,1169033.0,0.590760634664389,32.43072291976752,2024-08-01,2020-08-01,1300762.0,2025-08-01,736.0,241.0,10.0,27.0,458.0,495.0,6639.0,3508.0,1300762.0,5.103931387909548,2.6968807514364657,West
"San Antonio, TX",2025-08-01,1429.6061182744336,29.4632,-98.5238,2069843.0,-0.7476544619536396,19.51504633967991,2024-08-01,2020-08-01,2763006.0,2025-08-01,663.0,607.0,0.0,0.0,56.0,56.0,12365.0,2703.0,2763006.0,4.475198389000965,0.9782823490068425,Southwest
"San Diego, CA",2025-08-01,2987.5817804747767,32.8313,-117.1222,3057778.0,1.7663360851182697,41.41236552875913,2024-08-01,2020-08-01,3298799.0,2025-08-01,721.0,247.0,60.0,4.0,410.0,474.0,12365.0,8936.0,3298799.0,3.7483338633241976,2.708864650437932,West
"San Francisco, CA",2025-08-01,3096.700809306837,37.7558,-122.4449,3364862.0,4.866037967166892,13.425750246355705,2024-08-01,2020-08-01,4648486.0,2025-08-01,354.0,242.0,4.0,3.0,105.0,112.0,6176.0,3561.0,4648486.0,1.3286046252478765,0.766055872815364,West
"San Jose, CA",2025-08-01,3442.389636601563,37.3012,-121.848,1771563.0,3.162274008422883,17.78072225815459,2024-08-01,2020-08-01,1995484.0,2025-08-01,1234.0,179.0,0.0,0.0,1055.0,1055.0,4507.0,2423.0,1995484.0,2.2585999186162358,1.214241757889314,West
"Seattle, WA",2025-08-01,2238.7874076830326,47.6211,-122.3244,3555253.0,2.5702420224439138,25.390606448036166,2024-08-01,2020-08-01,4145494.0,2025-08-01,1550.0,494.0,92.0,14.0,950.0,1056.0,15748.0,9646.0,4145494.0,3.7988234936535914,2.326863818883829,West
"St. Louis, MO",2025-08-01,1385.1717063264532,38.6359,-90.2451,2127843.0,3.286890773370943,36.01944282063234,2024-08-01,2020-08-01,2811927.0,2025-08-01,607.0,378.0,6.0,26.0,197.0,229.0,6406.0,2133.0,2811927.0,2.2781530245984336,0.7585545428455291,Midwest
"Tampa, FL",2025-08-01,2046.6360978937992,27.9945,-82.4447,2906035.0,2.7022706589303835,49.0856018976876,2024-08-01,2020-08-01,3424560.0,2025-08-01,2908.0,1324.0,58.0,6.0,1520.0,1584.0,20480.0,7546.0,3424560.0,5.980330319807509,2.2034947555306377,Southeast
"Virginia Beach, VA",2025-08-01,1802.5141590420703,36.7335,-76.0435,1431821.0,4.488914670956379,43.86384331036295,2024-08-01,2020-08-01,1794278.0,2025-08-01,279.0,270.0,0.0,0.0,9.0,9.0,4608.0,1269.0,1794278.0,2.5681639077110683,0.7072482636469934,Southeast
"Washington, DC",2025-08-01,2411.0333869235437,38.9047,-77.0163,5146120.0,2.155355042327467,25.42616020965376,2024-08-01,2020-08-01,6436489.0,2025-08-01,2210.0,766.0,2.0,0.0,1442.0,1444.0,18407.0,7602.0,6436489.0,2.8597889315121954,1.181078690571832,Northeast
