name,date,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population,rt_pc,multi_rt_pc,lat,lng,region
"Athens, GA",2025-08-01,101.0,55.0,0.0,0.0,46.0,46.0,1581.0,788.0,223689.0,7.067848664887411,3.5227481011583044,33.9508,-83.3689,
"Athens, OH",2025-08-01,3.0,0.0,0.0,3.0,0.0,3.0,58.0,53.0,,,,39.327,-82.0987,
"Athens, TN",2025-08-01,15.0,9.0,0.0,6.0,0.0,6.0,148.0,22.0,,,,35.4573,-84.6045,
"Athens, TX",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,231.0,8.0,,,,32.2041,-95.8321,
"Atlanta, GA",2025-08-01,2192.0,1836.0,10.0,10.0,336.0,356.0,33945.0,10901.0,6411149.0,5.29468274719555,1.7003192407476413,33.7628,-84.422,Southeast
"Atlantic City, NJ",2025-08-01,119.0,91.0,10.0,13.0,5.0,28.0,1668.0,496.0,372989.0,4.471981747450997,1.3297979296976588,39.3797,-74.4527,
"Auburn, AL",2025-08-01,139.0,139.0,0.0,0.0,0.0,0.0,1882.0,163.0,206006.0,9.135656243022048,0.7912390901235886,32.6087,-85.4903,
"Auburn, IN",2025-08-01,24.0,6.0,0.0,0.0,18.0,18.0,116.0,18.0,,,,41.3666,-85.0559,
"Auburn, NY",2025-08-01,7.0,7.0,0.0,0.0,0.0,0.0,120.0,35.0,,,,42.9338,-76.5685,
"Augusta, GA",2025-08-01,265.0,262.0,0.0,3.0,0.0,3.0,4358.0,1023.0,636760.0,6.844022865757899,1.6065707644952574,33.3645,-82.0708,
"Augusta, ME",2025-08-01,43.0,40.0,0.0,3.0,0.0,3.0,482.0,40.0,,,,44.3341,-69.7319,
"Austin, MN",2025-08-01,6.0,6.0,0.0,0.0,0.0,0.0,142.0,102.0,,,,43.6721,-92.9784,
"Austin, TX",2025-08-01,1210.0,1153.0,16.0,0.0,41.0,57.0,29073.0,13275.0,2550637.0,11.398329123273912,5.204582227890524,30.3005,-97.7522,Southwest
"Bainbridge, GA",2025-08-01,11.0,6.0,0.0,0.0,5.0,5.0,142.0,64.0,,,,30.9052,-84.5732,
"Baker City, OR",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,45.0,2.0,,,,44.7749,-117.832,
"Bakersfield, CA",2025-08-01,309.0,273.0,26.0,0.0,10.0,36.0,2972.0,259.0,922529.0,3.221578942233794,0.28074998184338923,35.3529,-119.0359,
"Baltimore, MD",2025-08-01,378.0,294.0,2.0,0.0,82.0,84.0,6804.0,3195.0,2859024.0,2.379833117875191,1.1175142286318689,39.3051,-76.6144,Northeast
"Bangor, ME",2025-08-01,35.0,28.0,2.0,0.0,5.0,7.0,532.0,183.0,156840.0,3.3919918388166286,1.1667941851568477,44.8323,-68.7906,
"Baraboo, WI",2025-08-01,26.0,22.0,4.0,0.0,0.0,4.0,281.0,70.0,,,,43.4695,-89.7376,
"Barnstable Town, MA",2025-08-01,42.0,37.0,0.0,0.0,5.0,5.0,752.0,339.0,232570.0,3.2334350948101647,1.4576256610912843,,,
"Barre, VT",2025-08-01,15.0,15.0,0.0,0.0,0.0,0.0,150.0,14.0,,,,44.1998,-72.5085,
"Bartlesville, OK",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,32.0,11.0,,,,36.7365,-95.9456,
"Batavia, NY",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,,,,42.9987,-78.1802,
"Batesville, AR",2025-08-01,6.0,0.0,0.0,0.0,6.0,6.0,22.0,17.0,,,,35.7687,-91.6227,
"Baton Rouge, LA",2025-08-01,686.0,249.0,10.0,0.0,427.0,437.0,3981.0,765.0,882652.0,4.510271318707713,0.8667062443635771,30.442,-91.1311,
"Battle Creek, MI",2025-08-01,9.0,9.0,0.0,0.0,0.0,0.0,133.0,0.0,133785.0,0.9941323765743544,0.0,42.2985,-85.2296,
"Bay City, MI",2025-08-01,4.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,102651.0,0.3701863596068231,0.0,43.5902,-83.8887,
"Bay City, TX",2025-08-01,17.0,17.0,0.0,0.0,0.0,0.0,265.0,44.0,,,,28.9838,-95.9601,
"Beatrice, NE",2025-08-01,3.0,3.0,0.0,0.0,0.0,0.0,43.0,16.0,,,,40.2736,-96.7455,
"Beaumont, TX",2025-08-01,83.0,83.0,0.0,0.0,0.0,0.0,1016.0,94.0,398733.0,2.5480710149398216,0.23574672776018038,30.0849,-94.1451,
"Beaver Dam, WI",2025-08-01,13.0,13.0,0.0,0.0,0.0,0.0,347.0,133.0,,,,43.4688,-88.8309,
"Beckley, WV",2025-08-01,7.0,7.0,0.0,0.0,0.0,0.0,78.0,0.0,110979.0,0.7028356716135484,0.0,37.7877,-81.1841,
"Bedford, IN",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,76.0,24.0,,,,38.8602,-86.4895,
"Beeville, TX",2025-08-01,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,,,,28.4053,-97.749,
"Bellefontaine, OH",2025-08-01,21.0,21.0,0.0,0.0,0.0,0.0,139.0,7.0,,,,40.3627,-83.763,
