name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"Bridgeport, CT",2026-08-01,0.2792175133031308,41.1918,-73.1954,-0.00040550591273386116,2025-08-01,972679.0
"Brownsville, TX",2026-08-01,0.3059509862003484,25.9975,-97.458,0.0016328438971006665,2025-08-01,431874.0
"Brunswick, GA",2026-08-01,0.2627462208196843,31.1449,-81.4746,-0.003664692221616195,2025-08-01,117135.0
"Buffalo, NY",2026-08-01,0.2255390963610722,42.9018,-78.8487,0.0004755071442194836,2025-08-01,1160172.0
"Burlington, NC",2026-08-01,0.224582732176711,36.076,-79.4685,-0.00178237298715192,2025-08-01,183040.0
"Burlington, VT",2026-08-01,0.2707000393518924,44.4876,-73.2316,-0.00518994691538599,2025-08-01,229445.0
"California, MD",2026-08-01,0.2123396181115748,38.2969,-76.4949,-0.006387376577730197,2025-08-01,
"Canton, OH",2026-08-01,0.1822443317034084,40.8078,-81.3676,0.003657928927301407,2025-08-01,400551.0
"Cape Coral, FL",2026-08-01,0.2443257592112904,26.6443,-81.9957,-0.012038811348384582,2025-08-01,860959.0
"Cape Girardeau, MO",2026-08-01,0.1663571630099536,37.3109,-89.5597,3.375715140960245e-05,2025-08-01,98862.0
"Carbondale, IL",2026-08-01,0.1760760359047848,37.7221,-89.2237,0.0013634453118059053,2025-08-01,
"Carson City, NV",2026-08-01,0.3415256970726349,39.1511,-119.7476,0.005396641013308223,2025-08-01,58148.0
"Casper, WY",2026-08-01,0.2227780868540335,42.842,-106.3208,-0.00540998220342831,2025-08-01,80410.0
"Cedar Rapids, IA",2026-08-01,0.191035479601429,41.9662,-91.6783,0.017642833925462287,2025-08-01,278677.0
"Chambersburg, PA",2026-08-01,0.2062403487904316,39.9315,-77.6556,-0.0003656446491286103,2025-08-01,159285.0
"Champaign, IL",2026-08-01,0.2322840870041451,40.1142,-88.2737,0.00431410461574,2025-08-01,242453.0
"Charleston, SC",2026-08-01,0.2541696971425347,32.8168,-79.9687,0.0015902018975825771,2025-08-01,869940.0
"Charleston, WV",2026-08-01,0.226209516364547,38.3484,-81.6322,0.002449090867383208,2025-08-01,202091.0
"Charlotte, NC",2026-08-01,0.2274373705874019,35.2083,-80.8303,-0.005484236951044608,2025-08-01,2883370.0
"Charlottesville, VA",2026-08-01,0.2356320297600326,38.0375,-78.4855,-0.0052945855494076766,2025-08-01,227336.0
"Chattanooga, TN",2026-08-01,0.2292455499029051,35.066,-85.2481,-0.004197333777612389,2025-08-01,588050.0
"Cheyenne, WY",2026-08-01,0.2022740782261806,41.135,-104.7902,0.0023813235650257947,2025-08-01,101783.0
"Chicago, IL",2026-08-01,0.2792917388001157,41.8375,-87.6866,0.005482559616393823,2025-08-01,9408576.0
"Chico, CA",2026-08-01,0.2640540584277773,39.7578,-121.8161,-0.0015923577448895831,2025-08-01,208334.0
"Cincinnati, OH",2026-08-01,0.213893295238909,39.1413,-84.506,-0.0007548079372242111,2025-08-01,2302815.0
"Clarksville, TN",2026-08-01,0.210722501707398,36.5692,-87.3413,-0.0026471698194378834,2025-08-01,345955.0
"Cleveland, OH",2026-08-01,0.2360549594186302,41.4764,-81.6805,0.002996132895259407,2025-08-01,2171877.0
"Cleveland, TN",2026-08-01,0.218219919921773,35.1817,-84.8707,-0.0036390309234073104,2025-08-01,132120.0
"Coeur d'Alene, ID",2026-08-01,0.2430782373015307,47.704,-116.7936,-0.00011738218022441793,2025-08-01,188323.0
"College Station, TX",2026-08-01,0.2598827150791838,30.5852,-96.2959,-0.0047341809208646946,2025-08-01,287462.0
"Colorado Springs, CO",2026-08-01,0.2214263222173362,38.8674,-104.7605,-0.0034668480284840986,2025-08-01,777634.0
"Columbia, MO",2026-08-01,0.1948176876988335,38.9472,-92.3268,0.0017879544260929192,2025-08-01,219426.0
"Columbia, SC",2026-08-01,0.2469835896000813,34.0378,-80.9036,-0.0030439664019053236,2025-08-01,870193.0
"Columbus, GA",2026-08-01,0.2461304398982755,32.51,-84.8771,0.002743184079352784,2025-08-01,324343.0
"Columbus, IN",2026-08-01,0.1942660697322971,39.2093,-85.9183,-0.0027563312384785155,2025-08-01,84741.0
"Columbus, OH",2026-08-01,0.2042378383324401,39.9862,-82.9855,-0.002010972465589289,2025-08-01,2225377.0
"Corpus Christi, TX",2026-08-01,0.2324407676635962,27.7254,-97.3767,0.000589464338929202,2025-08-01,450187.0
"Corvallis, OR",2026-08-01,0.2473233100322223,44.5698,-123.2779,-0.0015076188277391989,2025-08-01,98899.0
"Crestview, FL",2026-08-01,0.2748975127882394,30.7477,-86.5785,-0.0026328667480343126,2025-08-01,310149.0
"Cumberland, MD",2026-08-01,0.1906296524522425,39.6515,-78.7584,-0.0007493080952521991,2025-08-01,
"Dallas, TX",2026-08-01,0.2004321822787425,32.7935,-96.7667,-0.005712137441798021,2025-08-01,8344032.0
"Dalton, GA",2026-08-01,0.2533891640905522,34.769,-84.972,0.002633639917797581,2025-08-01,146386.0
"Danville, IL",2026-08-01,0.2089915961341343,40.1426,-87.6111,-0.0003336004095283174,2025-08-01,
"Daphne, AL",2026-08-01,0.2229176233143701,30.6263,-87.8816,0.0006801838206560995,2025-08-01,261608.0
"Davenport, IA",2026-08-01,0.1548039455997751,41.5565,-90.6053,0.0026383785555967876,2025-08-01,381801.0
"Dayton, OH",2026-08-01,0.20944158828648,39.7805,-84.2003,-0.0010305338367421202,2025-08-01,821740.0
"Decatur, AL",2026-08-01,0.1844683022505936,34.5731,-86.9905,-0.0031332971862624015,2025-08-01,159651.0
"Decatur, IL",2026-08-01,0.1865218996861168,39.8557,-88.9342,-0.002334774242744808,2025-08-01,100737.0
"Deltona, FL",2026-08-01,0.2696752599473254,28.905,-81.2137,-0.006055378086384788,2025-08-01,739516.0
"Denver, CO",2026-08-01,0.2003620931035207,39.762,-104.8758,-0.00829462289155608,2025-08-01,3052498.0
"Des Moines, IA",2026-08-01,0.1722193342330043,41.5725,-93.6105,-0.0014996542264713864,2025-08-01,753913.0
"Detroit, MI",2026-08-01,0.2248545922154834,42.3834,-83.1024,0.0012011490419198134,2025-08-01,4400578.0
"Dothan, AL",2026-08-01,0.2375352315733313,31.2336,-85.407,-0.004577119553881098,2025-08-01,154766.0
"Dover, DE",2026-08-01,0.237291911539279,39.161,-75.5202,-0.0027606068416149987,2025-08-01,192690.0
"Dubuque, IA",2026-08-01,0.1487447243055775,42.5002,-90.707,0.0008057263309280138,2025-08-01,99242.0
"Duluth, MN",2026-08-01,0.2186129685375439,46.7756,-92.1393,0.00013109617735329593,2025-08-01,281815.0
"Durham, NC",2026-08-01,0.2246572929615879,35.9792,-78.9022,-0.0049358518602687085,2025-08-01,620522.0
"Eagle Pass, TX",2026-08-01,0.251050286538152,28.7125,-100.484,,2025-08-01,58829.0
