region_name,fips,most_recent_date,most_recent_value,one_year_date,one_year_value,one_year_change
"Los Angeles County, CA",6037,2025-11-30,2809.350346963718,2024-11-30,2749.3624863888044,2.1818825590257345
"Cook County, IL",17031,2025-11-30,2113.4076163972463,2024-11-30,1994.5665999358368,5.958237567260601
"Harris County, TX",48201,2025-11-30,1583.6355196389045,2024-11-30,1585.160156973796,-0.09618191122101226
"Maricopa County, AZ",4013,2025-11-30,1736.1394456107437,2024-11-30,1748.3662116420037,-0.699325230025869
"San Diego County, CA",6073,2025-11-30,2932.8137186776544,2024-11-30,2896.972312976254,1.2372022176690354
"Orange County, CA",6059,2025-11-30,3154.0251408181007,2024-11-30,3068.6549666284213,2.782006289989548
"Kings County, NY",36047,2025-11-30,3515.7204956709515,2024-11-30,3356.6822003494053,4.737961052881072
"Miami-Dade County, FL",12086,2025-11-30,2797.622432130444,2024-11-30,2797.108153478699,0.018386083895444664
"Dallas County, TX",48113,2025-11-30,1635.4234716063747,2024-11-30,1631.3278560392116,0.2510602361138543
"Riverside County, CA",6065,2025-11-30,2553.5832436669552,2024-11-30,2509.671529803902,1.7496996456139526
"Queens County, NY",36081,2025-11-30,3002.3619608350928,2024-11-30,2858.8983243867297,5.018144060059845
"King County, WA",53033,2025-11-30,2267.3770671432244,2024-11-30,2217.102354667341,2.2675864454362005
"Clark County, NV",32003,2025-11-30,1738.8209299673626,2024-11-30,1728.668302091299,0.5873091942382046
"San Bernardino County, CA",6071,2025-11-30,2439.749320686977,2024-11-30,2394.2908019649676,1.8986214491866344
"Tarrant County, TX",48439,2025-11-30,1616.413856191434,2024-11-30,1600.2380983076991,1.0108344440018764
"Bexar County, TX",48029,2025-11-30,1362.1004677564176,2024-11-30,1370.970619363919,-0.6469979357848541
"Santa Clara County, CA",6085,2025-11-30,3419.2825486311144,2024-11-30,3281.668052549745,4.193431324489009
"Broward County, FL",12011,2025-11-30,2466.4168682706586,2024-11-30,2439.117816640218,1.119218245391855
