name,date_zori,zori,lat,lng,one_year_change,one_year_date,population_zori,date_homebuilding,total,1 unit,2 units,3 and 4 units,5 units or more,multi_total,rt,multi_rt,population_homebuilding,rt_pc,multi_rt_pc,region,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01
"Atlanta, GA",2026-01-01,1803.8318339328755,33.7628,-84.422,2.3648194986940707,2025-01-01,6411149.0,2026-01-01,2217.0,1478.0,10.0,7.0,722.0,739.0,31975.0,10000.0,6411149.0,4.987405533703865,1.5597828096024597,Southeast,5.95447087565739,6.11949589691333,6.307605703751387,6.171280686192132,6.038387190814003,5.948543700980901,5.930138263827591,5.970380660315335,5.885684453753921,5.879445322515512,6.112476874270119,6.146948074362333,6.058196432495953,5.8392029260277685,5.71410834469765,5.593537133515381,5.541284409393699,5.530209951445521,5.29468274719555,5.370644170023189,5.436155048026492,5.324162642297036,5.13028163906345,4.987405533703865
"Austin, TX",2026-01-01,1556.1408720423958,30.3005,-97.7522,-2.7030379979995467,2025-01-01,2550637.0,2026-01-01,1425.0,991.0,36.0,7.0,391.0,434.0,26955.0,12145.0,2550637.0,10.567948320360758,4.7615556427668855,Southwest,14.6147805430565,14.270160748079793,14.460701385575446,14.419535198462189,14.489321687092284,14.542641700877075,13.856538582322768,13.509566433796733,12.89599421634674,13.160633990646257,13.145735751500508,12.59332472633307,12.554118833844251,12.57372178008866,12.474530872091952,12.766222712208755,12.334957894831762,12.104427246997515,11.398329123273912,11.550055927205635,11.495951795571067,11.072528156691838,10.757312781081746,10.567948320360758
"Baltimore, MD",2026-01-01,1844.6198738337005,39.3051,-76.6144,2.5452852191079955,2025-01-01,2859024.0,2026-01-01,582.0,196.0,4.0,0.0,382.0,386.0,6161.0,2594.0,2859024.0,2.1549311933023296,0.907302631947126,Northeast,1.9971850533608673,2.0353099519276507,2.1157569856006804,1.9891403499935645,2.0353099519276507,2.1136583673309493,2.089874026940662,2.2560146399610495,2.2780501317932274,2.2462210880356372,2.290641841411615,2.399070452014394,2.5424760337793595,2.4760197885712047,2.5354806395469223,2.5697580712858654,2.469723933762011,2.39837091259115,2.379833117875191,2.188858855329651,2.222786517356972,2.3123275635321705,2.199002176966685,2.1549311933023296
"Birmingham, AL",2026-01-01,1402.9922190595055,33.5279,-86.7971,1.8461708476340544,2025-01-01,1192583.0,2026-01-01,291.0,234.0,2.0,7.0,48.0,57.0,4272.0,1136.0,1192583.0,3.582140614112393,0.9525542457002993,Southeast,3.191392129520545,3.216547611361222,3.290337024760541,3.2190631595452897,3.1452737461459708,3.1385656176551233,3.1712677440480035,3.224932771974781,3.3071073459876588,3.33142431176698,3.14946632645275,2.8828182189415745,2.8702404780212363,2.9222284738253017,3.0102726602676713,2.9918253069178413,2.988471242672418,3.003564531776824,3.003564531776824,3.272728187472067,3.2425416092632546,3.2936910890059647,3.556985132271716,3.582140614112393
"Boston, MA",2026-01-01,3065.577318043416,42.3188,-71.0852,2.129125371247098,2025-01-01,5025517.0,2026-01-01,711.0,246.0,16.0,10.0,439.0,465.0,9217.0,5739.0,5025517.0,1.8340401594502616,1.1419720597900673,Northeast,2.3762729287354913,2.3585633080138817,2.3724922231881815,2.304638507839094,2.2928984221921844,2.272204033933225,2.3131948414461636,2.309812104903834,2.3251339115955636,2.3635379205761318,2.220667047788317,2.1536092704491896,2.035014506965154,1.960594303033897,2.0071566766165554,1.9989983120144657,1.8871690216150894,1.8877659751225595,1.8386168030075314,1.844785322584721,1.9062715338541287,1.8792096415154897,1.849560950644481,1.8340401594502616
"Buffalo, NY",2026-01-01,1359.9529428565577,42.9018,-78.8487,2.778885908177653,2025-01-01,1160172.0,2026-01-01,62.0,47.0,0.0,0.0,15.0,15.0,1235.0,446.0,1160172.0,1.0644973331540497,0.38442575756008596,Northeast,1.1955123895422402,1.1696541547287818,1.1808593898146138,1.2024079188258292,1.2403333298855688,1.2627438000572329,1.1963743307026888,1.1696541547287818,1.2248183889974935,1.2282661536392878,1.2248183889974935,1.2058556834676237,1.1239712732250045,1.1187996262623128,1.0894936268070596,1.1093182734973779,1.0205383339711698,0.983474864071879,0.9800270994300845,0.9576166292584203,0.9265867474822699,0.9265867474822699,1.0558779215495635,1.0644973331540497
"Charlotte, NC",2026-01-01,1711.5705756025443,35.2083,-80.8303,1.0766931069735808,2025-01-01,2883370.0,2026-01-01,1431.0,1063.0,4.0,0.0,364.0,368.0,20262.0,4982.0,2883370.0,7.02719387383513,1.727839299153421,Southeast,9.971318283813732,9.862764750968484,9.494792551771019,9.470862220249222,9.488203040192554,9.613750576582264,9.660570790429256,9.357800074218709,9.028324495295436,8.995030121004243,8.960695297516448,9.185779140380873,9.064046584378696,9.194102733953674,8.887517037355593,8.422089430076612,8.533070677713924,8.375616032628487,8.075273031210008,7.851229637542182,7.875506785462843,7.715971241984207,7.329964590045676,7.02719387383513
"Chicago, IL",2026-01-01,2103.057257558016,41.8375,-87.6866,5.326897825629762,2025-01-01,9408576.0,2026-01-01,889.0,460.0,40.0,40.0,349.0,429.0,16193.0,6737.0,9408576.0,1.721089355073499,0.7160488473494819,Midwest,1.5159573563523323,1.5468865851750573,1.507029331537525,1.5584717602323668,1.5571963281159658,1.6010924501221013,1.657317749253447,1.6923921324544755,1.7351191083539104,1.8054804467753676,1.8408736880054963,1.8489514247427028,1.8540531532083069,1.7534003020223252,1.779971804447347,1.8253559305892837,1.8829629478467305,1.9330236584154712,1.8827503758273303,1.8470382765681013,1.8287570828996864,1.7524437279350242,1.7136493343944927,1.721089355073499
"Cincinnati, OH",2026-01-01,1519.9695219955868,39.1413,-84.506,2.4279720758971335,2025-01-01,2302815.0,2026-01-01,980.0,260.0,6.0,6.0,708.0,720.0,7925.0,3727.0,2302815.0,3.441440150424589,1.6184539357264913,Midwest,2.8534641297716057,2.6111520030918682,2.6719471603233433,2.8304488202482614,2.803525250617179,2.8413050983253108,2.809170515217245,2.859543645494753,2.9585529015574417,3.0241248211428187,3.0332440947275403,3.046271628419999,2.916864793741573,3.035849601466032,3.0015437627425565,2.8925467308489825,2.9681064262652446,2.9763571976038024,2.926852569572458,3.220406328775868,3.114014803620786,3.1309505974209824,3.217366570914294,3.441440150424589
"Cleveland, OH",2026-01-01,1375.6918175557696,41.4764,-81.6805,4.489457246223427,2025-01-01,2171877.0,2026-01-01,223.0,198.0,0.0,0.0,25.0,25.0,3915.0,1271.0,2171877.0,1.802588268120156,0.5852080941968629,Midwest,1.4669339009529545,1.4706173507984108,1.515279180174568,1.5235669423268445,1.5240273735575265,1.574214377701868,1.572833084009822,1.630847419075758,1.7026746910621549,1.6828761481428276,1.6750488172212332,1.6860991667576017,1.6377538875359885,1.6147323260018867,1.5903294707757392,1.6326891439984863,1.6501855307644033,1.6036819764655181,1.617955344616661,1.6405164749200805,1.6635380364541823,1.672746661067823,1.8205450861167551,1.802588268120156
