Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,date,multi_total
"Sierra Vista, AZ",28.0,28.0,0.0,0.0,0.0,2025-10-01,0.0
"Sikeston, MO",7.0,7.0,0.0,0.0,0.0,2025-10-01,0.0
"Sioux City, IA",26.0,22.0,4.0,0.0,0.0,2025-10-01,4.0
"Sioux Falls, SD",221.0,138.0,2.0,4.0,77.0,2025-10-01,83.0
"Slidell, LA",112.0,112.0,0.0,0.0,0.0,2025-10-01,0.0
"Snyder, TX",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Somerset, KY",25.0,1.0,0.0,0.0,24.0,2025-10-01,24.0
"Somerset, PA",10.0,10.0,0.0,0.0,0.0,2025-10-01,0.0
"Sonora, CA",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"South Bend, IN",69.0,55.0,10.0,4.0,0.0,2025-10-01,14.0
"Sparta, WI",16.0,14.0,2.0,0.0,0.0,2025-10-01,2.0
"Spartanburg, SC",355.0,355.0,0.0,0.0,0.0,2025-10-01,0.0
"Spearfish, SD",17.0,17.0,0.0,0.0,0.0,2025-10-01,0.0
"Spencer, IA",4.0,0.0,0.0,4.0,0.0,2025-10-01,4.0
"Spirit Lake, IA",13.0,13.0,0.0,0.0,0.0,2025-10-01,0.0
"Spokane, WA",268.0,158.0,10.0,0.0,100.0,2025-10-01,110.0
"Springfield, IL",16.0,14.0,2.0,0.0,0.0,2025-10-01,2.0
"Springfield, MA",34.0,21.0,2.0,0.0,11.0,2025-10-01,13.0
"Springfield, MO",182.0,137.0,22.0,0.0,23.0,2025-10-01,45.0
"Springfield, OH",27.0,27.0,0.0,0.0,0.0,2025-10-01,0.0
"St. Cloud, MN",44.0,41.0,0.0,3.0,0.0,2025-10-01,3.0
"St. George, UT",210.0,161.0,0.0,0.0,49.0,2025-10-01,49.0
"St. Joseph, MO",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"St. Louis, MO",511.0,372.0,16.0,12.0,111.0,2025-10-01,139.0
"St. Marys, PA",6.0,6.0,0.0,0.0,0.0,2025-10-01,0.0
"Starkville, MS",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"State College, PA",15.0,10.0,0.0,0.0,5.0,2025-10-01,5.0
"Statesboro, GA",95.0,87.0,8.0,0.0,0.0,2025-10-01,8.0
"Staunton, VA",101.0,42.0,6.0,0.0,53.0,2025-10-01,59.0
"Steamboat Springs, CO",24.0,24.0,0.0,0.0,0.0,2025-10-01,0.0
"Stephenville, TX",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"Sterling, CO",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Sterling, IL",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"Stevens Point, WI",34.0,18.0,16.0,0.0,0.0,2025-10-01,16.0
"Stillwater, OK",16.0,16.0,0.0,0.0,0.0,2025-10-01,0.0
"Stockton, CA",183.0,183.0,0.0,0.0,0.0,2025-10-01,0.0
"Storm Lake, IA",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Sturgis, MI",22.0,12.0,0.0,0.0,10.0,2025-10-01,10.0
"Sulphur Springs, TX",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"Summerville, GA",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Sumter, SC",26.0,24.0,2.0,0.0,0.0,2025-10-01,2.0
"Sunbury, PA",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"Susanville, CA",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Sweetwater, TX",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Syracuse, NY",79.0,52.0,0.0,4.0,23.0,2025-10-01,27.0
"Tahlequah, OK",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Talladega, AL",44.0,28.0,0.0,0.0,16.0,2025-10-01,16.0
"Tallahassee, FL",211.0,109.0,2.0,0.0,100.0,2025-10-01,102.0
"Tampa, FL",2427.0,1287.0,12.0,0.0,1128.0,2025-10-01,1140.0
"Taos, NM",9.0,9.0,0.0,0.0,0.0,2025-10-01,0.0
"Taylorville, IL",7.0,7.0,0.0,0.0,0.0,2025-10-01,0.0
"Terre Haute, IN",16.0,16.0,0.0,0.0,0.0,2025-10-01,0.0
"Texarkana, TX",15.0,6.0,6.0,3.0,0.0,2025-10-01,9.0
"The Dalles, OR",2.0,2.0,0.0,0.0,0.0,2025-10-01,0.0
"Thomaston, GA",6.0,6.0,0.0,0.0,0.0,2025-10-01,0.0
"Thomasville, GA",14.0,14.0,0.0,0.0,0.0,2025-10-01,0.0
"Tiffin, OH",7.0,7.0,0.0,0.0,0.0,2025-10-01,0.0
"Tifton, GA",13.0,8.0,0.0,0.0,5.0,2025-10-01,5.0
"Toccoa, GA",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"Toledo, OH",36.0,36.0,0.0,0.0,0.0,2025-10-01,0.0
"Topeka, KS",32.0,32.0,0.0,0.0,0.0,2025-10-01,0.0
"Torrington, CT",8.0,8.0,0.0,0.0,0.0,2025-10-01,0.0
"Town of Pecos, TX",2.0,2.0,0.0,0.0,0.0,2025-10-01,0.0
"Traverse City, MI",88.0,86.0,2.0,0.0,0.0,2025-10-01,2.0
"Trenton, NJ",67.0,49.0,2.0,11.0,5.0,2025-10-01,18.0
"Troy, AL",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Truckee, CA",14.0,12.0,2.0,0.0,0.0,2025-10-01,2.0
"Tucson, AZ",371.0,291.0,6.0,0.0,74.0,2025-10-01,80.0
"Tullahoma, TN",52.0,45.0,0.0,0.0,7.0,2025-10-01,7.0
"Tulsa, OK",467.0,321.0,2.0,4.0,140.0,2025-10-01,146.0
"Tupelo, MS",17.0,9.0,2.0,6.0,0.0,2025-10-01,8.0
"Tuscaloosa, AL",52.0,41.0,2.0,4.0,5.0,2025-10-01,11.0
"Twin Falls, ID",72.0,64.0,8.0,0.0,0.0,2025-10-01,8.0
"Tyler, TX",62.0,57.0,0.0,0.0,5.0,2025-10-01,5.0
"Ukiah, CA",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Union City, TN",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Urban Honolulu, HI",165.0,52.0,12.0,0.0,101.0,2025-10-01,113.0
"Urbana, OH",7.0,7.0,0.0,0.0,0.0,2025-10-01,0.0
"Utica, NY",31.0,21.0,0.0,0.0,10.0,2025-10-01,10.0
"Uvalde, TX",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Valdosta, GA",69.0,67.0,2.0,0.0,0.0,2025-10-01,2.0
"Vallejo, CA",72.0,69.0,0.0,3.0,0.0,2025-10-01,3.0
"Van Wert, OH",2.0,2.0,0.0,0.0,0.0,2025-10-01,0.0
"Vermillion, SD",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Vernal, UT",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"Vernon, TX",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Vicksburg, MS",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Victoria, TX",2.0,2.0,0.0,0.0,0.0,2025-10-01,0.0
"Vidalia, GA",7.0,5.0,2.0,0.0,0.0,2025-10-01,2.0
"Vincennes, IN",8.0,8.0,0.0,0.0,0.0,2025-10-01,0.0
"Vineland, NJ",19.0,12.0,2.0,0.0,5.0,2025-10-01,7.0
"Vineyard Haven, MA",15.0,12.0,0.0,3.0,0.0,2025-10-01,3.0
"Virginia Beach, VA",258.0,226.0,0.0,0.0,32.0,2025-10-01,32.0
"Visalia, CA",201.0,77.0,4.0,0.0,120.0,2025-10-01,124.0
"Wabash, IN",21.0,21.0,0.0,0.0,0.0,2025-10-01,0.0
"Waco, TX",61.0,46.0,10.0,0.0,5.0,2025-10-01,15.0
"Wahpeton, ND",3.0,3.0,0.0,0.0,0.0,2025-10-01,0.0
"Walla Walla, WA",29.0,29.0,0.0,0.0,0.0,2025-10-01,0.0
"Wapakoneta, OH",12.0,8.0,4.0,0.0,0.0,2025-10-01,4.0
"Warner Robins, GA",227.0,114.0,0.0,0.0,113.0,2025-10-01,113.0
"Warren, PA",7.0,2.0,0.0,0.0,5.0,2025-10-01,5.0
"Warrensburg, MO",6.0,4.0,2.0,0.0,0.0,2025-10-01,2.0
"Warsaw, IN",46.0,34.0,0.0,0.0,12.0,2025-10-01,12.0
"Washington Court House, OH",13.0,13.0,0.0,0.0,0.0,2025-10-01,0.0
"Washington, IN",2.0,2.0,0.0,0.0,0.0,2025-10-01,0.0
"Washington, NC",9.0,9.0,0.0,0.0,0.0,2025-10-01,0.0
"Washington, DC",1064.0,600.0,2.0,0.0,462.0,2025-10-01,464.0
"Waterbury, CT",36.0,33.0,0.0,3.0,0.0,2025-10-01,3.0
"Waterloo, IA",34.0,24.0,6.0,4.0,0.0,2025-10-01,10.0
"Watertown, SD",13.0,13.0,0.0,0.0,0.0,2025-10-01,0.0
"Watertown, WI",19.0,15.0,4.0,0.0,0.0,2025-10-01,4.0
"Watertown, NY",15.0,15.0,0.0,0.0,0.0,2025-10-01,0.0
"Wausau, WI",43.0,30.0,0.0,0.0,13.0,2025-10-01,13.0
"Waycross, GA",9.0,7.0,2.0,0.0,0.0,2025-10-01,2.0
"Waynesville, NC",28.0,26.0,2.0,0.0,0.0,2025-10-01,2.0
"Weatherford, OK",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Weirton, WV",3.0,3.0,0.0,0.0,0.0,2025-10-01,0.0
"Wenatchee, WA",54.0,54.0,0.0,0.0,0.0,2025-10-01,0.0
"West Plains, MO",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"Wheeling, WV",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Whitewater, WI",23.0,23.0,0.0,0.0,0.0,2025-10-01,0.0
"Wichita Falls, TX",13.0,13.0,0.0,0.0,0.0,2025-10-01,0.0
"Wichita, KS",259.0,149.0,104.0,6.0,0.0,2025-10-01,110.0
"Wildwood, FL",331.0,285.0,20.0,0.0,26.0,2025-10-01,46.0
"Williamsport, PA",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"Williston, ND",18.0,18.0,0.0,0.0,0.0,2025-10-01,0.0
"Willmar, MN",9.0,9.0,0.0,0.0,0.0,2025-10-01,0.0
"Wilmington, NC",609.0,496.0,2.0,3.0,108.0,2025-10-01,113.0
"Wilmington, OH",5.0,5.0,0.0,0.0,0.0,2025-10-01,0.0
"Wilson, NC",17.0,13.0,4.0,0.0,0.0,2025-10-01,4.0
"Winchester, TN",23.0,23.0,0.0,0.0,0.0,2025-10-01,0.0
"Winchester, VA",87.0,87.0,0.0,0.0,0.0,2025-10-01,0.0
"Winnemucca, NV",4.0,4.0,0.0,0.0,0.0,2025-10-01,0.0
"Winona, MN",16.0,2.0,0.0,0.0,14.0,2025-10-01,14.0
"Winston, NC",374.0,361.0,0.0,0.0,13.0,2025-10-01,13.0
"Wisconsin Rapids, WI",14.0,12.0,2.0,0.0,0.0,2025-10-01,2.0
"Woodward, OK",0.0,0.0,0.0,0.0,0.0,2025-10-01,0.0
"Wooster, OH",24.0,24.0,0.0,0.0,0.0,2025-10-01,0.0
"Worcester, MA",151.0,75.0,6.0,11.0,59.0,2025-10-01,76.0
"Worthington, MN",6.0,2.0,4.0,0.0,0.0,2025-10-01,4.0
"Yakima, WA",70.0,54.0,2.0,9.0,5.0,2025-10-01,16.0
"Yankton, SD",1.0,1.0,0.0,0.0,0.0,2025-10-01,0.0
"York, PA",95.0,95.0,0.0,0.0,0.0,2025-10-01,0.0
"Youngstown, OH",26.0,26.0,0.0,0.0,0.0,2025-10-01,0.0
"Yuba City, CA",50.0,50.0,0.0,0.0,0.0,2025-10-01,0.0
"Yuma, AZ",84.0,84.0,0.0,0.0,0.0,2025-10-01,0.0
"Zanesville, OH",11.0,4.0,2.0,0.0,5.0,2025-10-01,7.0
"Aberdeen, SD",10.0,6.0,4.0,0.0,0.0,2025-09-01,4.0
"Aberdeen, WA",19.0,17.0,2.0,0.0,0.0,2025-09-01,2.0
"Abilene, TX",92.0,58.0,34.0,0.0,0.0,2025-09-01,34.0
"Ada, OK",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Adrian, MI",17.0,17.0,0.0,0.0,0.0,2025-09-01,0.0
"Akron, OH",51.0,51.0,0.0,0.0,0.0,2025-09-01,0.0
"Alamogordo, NM",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Alamosa, CO",12.0,12.0,0.0,0.0,0.0,2025-09-01,0.0
"Albany, GA",18.0,13.0,0.0,0.0,5.0,2025-09-01,5.0
"Albany, OR",19.0,19.0,0.0,0.0,0.0,2025-09-01,0.0
"Albany, NY",132.0,119.0,0.0,3.0,10.0,2025-09-01,13.0
"Albemarle, NC",26.0,26.0,0.0,0.0,0.0,2025-09-01,0.0
"Albert Lea, MN",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Albertville, AL",18.0,18.0,0.0,0.0,0.0,2025-09-01,0.0
"Albuquerque, NM",161.0,112.0,2.0,0.0,47.0,2025-09-01,49.0
"Alexander City, AL",17.0,17.0,0.0,0.0,0.0,2025-09-01,0.0
"Alexandria, LA",22.0,20.0,2.0,0.0,0.0,2025-09-01,2.0
"Alexandria, MN",26.0,19.0,2.0,0.0,5.0,2025-09-01,7.0
"Alice, TX",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Allentown, PA",321.0,121.0,2.0,0.0,198.0,2025-09-01,200.0
"Alma, MI",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Alpena, MI",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Altoona, PA",7.0,5.0,2.0,0.0,0.0,2025-09-01,2.0
"Altus, OK",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Amarillo, TX",360.0,36.0,4.0,8.0,312.0,2025-09-01,324.0
"Americus, GA",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Ames, IA",16.0,16.0,0.0,0.0,0.0,2025-09-01,0.0
"Amherst Town, MA",32.0,10.0,0.0,0.0,22.0,2025-09-01,22.0
"Amsterdam, NY",7.0,7.0,0.0,0.0,0.0,2025-09-01,0.0
"Anchorage, AK",40.0,17.0,6.0,3.0,14.0,2025-09-01,23.0
"Anderson Creek, NC",158.0,158.0,0.0,0.0,0.0,2025-09-01,0.0
"Andrews, TX",10.0,10.0,0.0,0.0,0.0,2025-09-01,0.0
"Angola, IN",12.0,12.0,0.0,0.0,0.0,2025-09-01,0.0
"Ann Arbor, MI",68.0,43.0,0.0,0.0,25.0,2025-09-01,25.0
"Anniston, AL",17.0,13.0,4.0,0.0,0.0,2025-09-01,4.0
"Appleton, WI",128.0,46.0,4.0,0.0,78.0,2025-09-01,82.0
"Arcadia, FL",7.0,7.0,0.0,0.0,0.0,2025-09-01,0.0
"Ardmore, OK",2.0,2.0,0.0,0.0,0.0,2025-09-01,0.0
"Arkadelphia, AR",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Arkansas City, KS",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Asheville, NC",477.0,122.0,0.0,0.0,355.0,2025-09-01,355.0
"Ashland, OH",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Astoria, OR",5.0,5.0,0.0,0.0,0.0,2025-09-01,0.0
"Atchison, KS",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Athens, OH",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Athens, TN",9.0,9.0,0.0,0.0,0.0,2025-09-01,0.0
"Athens, TX",19.0,19.0,0.0,0.0,0.0,2025-09-01,0.0
"Athens, GA",68.0,59.0,0.0,0.0,9.0,2025-09-01,9.0
"Atlanta, GA",3279.0,1871.0,10.0,15.0,1383.0,2025-09-01,1408.0
"Atlantic City, NJ",153.0,136.0,12.0,0.0,5.0,2025-09-01,17.0
"Auburn, IN",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Auburn, NY",14.0,9.0,0.0,0.0,5.0,2025-09-01,5.0
"Auburn, AL",107.0,107.0,0.0,0.0,0.0,2025-09-01,0.0
"Augusta, GA",286.0,286.0,0.0,0.0,0.0,2025-09-01,0.0
"Augusta, ME",38.0,34.0,4.0,0.0,0.0,2025-09-01,4.0
"Austin, MN",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Austin, TX",2623.0,975.0,38.0,4.0,1606.0,2025-09-01,1648.0
"Bainbridge, GA",11.0,6.0,0.0,0.0,5.0,2025-09-01,5.0
"Baker City, OR",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Bakersfield, CA",257.0,222.0,24.0,6.0,5.0,2025-09-01,35.0
"Baltimore, MD",316.0,246.0,0.0,0.0,70.0,2025-09-01,70.0
"Bangor, ME",37.0,26.0,2.0,3.0,6.0,2025-09-01,11.0
"Baraboo, WI",31.0,27.0,4.0,0.0,0.0,2025-09-01,4.0
"Barnstable Town, MA",25.0,25.0,0.0,0.0,0.0,2025-09-01,0.0
"Barre, VT",19.0,19.0,0.0,0.0,0.0,2025-09-01,0.0
"Bartlesville, OK",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Batavia, NY",5.0,5.0,0.0,0.0,0.0,2025-09-01,0.0
"Batesville, AR",5.0,0.0,0.0,0.0,5.0,2025-09-01,5.0
"Baton Rouge, LA",371.0,288.0,10.0,0.0,73.0,2025-09-01,83.0
"Battle Creek, MI",12.0,12.0,0.0,0.0,0.0,2025-09-01,0.0
"Bay City, MI",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Bay City, TX",17.0,17.0,0.0,0.0,0.0,2025-09-01,0.0
"Beatrice, NE",7.0,3.0,4.0,0.0,0.0,2025-09-01,4.0
"Beaumont, TX",79.0,71.0,2.0,0.0,6.0,2025-09-01,8.0
"Beaver Dam, WI",76.0,16.0,0.0,0.0,60.0,2025-09-01,60.0
"Beckley, WV",14.0,14.0,0.0,0.0,0.0,2025-09-01,0.0
"Bedford, IN",10.0,8.0,2.0,0.0,0.0,2025-09-01,2.0
"Beeville, TX",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Bellefontaine, OH",7.0,7.0,0.0,0.0,0.0,2025-09-01,0.0
"Bellingham, WA",46.0,40.0,6.0,0.0,0.0,2025-09-01,6.0
"Bemidji, MN",15.0,10.0,0.0,0.0,5.0,2025-09-01,5.0
"Bend, OR",410.0,103.0,6.0,0.0,301.0,2025-09-01,307.0
"Bennington, VT",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Big Rapids, MI",8.0,8.0,0.0,0.0,0.0,2025-09-01,0.0
"Big Spring, TX",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Billings, MT",211.0,91.0,0.0,4.0,116.0,2025-09-01,120.0
"Binghamton, NY",30.0,9.0,2.0,0.0,19.0,2025-09-01,21.0
"Birmingham, AL",592.0,238.0,4.0,3.0,347.0,2025-09-01,354.0
"Bishop, CA",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Bismarck, ND",45.0,37.0,8.0,0.0,0.0,2025-09-01,8.0
"Blackfoot, ID",14.0,14.0,0.0,0.0,0.0,2025-09-01,0.0
"Blacksburg, VA",39.0,39.0,0.0,0.0,0.0,2025-09-01,0.0
"Bloomington, IL",12.0,12.0,0.0,0.0,0.0,2025-09-01,0.0
"Bloomington, IN",261.0,26.0,0.0,0.0,235.0,2025-09-01,235.0
"Bloomsburg, PA",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Bluefield, WV",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Blytheville, AR",6.0,6.0,0.0,0.0,0.0,2025-09-01,0.0
"Bogalusa, LA",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Boise City, ID",737.0,586.0,2.0,4.0,145.0,2025-09-01,151.0
"Bonham, TX",5.0,5.0,0.0,0.0,0.0,2025-09-01,0.0
"Boone, NC",39.0,29.0,0.0,4.0,6.0,2025-09-01,10.0
"Borger, TX",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Boston, MA",739.0,329.0,26.0,3.0,381.0,2025-09-01,410.0
"Boulder, CO",98.0,20.0,2.0,3.0,73.0,2025-09-01,78.0
"Bowling Green, KY",87.0,75.0,12.0,0.0,0.0,2025-09-01,12.0
"Bozeman, MT",96.0,48.0,4.0,6.0,38.0,2025-09-01,48.0
"Bradford, PA",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Brainerd, MN",80.0,80.0,0.0,0.0,0.0,2025-09-01,0.0
"Branson, MO",711.0,711.0,0.0,0.0,0.0,2025-09-01,0.0
"Brattleboro, VT",10.0,10.0,0.0,0.0,0.0,2025-09-01,0.0
"Breckenridge, CO",13.0,8.0,0.0,0.0,5.0,2025-09-01,5.0
"Bremerton, WA",254.0,32.0,2.0,0.0,220.0,2025-09-01,222.0
"Brenham, TX",2.0,2.0,0.0,0.0,0.0,2025-09-01,0.0
"Brevard, NC",13.0,13.0,0.0,0.0,0.0,2025-09-01,0.0
"Bridgeport, CT",86.0,58.0,4.0,7.0,17.0,2025-09-01,28.0
"Brigham City, UT",79.0,49.0,0.0,24.0,6.0,2025-09-01,30.0
"Brookhaven, MS",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Brookings, OR",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Brookings, SD",10.0,10.0,0.0,0.0,0.0,2025-09-01,0.0
"Brownsville, TX",190.0,124.0,8.0,0.0,58.0,2025-09-01,66.0
"Brownwood, TX",14.0,12.0,2.0,0.0,0.0,2025-09-01,2.0
"Brunswick, GA",59.0,43.0,4.0,3.0,9.0,2025-09-01,16.0
"Bucyrus, OH",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Buffalo, NY",76.0,51.0,2.0,4.0,19.0,2025-09-01,25.0
"Burley, ID",28.0,26.0,2.0,0.0,0.0,2025-09-01,2.0
"Burlington, IA",9.0,4.0,0.0,0.0,5.0,2025-09-01,5.0
"Burlington, NC",114.0,101.0,8.0,0.0,5.0,2025-09-01,13.0
"Burlington, VT",536.0,34.0,4.0,3.0,495.0,2025-09-01,502.0
"Butte, MT",11.0,4.0,2.0,0.0,5.0,2025-09-01,7.0
"Cadillac, MI",17.0,11.0,0.0,0.0,6.0,2025-09-01,6.0
"Calhoun, GA",26.0,26.0,0.0,0.0,0.0,2025-09-01,0.0
"Cambridge, MD",5.0,5.0,0.0,0.0,0.0,2025-09-01,0.0
"Cambridge, OH",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Camden, AR",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Campbellsville, KY",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Canton, IL",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Canton, OH",110.0,98.0,2.0,0.0,10.0,2025-09-01,12.0
"Cape Coral, FL",1194.0,783.0,10.0,0.0,401.0,2025-09-01,411.0
"Cape Girardeau, MO",9.0,9.0,0.0,0.0,0.0,2025-09-01,0.0
"Carbondale, IL",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Carlsbad, NM",36.0,20.0,16.0,0.0,0.0,2025-09-01,16.0
"Carroll, IA",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Carson City, NV",16.0,16.0,0.0,0.0,0.0,2025-09-01,0.0
"Casper, WY",15.0,15.0,0.0,0.0,0.0,2025-09-01,0.0
"Cañon City, CO",10.0,10.0,0.0,0.0,0.0,2025-09-01,0.0
"Cedar City, UT",50.0,50.0,0.0,0.0,0.0,2025-09-01,0.0
"Cedar Rapids, IA",46.0,44.0,2.0,0.0,0.0,2025-09-01,2.0
"Cedartown, GA",8.0,8.0,0.0,0.0,0.0,2025-09-01,0.0
"Celina, OH",9.0,9.0,0.0,0.0,0.0,2025-09-01,0.0
"Centralia, IL",3.0,0.0,0.0,3.0,0.0,2025-09-01,3.0
"Centralia, WA",39.0,39.0,0.0,0.0,0.0,2025-09-01,0.0
"Chambersburg, PA",73.0,41.0,0.0,0.0,32.0,2025-09-01,32.0
"Champaign, IL",238.0,47.0,0.0,0.0,191.0,2025-09-01,191.0
"Charleston, WV",7.0,7.0,0.0,0.0,0.0,2025-09-01,0.0
"Charleston, IL",7.0,2.0,0.0,0.0,5.0,2025-09-01,5.0
"Charleston, SC",474.0,420.0,0.0,0.0,54.0,2025-09-01,54.0
"Charlotte, NC",1586.0,1176.0,16.0,4.0,390.0,2025-09-01,410.0
"Charlottesville, VA",81.0,69.0,0.0,0.0,12.0,2025-09-01,12.0
"Chattanooga, TN",257.0,176.0,18.0,10.0,53.0,2025-09-01,81.0
"Cheyenne, WY",29.0,29.0,0.0,0.0,0.0,2025-09-01,0.0
"Chicago, IL",1324.0,835.0,20.0,86.0,383.0,2025-09-01,489.0
"Chico, CA",69.0,56.0,2.0,0.0,11.0,2025-09-01,13.0
"Chillicothe, OH",2.0,2.0,0.0,0.0,0.0,2025-09-01,0.0
"Cincinnati, OH",1204.0,372.0,24.0,12.0,796.0,2025-09-01,832.0
"Clarksburg, WV",28.0,8.0,0.0,20.0,0.0,2025-09-01,20.0
"Clarksdale, MS",2.0,2.0,0.0,0.0,0.0,2025-09-01,0.0
"Clarksville, TN",248.0,115.0,10.0,38.0,85.0,2025-09-01,133.0
"Clearlake, CA",9.0,4.0,0.0,0.0,5.0,2025-09-01,5.0
"Cleveland, MS",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Cleveland, OH",396.0,257.0,4.0,25.0,110.0,2025-09-01,139.0
"Cleveland, TN",73.0,70.0,0.0,3.0,0.0,2025-09-01,3.0
"Clewiston, FL",33.0,33.0,0.0,0.0,0.0,2025-09-01,0.0
"Clinton, IA",5.0,3.0,2.0,0.0,0.0,2025-09-01,2.0
"Clovis, NM",0.0,0.0,0.0,0.0,0.0,2025-09-01,0.0
"Cody, WY",23.0,19.0,4.0,0.0,0.0,2025-09-01,4.0
"Coeur dAlene, ID",121.0,109.0,2.0,0.0,10.0,2025-09-01,12.0
"Coldwater, MI",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"College Station, TX",342.0,144.0,6.0,16.0,176.0,2025-09-01,198.0
"Colorado Springs, CO",216.0,188.0,0.0,0.0,28.0,2025-09-01,28.0
"Columbia, MO",74.0,66.0,8.0,0.0,0.0,2025-09-01,8.0
"Columbia, SC",669.0,345.0,4.0,0.0,320.0,2025-09-01,324.0
"Columbus, GA",43.0,41.0,2.0,0.0,0.0,2025-09-01,2.0
"Columbus, IN",10.0,10.0,0.0,0.0,0.0,2025-09-01,0.0
"Columbus, MS",11.0,11.0,0.0,0.0,0.0,2025-09-01,0.0
"Columbus, NE",12.0,6.0,6.0,0.0,0.0,2025-09-01,6.0
"Columbus, OH",974.0,376.0,16.0,38.0,544.0,2025-09-01,598.0
"Concord, NH",33.0,28.0,2.0,3.0,0.0,2025-09-01,5.0
"Connersville, IN",4.0,4.0,0.0,0.0,0.0,2025-09-01,0.0
"Cookeville, TN",43.0,43.0,0.0,0.0,0.0,2025-09-01,0.0
"Coos Bay, OR",2.0,2.0,0.0,0.0,0.0,2025-09-01,0.0
"Corbin, KY",7.0,2.0,2.0,3.0,0.0,2025-09-01,5.0
"Cordele, GA",3.0,3.0,0.0,0.0,0.0,2025-09-01,0.0
"Corinth, MS",1.0,1.0,0.0,0.0,0.0,2025-09-01,0.0
"Cornelia, GA",39.0,39.0,0.0,0.0,0.0,2025-09-01,0.0
"Corning, NY",7.0,7.0,0.0,0.0,0.0,2025-09-01,0.0
