name,lat,lng,population
"Lexington, KY",38.0423,-84.4587,321122
"Lansing, MI",42.7142,-84.5601,318001
"Savannah, GA",32.0286,-81.1821,316446
"Youngstown, OH",41.0993,-80.6463,315751
"Ann Arbor, MI",42.2759,-83.731,314647
"Santa Ana, CA",33.7367,-117.8819,311639
"Irvine, CA",33.6772,-117.7738,308160
"St. Paul, MN",44.9478,-93.1039,307762
"Poughkeepsie, NY",41.695,-73.9211,307738
"Newark, NJ",40.7245,-74.1725,307188
"Santa Rosa, CA",38.4458,-122.7067,299986
"Concord, NC",35.3933,-80.6369,297379
"Winter Haven, FL",28.0118,-81.7014,296830
"Asheville, NC",35.5707,-82.5537,295040
"Canton, OH",40.8078,-81.3676,293657
"Lincoln, NE",40.8099,-96.6784,293055
"Flint, MI",43.0236,-83.6921,291688
"Lakeland, FL",28.0557,-81.9545,290762
"Jersey City, NJ",40.7184,-74.0686,289691
"Anchorage, AK",61.1508,-149.1091,289069
"Springfield, MO",37.1943,-93.2916,289041
"Plano, TX",33.0502,-96.7486,287339
"Lubbock, TX",33.5657,-101.8879,283024
"Davenport, IA",41.5565,-90.6053,282356
"Reading, PA",40.34,-75.9267,280030
"Shreveport, LA",32.4653,-93.7955,278269
"Chandler, AZ",33.2825,-111.8514,278123
"South Bend, IN",41.6767,-86.2696,275725
"Wilmington, NC",34.2099,-77.8866,275128
"Chula Vista, CA",32.6281,-117.0144,275030
"Rockford, IL",42.2596,-89.064,274256
"Eugene, OR",44.0564,-123.1174,272737
"Salem, OR",44.9233,-123.0244,272331
"Gilbert, AZ",33.31,-111.7463,271118
"North Las Vegas, NV",36.2883,-115.0888,270773
"Santa Clarita, CA",34.4175,-118.4964,265529
"Peoria, IL",40.752,-89.6154,262461
"Tallahassee, FL",30.4551,-84.2527,261271
"Killeen, TX",31.0753,-97.7297,261099
"St. Petersburg, FL",27.7931,-82.6652,260646
"Kennewick, WA",46.1978,-119.1732,260091
"Columbus, GA",32.51,-84.8771,257578
"Laredo, TX",27.5625,-99.4874,255949
"Irving, TX",32.8583,-96.9702,255036
"Round Lake Beach, IL",42.3791,-88.0811,252224
"Montgomery, AL",32.3482,-86.2668,251545
"Chesapeake, VA",36.6778,-76.3023,251153
"Glendale, AZ",33.5791,-112.2311,250193
"Nashua, NH",42.7491,-71.491,247828
"York, PA",39.9651,-76.7315,246769
"Garland, TX",32.91,-96.6304,245298
"Rock Hill, SC",34.9415,-81.0241,244403
"Scottsdale, AZ",33.6872,-111.8651,242169
"Aguadilla, PR",18.4382,-67.1537,235546
"Arlington, VA",38.8786,-77.1011,235463
"Norfolk, VA",36.8945,-76.259,235037
"Appleton, WI",44.278,-88.3892,234701
"Enterprise, NV",36.0091,-115.2278,232043
"Gulfport, MS",30.4274,-89.0704,231754
"Lafayette, LA",30.2082,-92.0325,231548
"Bremerton, WA",47.5436,-122.7121,228576
"Fremont, CA",37.5265,-121.9843,228518
"Green Bay, WI",44.5148,-87.9895,227679
"Fargo, ND",46.8651,-96.8292,225066
"Deltona, FL",28.905,-81.2137,224303
"Brownsville, TX",25.9975,-97.458,223416
"Hialeah, FL",25.8696,-80.3045,221901
"San Bernardino, CA",34.1416,-117.2943,221774
"Tacoma, WA",47.2431,-122.4531,220482
"Gainesville, FL",29.6804,-82.3459,219946
"Spring Valley, NV",36.0952,-115.2636,219913
"Clarksville, TN",36.5692,-87.3413,218159
"College Station, TX",30.5852,-96.2959,215768
"Olympia, WA",47.0417,-122.8959,215677
"Roanoke, VA",37.2785,-79.9581,214019
"Portland, ME",43.6773,-70.2715,213660
"Fontana, CA",34.0968,-117.4599,211921
"Spartanburg, SC",34.9442,-81.9251,210388
"Moreno Valley, CA",33.9244,-117.2045,210378
"Frisco, TX",33.156,-96.8216,210238
"Yonkers, NY",40.9466,-73.8673,209529
"Thousand Oaks, CA",34.1914,-118.8756,208302
"Sioux Falls, SD",43.5396,-96.7311,207795
"Hagerstown, MD",39.6401,-77.7217,206889
"Evansville, IN",37.9881,-87.5341,206418
"Amarillo, TX",35.1984,-101.8316,205100
"Kalamazoo, MI",42.2749,-85.5882,204408
"Lorain, OH",41.4409,-82.184,203802
"Galveston, TX",29.2484,-94.8913,202810
"McKinney, TX",33.2016,-96.667,202314
"Huntington, WV",38.4109,-82.4345,201208
"Nampa, ID",43.5844,-116.5638,201129
"Hickory, NC",35.741,-81.3223,200500
"Waterbury, CT",41.5582,-73.0361,199965
"Sunrise Manor, NV",36.1783,-115.0487,199099
"Grand Prairie, TX",32.6871,-97.0208,198564
"Ocala, FL",29.178,-82.1511,197770
"Waco, TX",31.5599,-97.1882,197594
"Overland Park, KS",38.887,-94.687,197199
"Frederick, MD",39.4337,-77.4141,196743
"Huntington Beach, CA",33.696,-118.0018,196010
"Santa Barbara, CA",34.4285,-119.7202,194950
"Peoria, AZ",33.7843,-112.2989,194338
"Cedar Rapids, IA",41.9662,-91.6783,192755
"Vancouver, WA",45.6366,-122.5967,192696
