2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,fips,region_name
1692.3721035166218,1704.7308217289676,1721.1264397445336,1735.8863265287416,1751.810380677692,1762.2875734646022,1776.1750468617504,1785.5649412021662,1798.9120571956316,1803.3872115811596,1810.1112032484596,1817.1145804394268,1828.654119760128,1840.0089816068603,1853.2640088649368,1864.9829244048767,1878.502259137212,1888.453250460471,1901.024750979756,1908.0319075992943,1914.223831183536,1915.8678081193443,1917.017553300288,1921.3812980390555,1936.2574102877484,1952.96918839173,1974.4291112808912,1985.6609991252135,2001.528714866028,2010.002039081596,2022.2860021378488,2027.4297278870745,2032.996557060709,2033.5726166027168,2038.015753728337,2043.5147725995116,2054.601135949496,2068.8620880273334,2078.674105010196,2088.169151924751,2095.8652128486856,2109.591975591739,2122.024000631752,2132.5258943996537,2136.6057816906928,2140.085939014475,2144.719127672872,2150.3337244072363,2155.114373839601,2159.2083047599813,2172.22404317414,2185.3399954512006,2198.6729831354505,2207.5238160124622,2215.225038431004,2220.497617948634,2223.8047328238013,2224.712959668793,2226.424223764121,2229.1548320066686,2235.255398880562,2239.552055012531,2240.428248954311,2232.9283109189023,2226.948387404466,2224.0348254537685,2225.853321051062,2224.492685389252,2218.794482119558,2213.920020606974,2211.584433886881,2209.5910300381747,2216.5688907053245,2224.02511349546,2235.134557675817,2244.1236285906566,2260.574248481407,2290.0737867307867,2325.5951032840467,2365.718184503868,2395.823117785608,2416.842525553828,2428.6256727375726,2445.1858414899043,2463.1640637687665,2488.349417108959,2510.755556739237,2537.4288441293284,2558.5153393757773,2578.971627679368,2598.1429466766263,2613.888679026996,2623.619103179578,2621.354738672279,2617.418025812659,2612.946031858527,2614.742691192828,2621.6866113199167,2636.38294573312,2646.2015019497358,2654.082602240661,2657.057139308025,2663.303805238383,2669.1185488837664,2669.7994972434662,2666.7604022261207,2658.139622194239,2653.0966122426385,2656.4885382298658,2665.300860528374,2677.901560196661,2688.35568893855,2699.053456368976,2708.4063224249253,2717.6935689672337,2723.476531724132,2728.396641465352,2725.680224055832,2721.833162640434,2716.386700358845,2738.013836660721,2759.7309472483453,2780.641182062064,2776.192412024416,2776.607080036602,2778.6051906778152,2783.6382370477027,2786.314145598633,2788.9213543924047,2787.848732882159,2782.131351044851,2772.875445494013,2774.6230762530126,2780.7490456654705,2792.8617569074963,2801.041779220179,2809.4385968145384,2814.239528116361,2814.827686681748,6037,"Los Angeles County, CA"
1442.784275626518,1452.4482516870337,1464.1029683845131,1474.047111388756,1484.8860597600287,1495.442795051152,1500.6843952017098,1503.5100756037946,1498.0774141605173,1489.7987525752844,1479.6508336697268,1478.7805860150472,1488.4088897468705,1501.836002318401,1514.9830394914898,1523.3618575216483,1531.4169281563222,1539.6297787811638,1546.4547050289048,1551.097562282187,1544.333044958444,1533.5200396243156,1519.4332711190143,1512.281947033184,1518.3269827919162,1533.799824567805,1554.3974594537124,1568.7560608320916,1580.225791469791,1586.9920944078006,1588.6279480000162,1583.7425903090234,1576.1781568737958,1563.3290861229384,1553.1066983212354,1550.426513623645,1560.063227454006,1575.3195885412947,1588.6564599083672,1599.4222677119149,1609.818701386269,1619.8688626273124,1625.4220775451392,1622.1412547400253,1608.5772917388215,1594.9805240668616,1586.3721464322862,1587.4197210955483,1596.691778266622,1608.7530680532047,1626.685659466625,1641.3632277242143,1654.408508879623,1661.4496724841397,1664.2290145724662,1664.4528851166906,1658.7953098840735,1650.882026846402,1641.5761175565883,1636.0818799372205,1645.4643674883466,1658.5402032677102,1674.398513283773,1675.7083066174412,1674.552439885081,1671.287392240817,1668.9340468384653,1659.9046069652766,1640.725037824123,1613.508297329888,1591.0664404315778,1583.0554744831202,1586.5654885655142,1600.4824326504156,1618.8232595768095,1646.81814072241,1674.641277810251,1700.1628665492956,1717.369724912876,1727.8854202833024,1732.3236574260638,1730.428608326831,1729.5218757921646,1734.991714992056,1749.644847893117,1767.2007551530985,1788.9552000748142,1813.925599556043,1840.3882061777456,1860.642028261236,1875.890960969451,1882.6267012381768,1881.9609658437105,1876.3378100638265,1871.1608284232148,1873.124737094722,1882.476468873004,1898.3506637511343,1917.0592626078485,1936.3670473179088,1957.674406398981,1975.537304685006,1987.3505402417395,1992.5623891503892,1986.973154577856,1976.4662516546664,1968.2859476415383,1970.329033143516,1981.2058539855032,1997.447237524999,2014.2905192064893,2034.8158187261856,2052.054814626263,2067.5336513435554,2074.596613794865,2075.629613551141,2072.2735109192445,2068.728192954268,2067.6198956176654,2070.217016178672,2081.4952173907022,2100.567747841485,2124.233546558044,2147.564822156032,2169.4095164697856,2188.831832017549,2199.1816110405,2202.3778576081286,2200.342059626511,2194.180830545363,2190.1082994100475,2187.972408540883,2202.335692683112,2223.14117013571,2249.7575655543883,2272.299256076984,2294.083776863446,2312.204377684564,2321.512257598344,17031,"Cook County, IL"
1180.8977659881227,1183.3106961194062,1188.335890043648,1199.4860099625523,1209.5763995382997,1219.0452161100436,1218.9159373286905,1220.5027959103795,1218.5506756341986,1216.6537035479585,1212.9481609019151,1210.3174495222102,1211.1895520534474,1212.8427502374363,1218.1990726396873,1223.8223436548278,1227.803028222406,1229.1882849489573,1227.650526283466,1224.8424074750867,1219.5614838389702,1216.1915683996492,1210.6121315821183,1208.3692064554075,1208.9282753201717,1216.9329765286386,1225.8784394341324,1230.3522563937197,1237.55892646796,1238.219477181579,1238.6012551860642,1233.612164017901,1240.4555213967749,1249.0477232648475,1260.734722528654,1267.6841085369742,1270.04291088224,1276.2846473964069,1276.880951282341,1285.185876660663,1287.2427902047286,1292.3305537197004,1291.2350690618855,1288.9894811465315,1285.5822869810056,1285.9498861835284,1288.4069141653663,1288.2581463252266,1288.0592448624045,1285.2023954719996,1291.032903388591,1296.4370761429732,1306.7664813542945,1313.587162508613,1317.6461860999812,1317.250992810635,1313.6442024494572,1312.135461137608,1310.5641617516387,1314.1255744630057,1317.2261418565429,1323.308061095379,1329.2887065210307,1325.966359473918,1321.4017577631184,1316.6502662196124,1321.395763976086,1325.0147080806728,1324.0442706296556,1323.5694586702823,1323.358538797262,1323.1510897388746,1328.0105062944897,1331.8739403788406,1340.9356279036035,1353.0023765777971,1372.5832186458056,1399.047192586678,1422.3741437113056,1443.751377644514,1455.5525522831383,1462.2049808262566,1465.0666409809887,1467.8080493942664,1473.4328602796472,1483.7788635553864,1494.3288202781262,1505.8018334183478,1516.618671414279,1530.997226257535,1543.044417305484,1549.8228288829505,1547.0502713386652,1541.284711071772,1532.4496540791315,1530.9064469815355,1533.548568418066,1541.976007679362,1552.6339294740103,1557.8651443521,1565.8247636251438,1572.1841004859448,1578.7020182805968,1580.1700241924457,1575.696489700921,1571.0564590969434,1565.861998157955,1564.8083402387454,1566.2649927625496,1570.1182569203315,1572.7427181306946,1578.8117293121868,1585.4853939519512,1592.9978655410978,1596.8693313688357,1600.5279368395277,1602.4491762439577,1600.7589898166373,1596.0124460575246,1592.1417153489692,1592.130789559651,1595.5066534328469,1602.956133090418,1607.5909472722226,1609.4471879791563,1603.3998501041683,1603.8821925667764,1602.825560377163,1604.876784618334,1599.563854348218,1593.587104042848,1587.904390159753,1585.9285029430678,1583.8245355273718,1585.352847520977,1588.4301574387182,1595.1743366227747,1599.2070838243842,1601.2431282868022,48201,"Harris County, TX"
906.7699242970064,921.1322526637762,927.9345432966992,940.721659124382,941.0219249132516,948.8915221843577,949.0669274951276,950.2312300314436,952.7582261450408,955.2390411854678,958.9959229257628,960.5197523062484,965.6938803692916,970.0541264823904,977.1253867118684,983.9100564938392,991.84555988273,998.6899179630832,1002.576361936419,1004.3665216700194,1005.2725172441958,1004.8879614764472,1006.3294933598328,1007.357141025286,1013.7724798286356,1022.0177132527916,1033.2162588097594,1042.468487605074,1051.7610212795282,1057.8842490699908,1062.6816472284067,1064.82447760165,1067.4987171227106,1069.1778404742352,1072.2051148425985,1074.6725597156906,1079.7226163001308,1085.4736830685715,1097.1127856834703,1110.2745816215377,1121.3802180649543,1129.3248014752785,1136.138040863925,1141.5127348587166,1146.482306374767,1150.1365374299571,1156.1197235016386,1161.6481202035088,1165.6647377534528,1173.9489839898415,1183.9673855493372,1198.586965596664,1209.5831998117862,1219.6583858520385,1226.9024512484557,1233.5116518434938,1237.788131853273,1241.155568319971,1246.3781025043295,1254.442504215715,1263.4310138861822,1272.9605655125126,1278.7742011966295,1279.1595181552125,1278.3279411037904,1282.5224684960965,1296.0659001677,1312.2334338806645,1327.6514862308472,1341.1646479715234,1352.9916776508733,1362.6749593736574,1375.2138380685726,1389.3314296117646,1411.4920944738574,1438.4062406599337,1475.787979659531,1518.575348006317,1564.806526676955,1606.0587894971818,1635.9031177959685,1656.293896592019,1667.547506084177,1676.999019506645,1684.9387789661766,1695.771414307006,1709.255651573637,1720.9226649999537,1728.6487814568393,1734.387369571211,1739.1749037808656,1739.6120257404284,1731.0189480452088,1719.0451277535014,1708.0957538791092,1703.2310671083071,1701.3127530406018,1706.4919730039474,1720.5479051171776,1727.150928855486,1731.1099172804145,1727.2236642894245,1731.374711896423,1730.4319055598169,1726.9932618633266,1717.8268923555454,1709.0378010381237,1702.3661255821485,1703.48216782822,1710.7745734952596,1718.285770504401,1725.1259009481812,1728.622042357115,1730.9632770693063,1731.769057042268,1731.162584913057,1728.2315887407815,1719.8207721012416,1710.9470331694115,1704.4018307265922,1706.7871908358293,1714.521116071416,1721.9927165700826,1723.6624349877538,1720.3405292919,1716.6454578677892,1713.392819098818,1709.0883164444258,1707.3646929686684,1703.319669810213,1697.424260660241,1693.479883837907,1694.022939708177,1700.648119286874,1705.4434038229226,1709.3128719443553,1714.369339903432,1715.352165784766,1718.902412497515,4013,"Maricopa County, AZ"
1640.941772392486,1651.6417082889704,1660.161536680632,1663.9044449754217,1674.9484759975717,1683.6337360225896,1699.9034171660835,1710.2039151646482,1718.490877853559,1721.1258232399011,1720.2343509500286,1725.760262713059,1731.7007139633,1740.274505686513,1748.9207504884678,1758.3219697865063,1771.0167368032971,1786.6050213001006,1798.8029084155423,1806.6439738929148,1809.3106539313017,1812.038398921408,1812.7212739585884,1814.4310315890905,1820.2567296979664,1835.9792946179853,1855.234367897785,1874.175999345599,1889.635486435388,1901.4934672308168,1912.643256122394,1918.093031644598,1920.3151832052824,1919.671085963091,1919.8687905357388,1921.84714874909,1932.2100234481163,1943.533392456708,1957.6329028355829,1968.816896588636,1985.0133930259924,1996.8765097634564,2008.290898254248,2015.1053627818808,2019.855998730207,2018.684188219817,2013.1422286945815,2015.253038641093,2019.7779589046395,2027.259731834525,2033.126319115894,2043.181779586504,2056.546941346852,2069.0159518875694,2080.837210690161,2088.141541466951,2089.310435914921,2088.328141467505,2088.9656684110173,2092.673500945154,2097.4397411170207,2101.926660385952,2106.4395050210687,2099.772344586829,2093.9768665469765,2092.807166602768,2104.3265925449205,2113.8885990277054,2126.5455798625667,2140.5794589918937,2153.937950587,2163.206777716586,2171.291544949754,2183.1605390070254,2199.9507385612387,2227.5213096415323,2262.994431213274,2302.064677150548,2350.684347179543,2402.579239783761,2455.253975667109,2486.1312408051567,2507.43571790796,2521.7905841404267,2540.875201022079,2566.889112913163,2598.02184963682,2641.151105479823,2684.73157235113,2728.404421935066,2759.4609787124964,2782.9054562698934,2786.9529572037,2780.9459052379552,2762.4825900321875,2754.033335528668,2749.9277756578035,2759.223762057839,2784.7012494482374,2813.5785689494164,2845.0700124868404,2864.327974979773,2880.5678226175555,2886.727407591951,2883.838117285531,2870.160707713527,2848.83183001058,2830.5079257529737,2823.252757253116,2832.102198275122,2847.785452757537,2866.688840024842,2883.368940387306,2898.6904044545327,2908.512639251323,2910.6204605979606,2910.0995234984507,2907.2553130138112,2904.4913165130965,2897.1797650535577,2899.8207196131675,2907.5274799582894,2922.931060794306,2932.058948011558,2940.821005766428,2949.604427108868,2954.265186782768,2959.4898472234136,2957.817653963587,2955.30182521286,2941.9439128529143,2935.2851071776004,2938.080811676473,2952.2427426768068,2964.1910446507545,2974.306712784744,2986.030807861126,2999.452451984936,3007.756521698422,6073,"San Diego County, CA"
1858.991607063835,1867.31126498788,1878.0180173374831,1894.560605371372,1907.8723074359648,1920.344563850741,1930.63040003152,1943.238581220238,1946.3071546557264,1951.3731613768664,1950.3974197663947,1953.3039873305477,1958.4162128255396,1966.2370112087144,1971.422761452813,1979.4913447126216,1993.6683282187355,2012.025797610817,2021.561154165227,2024.0710805713543,2025.9871249978787,2022.8049286283488,2029.8008995801872,2026.311295412895,2036.9982358167583,2048.0523508588026,2071.574357032451,2089.161620141506,2096.3671886630523,2107.028948964087,2113.1545199275206,2120.421282484774,2121.067122818936,2117.5806327393075,2119.653250618541,2121.898402078932,2133.4167734943,2138.473957958092,2149.7253776961265,2156.2696516633205,2165.5564762198646,2172.302693327586,2177.795050619386,2179.173123461205,2179.703718933489,2182.360341023372,2188.621548879329,2190.8315748728,2194.1754402103684,2198.600199561441,2208.785732524159,2214.7810105108438,2227.9785809637087,2237.6608202737148,2248.5328985994465,2249.375029329811,2249.062956130652,2249.11109190788,2253.713297636173,2255.728880661524,2265.043687988954,2270.6173914042643,2276.3260447176144,2261.3340104058498,2248.58319386886,2241.0585410461144,,2256.4821448436346,2269.429650772393,2282.3697268685,2291.403004012021,2298.6332522801085,2312.4714207765783,2333.2267257798085,2356.039082506069,2376.9105276450964,2404.368707694814,2449.435165565769,2517.104945942233,2599.481743361162,2668.691535176957,2709.405046561407,2731.4382189896987,2743.3723882528507,2761.5181163218203,2781.532479289981,2809.566505376428,2843.8384003565325,2873.2972398801394,2903.2770685058817,2920.9661037596893,2930.721057317524,2925.0505400526563,2912.122852195362,2904.749960931847,2889.8068475198647,2882.023499819631,2876.0027101796054,2888.670640055081,2901.528649926242,2918.5938973020966,2936.803425547835,2969.178826771104,2994.6028924903994,3007.5636672501523,3005.307354110635,2997.7801717306115,2997.90287659457,2996.614666816539,3000.1645657391277,2998.7864280882463,3004.3205333748665,3014.4740248404023,3033.2446933612605,3053.279032490402,3068.515778294748,3074.060619332935,3073.6442155419422,3066.551356998255,3060.2215466912808,3065.3813920331745,3078.0105308590014,3097.504792584444,3108.5959919251186,3119.0742586006018,3130.356743002979,3135.134163569692,3145.982294464774,3150.949765455146,3153.120982385936,3151.2963684038154,3147.7684788928277,3151.632744125708,3158.1304229776847,3171.415592246794,3185.4908728451514,3197.20944359492,3208.139005734807,3219.815857675823,6059,"Orange County, CA"
2355.8000451851444,2374.045331443502,2399.438505524358,2418.436679458731,2442.395136910868,2472.79338215654,2490.129328800506,2501.8450946361218,2518.892008476908,2528.737415007437,2518.3753125897933,2491.292077142433,2480.6820837370915,2480.72893563138,2499.2073220285224,2505.8608369229755,2520.026275276523,2531.057374544646,2550.1265969637343,2566.3303077944856,2573.3556654532003,2570.0774289537817,2572.364890098652,2557.944648647412,2547.412640188039,2536.58202263861,2542.7318304928144,2558.627437545975,2572.114406764424,2588.3247798530974,2605.586606642293,2618.10867780382,2618.153340433832,2600.6713408706287,2581.4723266924448,2569.160217521384,2568.045317994855,2568.9808563863376,2582.6615349350445,2601.0555039338865,2621.6435984167933,2637.145243510158,2648.9277131129893,2660.126689320524,2662.584502463544,2654.618713054141,2639.536257362029,2621.591315266025,2622.596970854244,2636.204610339404,2664.434630386658,2684.0437185501974,2709.921020857409,2726.2592836817826,2751.436099165143,2767.522175956921,2783.0296332545718,2786.888168149577,2783.5643362552228,2776.3754561887545,2776.456888443922,2785.3648194571083,2801.2652519540266,2792.856063118252,2774.632103139314,2741.7764065319457,2719.483211970592,2680.930580163141,2632.6202222920856,2585.8938232857254,2551.033195548572,2532.272967504872,2524.227578726008,2533.4840916137314,2555.747613192854,2590.048032829352,2630.538690066642,2684.6298430558018,2742.670221507836,2800.5009909253304,2848.051365095778,2874.461942577313,2896.3786321541875,2909.1864923675216,2943.9294311879426,2982.444883896696,3035.1254736258693,3079.4237547490325,3140.6450173798376,3204.0319409139347,3265.685390460209,3307.541194997822,3318.0692063328606,3310.0856965860357,3269.3766789554843,3237.009302909011,3230.868960167101,3246.542189308681,3274.60570321873,3303.8959684531533,3341.235829032466,3381.158627878188,3409.568144729552,3428.3186330054205,3434.696519454977,3416.974105551931,3380.957251226551,3354.078748676184,3354.2863643940955,3380.641547472948,3411.629005435864,3441.617717275418,3477.824884191195,3513.5621542310423,3539.029388651551,3542.918171980813,3530.4866788939567,3509.704711099771,3487.680209338162,3463.485031017053,3462.1783600953777,3483.901714578327,3528.1443606234902,3572.6227201156757,3611.373828095238,3654.201393637934,3683.791022619937,3706.121156056269,3697.081940933069,3678.8044742667416,3645.864845077482,3628.810584921881,3635.0558153678,3666.913474086159,3709.622201853556,3748.528565043396,3793.405975720714,3831.16737218677,3860.314872855381,36047,"Kings County, NY"
1620.951684749759,1630.5081669952408,1642.6319156227864,1653.4366341778775,1664.16339395175,1671.4050186276795,1678.6863625925982,1685.2264660112228,1692.3751038657465,1694.6490278593467,1701.0799633771678,1706.344923230475,1713.4472502797396,1716.7727342954392,1719.167541360664,1719.4454444519426,1719.22573328086,1717.777909919567,1717.8859570182624,1714.4912227785442,1713.8516532803,1711.1856442954022,1709.2494848362735,1702.7914789441295,1707.5980477350229,1713.026859927916,1725.0520557959208,1726.4954331910285,1730.28372085434,1731.4763014601924,1732.125564925139,1734.6156689051036,1737.5286637772922,1741.7153364821877,1740.8615826652665,1741.0499497781873,1743.171361039719,1747.7946244493871,1753.0097954447403,1758.847558405033,1762.286086011689,1767.355884370303,1770.5615914742004,1776.6472955370148,1779.9231543358037,1785.2587555769333,1786.5209536248378,1788.7954372399165,1788.523881956869,1787.6336845798692,1790.2370663732702,1794.5579805474258,1802.5079914881255,1806.0481154651025,1806.4511621191093,1806.7386702584608,1807.9633159608293,1816.6835577993595,1828.483442186757,1838.320964668815,1841.377029411011,1843.5101931497388,1842.8766885854168,1833.8007703149672,1820.2458510693436,1814.5527456648715,1817.5048392477477,1818.173723965236,1815.4794256656392,1819.9199384143155,1834.625038013264,1854.138502843444,1877.9402771260316,1912.6306989874715,1948.5530467430451,1989.2434026521803,2031.5794267233443,2084.977363492633,2149.699972392153,2208.9650659404465,2265.5075402122843,2308.670327201288,2355.2145929218086,2408.1579936121248,2452.31126465404,2510.241376980505,2561.4756117720644,2624.9834582675057,2671.294238056534,2705.5047490978814,2731.588801551323,2741.953203309325,2751.8810814406943,2749.747861273157,2746.886994631295,2747.1681070799186,2747.524604511648,2754.1778880377337,2762.128601071998,2772.608144481845,2776.5475496756544,2773.550896551664,2769.897759809451,2767.7685907777045,2765.4672918278866,2766.9690144224764,2768.153075811957,2765.608396328014,2766.976198297831,2776.5529191614005,2793.3908027214725,2807.1543416575,2816.5457601009266,2819.9070437464834,2821.9231795141022,2821.1337745521096,2824.133972509659,2824.3655216611687,2821.6131070572706,2820.2000399313984,2824.7948307403035,2832.140459541243,2838.191990709066,2839.321488131813,2843.8004660626248,2843.859837804461,2841.0655928716965,2831.832103181425,2826.0810367931126,2823.3666556298167,2823.950153306435,2821.6498782478493,2819.439594534993,2825.2744110103367,2835.307049511695,2847.7725130052377,2852.549229147145,2857.312533316984,2859.77038674508,12086,"Miami-Dade County, FL"
1025.62532703871,1027.4475358498894,1035.3041912930105,1049.4969168232565,1062.3853234334397,1071.3556653600576,1079.5777005064974,1082.3079129625437,1085.3801639434107,1084.77188776484,1088.8070470637758,1091.145146848175,1095.358862694762,1100.837664225854,1107.674087317286,1117.9397793478404,1126.0206395102914,1137.0311392052538,1140.3288766008388,1143.778608303994,1142.4693952306638,1149.2693229812362,1151.8623225347633,1157.120922939311,1162.069736127239,1165.8059612379298,1176.5911679491628,1185.0175737865245,1199.0680988469471,1205.030226032924,1209.7724506271245,1209.277499460802,1208.825394231929,1206.8140318145952,1215.5273237408712,1218.9891624220706,1222.9862481485518,1228.6016096940164,1231.500787139954,1236.433302519529,1236.0298784906715,1248.1770618412663,1254.075764925419,1256.8527184036482,1249.425635962992,1249.733071410469,1252.2805328822435,1256.2347817110578,1262.20787276673,1264.0013485938796,1273.0989464941902,1280.1278191628498,1288.6344446718306,1300.253253255329,1302.664401159876,1305.9315589804849,1303.7538364935751,1303.0362557390663,1299.0880224366445,1293.4014239204162,1297.1121151042355,1302.8752689293783,1309.5507385864871,1307.749290595756,1305.3150638968962,1304.8675004656257,1306.1477122784927,1308.744106726042,1309.9849091302742,1312.0514704921015,1310.5797821497345,1314.3571975020034,1320.3166030920445,1332.8063226940835,1342.4749405715097,1359.7178666015373,1380.9099234649404,1411.001178606312,1443.1486163719608,1473.1133579249442,1494.7549025528672,1505.5706414615568,1512.7634347872547,1520.204517880185,1532.6219719352769,1548.7623079849704,1560.9290887650016,1579.0837429029905,1599.9636362859728,1632.4458736290449,1654.0004777899155,1661.748830191432,1654.7250675088992,1638.216192175062,1626.4181698895331,1616.4894619451509,1614.1022839414609,1615.7497267882582,1625.1787748822076,1630.9012484718075,1637.7133991916592,1641.1267784364425,1647.8376092594951,1648.442357751119,1644.6803521746117,1636.0686133356653,1627.8486314791917,1617.83342653808,1613.2741124035867,1611.7157179149472,1612.4202989907333,1616.9707802114808,1621.475926180227,1630.3125616525394,1636.5867635490554,1639.4031715475785,1635.3930217305406,1629.3880437477014,1623.5900940114948,1618.0739582143815,1613.90533247599,1614.736402495697,1620.8602127800607,1629.8667125648558,1633.2376538452206,1635.3056921335976,1633.6046454476102,1631.5579223148616,1628.266775817601,1625.9794468592577,1625.331327678109,1620.8310660482782,1616.935694585348,1617.761013369677,1625.6003592309394,1636.847434400453,1642.0847189627516,1644.324695691096,1643.0137533095133,48113,"Dallas County, TX"
1335.0240875226648,1339.150652237974,1342.3976102815918,1349.943768634535,1356.7151910519267,1366.478764281601,1376.4852946649169,1381.8527262809146,1388.587946183101,1395.7513600115783,1400.5271026020848,1405.0116686920676,1404.076007799425,1412.7295753256656,1414.7093192347909,1416.09262775825,1422.7340225190358,1428.4579159673958,1440.3214926481724,1442.8649636403409,1455.5753262945143,1457.753342072134,1464.417303189395,1460.9908674499404,1476.8021400716646,1486.7831811248025,1500.228104609868,1509.8459108430357,1520.0187576392586,1531.869619403861,1538.041997349662,1548.7062886229598,1554.434249603166,1560.6698409566231,1565.3844680761488,1567.5427556234138,1573.8185602560825,1584.232019754465,1596.4191528764577,1601.2940147782913,1602.4654534782665,1610.2146478637137,1620.7211013779497,1632.4425364044305,1642.4366554467845,1653.694906943884,1659.8799127090242,1665.1874588676544,1665.1494523535964,1666.6725336683687,1675.1880884889222,1686.4409350734877,1698.3836062612472,1704.439867740475,1714.3366658463876,1725.3149199433026,1730.5631644398914,1734.49718212382,1736.384160750999,1742.1781673334497,1746.2578655985824,1753.4451393255836,1757.2307932647584,1754.8855295869678,1751.1294588472797,1761.892948937941,1782.9313552219355,1814.162510659235,1840.46028279132,1866.7425528519825,1886.4037858484212,1907.341131291736,1930.289920618688,1955.725138679213,1982.219809267756,1998.4481877032808,2032.12332993138,2067.7752764771035,2121.2028293979306,2162.5200461328163,2202.745588592884,2222.092668075867,2241.540692327666,2243.8891961012387,2264.9539546744013,2277.969580098709,2312.873622457805,2339.512434098197,2362.1059832835263,2375.825248915883,2387.0061654929877,2397.3304155693527,2404.718632164112,2399.3830055575504,2390.7149812697094,2382.32869504212,2383.769069420613,2389.910301951006,2400.767142169941,2411.651134699013,2416.9533140683925,2414.4545680553497,2415.3376583584254,2426.253783086476,2432.694278244502,2446.1920514287995,2441.3292414818943,2442.154290661275,2434.540699489495,2450.2258805145134,2460.754021314101,2471.097912616256,2476.705970521004,2480.113276480038,2494.858872039388,2501.436887930904,2517.193825419185,2515.970598768957,2513.5613737781187,2514.978992597796,2526.2120960366547,2531.8272083595657,2532.32106547659,2533.8103470192223,2544.192256120117,2547.588022089185,2545.105492312035,2546.3673945035675,2554.424556842121,2560.0451765243497,2561.665471715851,2565.085060065211,2570.949809264564,2574.9820875327564,2583.975848931531,2594.383132006206,2603.7217720658728,2606.281284507023,2604.9824040359013,6065,"Riverside County, CA"
