RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
102001,0,United States,country,,1154.5522887375298,1160.8252735590954,1169.472351449523,1178.3309121004986,1187.1054897974957,1194.7822161135728,1200.3877704830634,1203.9231457269316,1205.7632467131991,1206.1657331793886,1206.5445133664189,1206.9575442805717,1209.9088967667246,1214.6430989109415,1220.6094324453002,1228.445494282559,1236.522549263526,1244.6144457754835,1249.1344236269244,1251.173891964761,1250.9337348593704,1249.5282125572185,1248.3017375579832,1247.5992690150235,1252.0395087970066,1259.585119924586,1270.896941689645,1280.5039170149507,1289.7742961958745,1296.7810071365495,1301.495809299388,1302.8865371201623,1303.0628833947512,1301.3691117148114,1301.178464867031,1301.9656805551117,1306.698361058167,1313.959479987432,1323.3650582501762,1332.7193378496013,1340.7923498013529,1348.1874415484003,1353.453986464276,1356.4746659054265,1355.6052385588594,1354.8566441445164,1355.3607361420816,1357.4572000963,1361.4137418196517,1367.3055204098798,1377.3433508354678,1387.3280111858687,1397.168616255662,1405.076229661799,1410.7621650368535,1413.563603808161,1413.003462653882,1411.3766463445584,1410.1038908787953,1411.2344375383454,1416.112386068186,1424.0668510109067,1432.3085698180748,1433.1162807271885,1432.3347690748087,1432.721155271441,1438.015615784483,1439.4880071903342,1437.0881002145388,1434.0809814137706,1432.540777715271,1434.38470697837,1441.717909157997,1453.487461036173,1468.6684424912762,1487.7195506399592,1512.9320546914062,1542.838606488484,1574.061548537822,1602.9200859781124,1625.9085056873885,1639.8164203764566,1648.6427509681555,1657.4436171802156,1667.8968671319524,1682.546753971424,1697.9269123019224,1718.01757838377,1738.6389538279627,1760.040455169763,1777.4186074253753,1786.7969774549729,1788.2338381217571,1783.0910991404253,1776.9549961116995,1773.8575030278478,1775.9547355201769,1782.6290101959742,1795.3457319393056,1806.1625612736857,1818.2348409826736,1825.3340126096757,1833.7413264140437,1837.814319243866,1837.8014285558609,1833.9684619642337,1828.6983081069116,1826.1203329382777,1829.531674350418,1837.7361926404424,1848.9004411141864,1859.8117075656871,1870.8921318781956,1880.479195047909,1887.6858299350356,1890.653448699216,1890.426022759047,1886.7865808391805,1884.20848916055,1882.8872520699767,1888.9443758485409,1898.6457331674903,1911.434221209758,1921.2918741919284,1928.5867850455993,1933.3848223401317,1935.4772353674252,1935.9013558111217,1934.3816054352487,1930.806379896706,1925.2811860105492
394913,1,"New York, NY",msa,NY,2180.9696613332444,2195.187121098583,2213.4899363408945,2232.223598281941,2246.638992973084,2261.713750097437,2271.9867705091306,2281.8133195093924,2285.7390865731873,2283.8054329727283,2274.694743653002,2265.593843569959,2262.976052370692,2267.5472423978817,2276.1148629448294,2288.3808782896926,2302.354744981846,2316.867954798533,2328.9828216222163,2333.1067532110687,2333.72129740157,2326.439253780283,2322.093461061325,2310.9458405082214,2307.963782525423,2308.5793512820533,2320.0755998433697,2334.1021618440154,2351.6345082316698,2365.73257013667,2376.008768469025,2378.041717658091,2376.069219915271,2362.7966498268106,2348.1859316563036,2335.689513591098,2334.5466086407255,2341.358751568379,2354.2430950078424,2373.0474604315746,2390.925892079382,2407.5280304074463,2419.3175054699,2427.9134999124576,2428.1862985206735,2419.79958652206,2409.2692261240195,2399.6714843171744,2398.9476984747625,2407.8768769113267,2423.4239007591523,2440.921884739005,2460.850387691701,2481.7606427042656,2496.8020733014864,2504.009555010568,2502.333278639039,2497.6270823011205,2485.101177141462,2477.9285848380646,2477.1475664961217,2490.0133739388966,2499.166649498242,2493.614239482036,2478.397798849778,2456.5690947686367,2432.933832729062,,,2298.0577377492623,2267.497091246373,2255.056826437056,2254.2657083527574,2268.814327621574,2289.4746235332755,2316.128763735273,2358.6309779362423,2411.6211480448533,2472.1704791316233,2529.7623047201128,2576.625551072038,2608.764052265745,2629.77664342531,2649.536544097839,2673.5053370130618,2704.456179950765,2741.184118036308,2780.7253048925204,2830.37258658197,2881.962800477403,2928.169516556014,2954.352175307413,2957.964004458385,2943.362817636675,2918.856003857081,2900.6460503384133,2898.590231736323,2911.44205361137,2936.8709785376527,2968.241667222093,3002.5022462328175,3031.720292066582,3052.940538393635,3062.575705449396,3061.4127230013323,3047.3309494693576,3028.535273872419,3015.741681081865,3021.06541895711,3038.1293134214125,3066.651580165417,3094.115477405167,3124.142817014921,3150.377677718656,3166.28999126215,3171.4800801838037,3162.1564522688213,3149.3265799046494,3140.5080975545297,3136.241207306024,3145.7309883965245,3163.366747547295,3192.4064810096543,3222.475993123018,3249.3909074731937,3280.298984318408,3309.1019566052864,3329.5957968817124,3326.8667660411948,3314.129266536098,3293.660322796854
753899,2,"Los Angeles, CA",msa,CA,1754.8253913517156,1766.1891004353474,1781.3590126193428,1796.5603381306344,1811.5478803140877,1823.229994561937,1835.6276900909215,1845.6432623968915,1855.1955351961517,1859.612611094616,1864.236177534279,1870.0129529902465,1879.9019348950485,1890.88789761409,1902.2130780914224,1912.593744809733,1925.97208881839,1938.3762054956144,1950.883967074487,1957.009115041388,1962.145881654462,1963.0064674493328,1965.1131253585847,1967.9949335931856,1981.2102602061548,1997.6372681465016,2019.0799216952148,2033.047027931304,2046.289180329896,2055.290549787964,2065.3267293733775,2070.667038804164,2075.5666437103505,2076.357278944109,2080.757397056946,2085.106122697315,2095.685251820464,2107.642692564148,2118.0422365309105,2127.1330179904153,2134.876720974597,2146.8099711602845,2156.7024513058923,2165.403762961692,2168.8482406223943,2172.7732917862613,2178.1951392302108,2183.757672950596,2189.087214300576,2193.130061645296,2204.879153881216,2215.211919067109,2227.960233521847,2237.1121560896704,2245.7821655214207,2251.0579437949036,2254.4660161221227,2255.9508559757937,2259.290434311536,2262.287912652398,2269.886032462254,2274.3120967790323,2274.4713336932687,2262.047407248707,2251.3332726946896,2245.178694298462,2246.8057210960383,2245.9942350020024,2245.148428383412,2245.9667352355295,2247.46917402957,2247.644528101718,2257.144355811589,2268.422491316923,2283.5938423678554,2295.2558811574545,2314.626057168027,2348.8099657955763,2394.352447431323,2447.6507429292196,2487.8607214230997,2513.0879823812475,2526.7192585674397,2543.500967294161,2562.2768229570756,2587.46976449799,2612.088540513899,2642.4734523885772,2667.1389744158487,2690.5895281842754,2709.4488188531745,2723.586215175544,2729.0021800356694,2723.7221416600587,2717.710488346489,2710.110310143951,2709.340136814032,2714.022362850697,2728.0604540723284,2738.846325631491,2747.9575580301043,2755.3442724708907,2768.1276781347938,2778.545917035333,2782.21699929696,2778.8014768279736,2768.836697482089,2762.7265729757783,2766.911896158905,2777.475636394731,2790.921328771336,2800.0872527310003,2811.3803671677997,2823.0158731747974,2835.0995200682164,2841.613521337105,2845.629539100086,2843.286266960742,2840.2621349859305,2835.4521047314024,2857.3638386578887,2880.3455916128046,2904.5575763409215,2904.147903313518,2908.0225274391273,2912.1083011300925,2914.500274796103,2915.775638663214,2915.2908936895737,2912.7551229627056,2905.9865194707454
394463,3,"Chicago, IL",msa,IL,1326.1497790253725,1333.0430399863694,1343.0302583863936,1351.821594303227,1361.2056793255144,1370.259212882664,1374.5502624953804,1376.992477312952,1372.0630213366462,1365.5104069567478,1359.3078781204576,1359.823268669805,1367.1597221060993,1375.8781074870762,1386.653134645189,1393.9697785543992,1402.2231404504284,1409.4375676678792,1415.5166517854393,1418.6399690869655,1412.255043103825,1402.9918720806388,1391.8420064877166,1386.7202396307273,1392.2882941950384,1405.2454285901215,1422.738243911787,1435.628854853715,1446.7562990211832,1452.3173125251574,1454.2324638478594,1449.815994751208,1444.1688209413428,1433.7879697646658,1427.6271179577748,1425.2670235054554,1433.067118005879,1443.7917631694684,1456.1127650880956,1466.8048030765756,1476.6338686370032,1485.4227705153992,1489.5258758324833,1487.157411866286,1477.144966283009,1466.0598091915654,1459.5053813795623,1460.3630123060905,1468.898615726052,1478.7101971234451,1493.800903972333,1506.7097573255312,1518.7367793538738,1525.4006875698822,1527.8982907960828,1527.0027504556483,1521.5643218760056,1515.1368629867038,1508.444598700352,1503.9158433893936,1512.4733153190648,1523.9374510687328,1538.718068715685,1539.484167061299,1538.476679446675,1535.49182143952,1534.7819315278964,1529.3133883444664,1515.2998606187882,1495.3308772493026,1478.773372287022,1471.8582037149731,1473.8253148929314,1483.9530647971403,1500.1612951474428,1524.9699126760254,1551.6734991076737,1576.9711229928394,1596.3061609624672,1609.240013929246,1616.199535473037,1614.6994003971529,1613.8869834923466,1618.5890579835948,1631.3250431421095,1646.6370723612497,1665.883398131608,1689.4476039880444,1714.8929678883037,1734.9980593026169,1750.5937540477012,1757.319368641728,1757.91544798598,1753.2243943910184,1747.6741418106672,1747.9097936424444,1754.8256045738194,1769.3200899443864,1787.4294177098427,1806.3090393965472,1827.208098727085,1843.9175002281145,1855.3199659710467,1860.477146327931,1856.7629833289143,1849.16935776108,1841.910652768367,1843.23192007022,1852.0420094947929,1866.3229863986712,1881.5682711849036,1900.450644295124,1917.4104711379457,1933.4992924662408,1941.8488603057551,1945.197597469393,1943.4845059220752,1941.5589966899215,1941.0616669673832,1945.6766513705395,1954.2926098822347,1971.090337559061,1989.0984735432785,2010.457133513168,2029.2838591531963,2047.246571711559,2058.151578637729,2061.811886786767,2060.14778316568,2054.257122022449,2048.71152452408
394514,4,"Dallas, TX",msa,TX,1060.2952514946262,1065.1324800599646,1072.714510572224,1084.0991737832944,1093.3540701565628,1101.3540186199011,1107.6446851518483,1110.915823849279,1112.1744628223869,1111.590849375279,1112.3069894485393,1114.1588948975411,1116.196885344518,1122.1245061496816,1130.0422925315827,1140.5658808484693,1148.6718466959703,1155.734398776376,1160.1586664001486,1163.244611921881,1163.3046448322602,1164.230484215867,1163.6705743622051,1164.3088713416385,1169.2847655076537,1175.4510624452164,1187.8183585957163,1196.5921188836433,1208.8402415999487,1215.2369214855455,1220.0806568380212,1220.8283346092076,1219.5440983509357,1216.785480741283,1218.3923653676718,1218.8037768983434,1223.5706601047957,1229.3664985219473,1236.375351763149,1243.4310789866154,1248.3999963350598,1256.452348883421,1260.4326630602725,1261.6307506635294,1258.6078996789454,1261.235771105782,1262.578149160901,1265.3720598735056,1266.5259616957494,1270.4950517920142,1280.79351493821,1289.6089752377502,1298.185661297607,1305.0033781653135,1308.3879324986565,1310.3868128406898,1309.222031687113,1308.566599161768,1306.409480024333,1302.9773330493465,1304.8187557940173,1310.6103910451905,1318.584261435489,1319.0284587051378,1317.8422808095067,1318.0706313781836,1321.709672099767,1325.0529186163349,1326.4442224647864,1328.3689273009245,1329.7670577290185,1333.0628895003344,1340.1557248817749,1350.4570137879248,1361.5411149535985,1379.2727481882823,1403.786892823888,1437.582157217238,1471.5082349489096,1502.9052063430197,1525.1923681813432,1538.3110962344026,1548.6315055522246,1558.1737106134888,1569.2066703114915,1580.6655579444434,1593.5597940595976,1612.421140310907,1634.660195996128,1662.6346917635942,1682.4414257006238,1689.1325587648246,1682.7715287847673,1668.807076058761,1658.6483980882736,1650.5867016833254,1650.2440273677948,1652.360438126927,1663.4265941971182,1667.7684984336868,1675.8460466484196,1678.1959670414626,1685.3955452715031,1685.2615799091186,1679.756413290169,1670.6722658325568,1662.4119184562023,1654.6545767770765,1651.9224387331794,1651.35941106447,1655.479781315638,1660.417127859162,1667.321389027668,1673.701050035584,1677.615000127768,1677.7464234953136,1671.8591578494786,1665.2032569511575,1657.2249196285604,1652.341298000738,1652.1572898809989,1659.9876698132964,1670.3441891497032,1680.6882832452088,1683.5788249219772,1684.4820404251889,1681.211436387168,1677.3429402058855,1672.563147115021,1666.2129705697496,1659.921188592045
394692,5,"Houston, TX",msa,TX,1195.2019706832114,1198.7979730712646,1205.1344326349372,1215.5162453198843,1224.718161703919,1233.0044431393178,1234.3020956737937,1235.3526145085275,1232.964602375578,1229.8974177628886,1226.5344531350493,1223.421994016148,1223.6806474588263,1225.356578343224,1231.2533413383103,1236.0579383901022,1239.4589329031,1240.526479690091,1239.5832875863566,1236.85209198422,1231.5401281293302,1227.752950528519,1222.191209862843,1219.8840798270776,1220.5303779426072,1228.4942054928897,1236.793321763344,1241.8699101711609,1249.3074677429315,1251.0709683859675,1251.6817553567837,1246.5394080579108,1253.1490472754786,1260.9542944454,1271.6089724472588,1276.7331882401832,1279.7131793646624,1285.475314542768,1287.808201491675,1294.7226258152282,1297.2048692745682,1302.0835372377026,1302.346742219441,1300.7603012550635,1296.9213161109294,1296.781806338554,1298.9997175807134,1298.841702773335,1299.4322643529172,1297.9073428530644,1304.8010256051314,1309.987749429236,1318.8003196629172,1324.4223909759785,1327.9847939349108,1327.569292007736,1324.5606761576696,1323.4118331778798,1322.9631226869624,1325.696267088534,1328.6686885982826,1334.6293286829364,1339.843429594988,1336.4819234856388,1330.144979469064,1325.5216470738894,1329.3848362332478,1334.2170156314935,1334.6214165835784,1336.712962775785,1337.658953152938,1338.418688768311,1340.9456194636668,1342.8959673419797,1351.583929098086,1364.16508289999,1385.7411370901914,1412.4750381633894,1438.535626919384,1461.962389283879,1474.6385857051926,1480.935966014982,1483.3979046612208,1487.4224255464735,1493.1665148180125,1503.3610122556358,1513.8978876507392,1527.597851867213,1539.1778388318253,1554.2112605723985,1565.2861629613349,1571.4183601946386,1568.6611960796238,1562.103956438473,1554.8981747310456,1553.1888197337853,1557.1041289303291,1565.1207966836344,1576.5711399047143,1582.816833279368,1591.763555014555,1598.45804494189,1604.249785351116,1604.816153950763,1599.8526929305772,1594.297445811077,1588.617711526732,1587.2672268393396,1589.7913573221765,1594.9779459196022,1599.4482892208057,1607.1597347046973,1615.5357946822644,1623.767492156092,1627.885606037873,1630.3904680018595,1630.1539963706757,1628.2733963147712,1623.3629105408004,1621.2526883698374,1622.0457907962464,1628.6180225739092,1638.0370458370194,1643.703459437112,1644.9584773188997,1637.8991884889078,1638.023940777054,1636.275652060413,1637.541930246863,1631.399725619313,1625.0729097305048
395209,6,"Washington, DC",msa,VA,1693.530678631485,1700.191052446086,1712.0306946578266,1720.557556441688,1729.0647866207478,1735.6356724386922,1739.5133191644077,1736.9791081424223,1736.1910455517525,1731.7055523959932,1731.2072364244448,1725.859805413039,1729.1587991635147,1732.9622000320849,1742.2975444597048,1749.277031916767,1757.3487031921884,1763.7828151035087,1768.640138937884,1770.0874909573497,1766.0392908869053,1760.2828345495948,1754.1680456966435,1751.6224952587277,1756.822422834709,1769.087812790125,1782.569585802376,1793.344264675833,1800.0326679889322,1807.4151825253111,1810.314563251953,1810.199135018808,1807.7395378803133,1803.184981861048,1797.505294760358,1793.8039128535015,1796.042640548789,1802.3854240450385,1814.4892974392023,1826.894112507629,1838.1499557241536,1847.0977944352453,1852.5232983102203,1857.6287116307508,1852.3474195710655,1849.693775166304,1849.1967023980055,1854.333600203341,1859.0669059073148,1865.4275855428712,1875.2997298542052,1886.547813144034,1897.7490459686203,1906.2015731277827,1911.661851351486,1912.7422080605777,1913.2895964640963,1907.380326728919,1901.1258958819471,1900.5592817128215,1908.467526577361,1917.2045500010431,1928.0429143532529,1927.2202212760203,1925.2631992458707,1917.461748152252,1915.8197588349417,1911.0106209715275,1897.2849205897685,1879.1637743424203,1858.054365621536,1847.1213527379005,1848.6004186131247,1857.434767317741,1867.951129534112,1883.798948340162,1912.184968978404,1951.1804594691685,1989.759040950246,2021.845485214474,2041.0639128222772,2050.485804329213,2050.8028602842164,2049.497975784288,2050.958233619548,2061.226028848584,2079.6587441309366,2103.472778061109,2129.930376630667,2157.1874925155744,2182.13962611292,2193.4680182851785,2192.4433680138213,2176.009501920803,2159.45941946168,2145.9773527436037,2147.4067500532615,2159.0820514819206,2183.4382177310677,2199.3796134665627,2217.9914610623314,2229.2461316265076,2245.662461738381,2255.6228668438425,2257.581650863349,2253.7160050308557,2244.8169563618776,2237.6126663254936,2241.19443778848,2256.204776908874,2277.468746186395,2297.02556089982,2316.027936574814,2336.260191371661,2352.181685520434,2360.07954975835,2357.778855036015,2348.335974375302,2338.1839715995898,2331.72232300823,2341.5986068637726,2358.2187565972363,2380.4979883978444,2393.088949737133,2400.799813497142,2404.2596400012417,2402.8794978645324,2398.134748873827,2387.200026557511,2372.5846082107355,2356.192831352172
394974,7,"Philadelphia, PA",msa,PA,1189.6280739340873,1195.9085067752635,1208.671802034452,1215.3336112238887,1221.488662823386,1224.7053157943824,1227.0968577580952,1227.3814925159445,1226.292539416887,1225.1656745248242,1221.5125647380592,1218.8595823438632,1219.7116547892992,1228.0971333986945,1236.964054620523,1246.2300469979334,1252.5750576217094,1259.9864892242824,1261.051942611541,1260.4962642888197,1256.7666363840171,1255.0455862924136,1256.4937198739692,1257.2723648359572,1261.9198074090991,1268.1402116915008,1279.3355660023178,1288.03239389406,1293.8291607860035,1295.1879706869458,1295.7881194577672,1295.579850023632,1294.4497249024687,1293.5362508711562,1292.3782977230924,1295.0643751809594,1298.2248993149867,1306.4482079636218,1317.5636429451802,1327.2602086054962,1336.180455441406,1339.8009636281938,1341.062659203276,1339.7528936667811,1337.5089320350576,1338.7173899739876,1341.8216604312088,1343.059467719235,1347.7465247071357,1353.8284119855336,1367.6189639957563,1378.7034331891264,1386.473127320762,1393.7578617519118,1397.0708740233483,1396.8191699536314,1392.723929146442,1391.4627103479909,1391.427703106905,1393.65131615646,1396.966745617026,1408.3830247600913,1420.1295372976674,1424.7116316842623,1425.11565328956,1425.4822237950475,1431.1249829787555,1430.8623228824142,1429.588428459431,1427.8446042419089,1428.7119984824783,1431.37030355434,1437.0320938367888,1445.5324306286168,1454.8480790968292,1470.3889428918048,1492.1367073085505,1514.1913827111405,1533.6091088012995,1549.8362059507083,1558.9393018137655,1567.519550163547,1575.186342779098,1590.6663454387624,1601.6872854466403,1612.8581386398243,1623.6041532148715,1638.196397980163,1653.645558629076,1668.656311262132,1680.4619588220387,1685.0642369651987,1684.3846299213508,1678.4774971290462,1675.563992752321,1672.6342186489544,1676.8103052913325,1680.474790621789,1692.688963061758,1702.634986140106,1715.0227845164409,1720.918623788568,1728.4466772754536,1733.1450406500771,1737.5122757483866,1737.8413544735229,1736.0508124729708,1733.8910484257403,1735.6139425713266,1743.6018138904246,1753.4122583576404,1764.3673071132318,1774.3418618576893,1783.5520152724278,1789.5358776882606,1793.2959708523897,1795.5031240298165,1797.5017571386084,1800.1914017680117,1805.8889892975856,1812.8476073037132,1819.9010674106803,1822.9413181217935,1826.7221098091975,1831.5684268691743,1839.4168564493557,1851.5317494246144,1856.9365472982477,1861.5649737060087,1860.0143627820823,1859.335769662891
394856,8,"Miami, FL",msa,FL,1464.1522645510818,1469.738366076755,1475.0925021836854,1481.9772097139155,1490.6955477917184,1499.3031535510036,1508.293829444326,1515.686141853833,1526.813260225359,1534.2178146503386,1543.4882333405096,1546.322330349242,1549.8744710328758,1551.1721742972236,1553.6228677915835,1555.012149611955,1554.4760256228308,1554.6981409942127,1556.9205284623654,1559.7644878027422,1564.9873935317785,1567.8713280843283,1571.6228069405115,1570.5944418146207,1575.3302021631414,1578.637271169706,1586.5173127234154,1588.6656844247173,1591.2272204633416,1594.0783436979627,1599.3545094460342,1606.569814495865,1613.426346476249,1618.6334637757664,1620.0647315867864,1620.9810678671256,1623.0217481546138,1626.036318241151,1629.853871072471,1633.7922682013143,1637.734028345982,1642.7219888840689,1648.1277544568654,1654.8933358860263,1659.8477901186193,1666.750481044209,1673.0502348259895,1678.461079630918,1677.879590135718,1676.2747143550232,1676.728428079109,1679.8406669607818,1685.288881166944,1689.574845958859,1694.64539003932,1698.474847547407,1704.6741958336345,1714.1731682129655,1724.2029262237925,1730.639770534572,1732.1969256163436,1735.3242076118156,1736.6837337916925,1730.8128403453245,1721.389419624698,1719.3600887805992,1724.6878707625792,1730.175976587916,1735.6371115120653,1748.2279675971008,1766.0521426962446,1781.3751820640855,1796.678456525942,1818.953974065719,1847.68555692807,1881.709335208312,1922.209322516232,,,2104.6017248411067,2162.8494373455974,2205.292348942065,2249.755340195121,2294.450535194016,2336.25642707597,2367.67426494504,2402.2393340847684,2440.4307436498316,2478.806732641396,2505.458003511819,2523.5960268812846,2530.973540067607,2537.5218934472805,2539.7823911667133,2545.8688690870667,2548.941279602287,2551.5044379428764,2553.8798555265107,2560.2224253433046,2565.639626898506,2571.9819391994843,2575.646654263246,2579.4806291252403,2582.8964512592515,2586.251887241195,2593.637288734086,2596.16149559171,2592.4603536843388,2591.526128324673,2598.342652236566,2609.948424364917,2618.0512500210866,2621.105098453182,2623.8819852371767,2628.633216249178,2633.3048818615625,2638.8422903188125,2639.969863363821,2641.1625067765717,2642.0503572502475,2647.0132401939063,2653.4265679723244,2661.157920112355,2663.907526333825,2663.978570409174,2661.955908132767,2661.8308833110927,2661.76152568597,2660.70945770699,2659.1155212122517,2658.193879467192
394347,9,"Atlanta, GA",msa,GA,1001.6705773417374,1006.2824689246802,1009.6879041886434,1019.6145122901296,1027.9572784441054,1039.4525127633408,1045.305645760423,1048.2923164622814,1048.5380096931742,1049.4748903413492,1050.7691476800317,1054.551096921703,1057.875100134702,1064.426052744186,1071.3592927676607,1079.091315906117,1088.1701147063236,1097.173802674201,1105.792370707543,1109.4883903265686,1109.7246163398163,1109.7669047917875,1110.221187483711,1112.1278171792212,1116.218177600135,1124.038523173797,1135.3112472135338,1147.318390025693,1159.5959984710323,1169.936082895238,1178.427395975384,1181.671616901257,1183.6351750708511,1180.722220630715,1182.602366032931,1184.223400154583,1191.200264422156,1199.1995003193542,1210.5875306708267,1222.2433146338287,1233.2697582178546,1241.625863085075,1247.6649131512477,1249.916801415942,1249.6163146661509,1255.4195144233329,1260.7224172552162,1266.581428927337,1270.9159845806944,1277.8358332544028,1289.9228925544844,1301.1030562720582,1311.832226724687,1320.2869429123075,1325.07717268694,1329.1057146738233,1330.7687755151462,1329.0614485445046,1326.376758779229,1326.5934007724495,1331.5751182211775,1339.3695317974098,1347.4219767051388,1350.7681918142434,1354.1999555143418,1360.8393453355934,1375.7788449118857,1389.0019892240075,1397.595822347433,1402.664883489145,1408.009360890775,1414.534431577541,1428.0870369362628,1445.0203508002564,1463.4542945531637,1484.671032216714,1513.060552211967,1552.6536361594058,1595.036794485511,1636.8909132114384,1667.5604137728394,1686.139993746359,1692.9649666835585,1694.633229725354,1697.145112763143,1701.6581741605346,1712.8177193935087,1725.1976372936874,1744.3222184393703,1763.901668999658,1786.4379869137188,1797.2807588005944,1798.5080612808797,1786.8570568629902,1774.9576318198451,1768.3024435885352,1766.932599368732,1773.0160064370837,1786.3809368102538,1794.598362074152,1801.3592840642737,1800.5340853449998,1804.96644448164,1803.0189125615905,1798.3525920939103,1785.9354274471857,1773.474257168215,1764.0750573122898,1767.2460393910046,1777.6574808270957,1785.5017395455066,1791.3072666002458,1796.4902746775592,1803.3074788780916,1807.8560546927336,1806.9759534538528,1807.444405205028,1801.052054044816,1795.622737645382,1790.8526836189835,1797.704710892156,1812.3700882057256,1825.8675465821457,1833.9966194641008,1836.2806286007049,1838.2994682376188,1843.1515305759735,1848.1672848477483,1852.093970688071,1848.2475022015144,1840.5910053275256
