name,population
"Lubbock, TX",367109.0
"Lynchburg, VA",266432.0
"Macon, GA",237617.0
"Madison, WI",707606.0
"Manchester, NH",430462.0
"Manhattan, KS",134892.0
"Mankato, MN",105193.0
"Mansfield, OH",124853.0
"McAllen, TX",914820.0
"Medford, OR",221331.0
"Memphis, TN",1339345.0
"Merced, CA",296774.0
"Miami, FL",6457988.0
"Michigan City, IN",111348.0
"Midland, MI",84022.0
"Midland, TX",188766.0
"Milwaukee, WI",1574452.0
"Minneapolis, MN",3757952.0
"Minot, ND",75938.0
"Missoula, MT",127741.0
"Mobile, AL",412339.0
"Modesto, CA",556972.0
"Monroe, LA",221921.0
"Monroe, MI",156045.0
"Montgomery, AL",387885.0
"Morgantown, WV",142752.0
"Morristown, TN",126932.0
"Mount Vernon, WA",132736.0
"Muncie, IN",112951.0
"Muskegon, MI",177428.0
"Myrtle Beach, SC",413391.0
"Napa, CA",132727.0
"Naples, FL",416233.0
"Nashville, TN",2150553.0
"New Haven, CT",576718.0
"New Orleans, LA",966230.0
"New York, NY",19940274.0
"Niles, MI",152703.0
"North Port, FL",934956.0
"Norwich, CT",282602.0
"Ocala, FL",428905.0
"Odessa, TX",170022.0
"Ogden, UT",667681.0
"Oklahoma City, OK",1497821.0
"Olympia, WA",302912.0
"Omaha, NE",1001010.0
"Orlando, FL",2940513.0
"Oshkosh, WI",173307.0
"Owensboro, KY",113583.0
"Oxnard, CA",835427.0
"Paducah, KY",102395.0
"Palm Bay, FL",658447.0
"Panama City, FL",226221.0
"Parkersburg, WV",87681.0
"Pensacola, FL",538928.0
"Peoria, IL",364565.0
"Philadelphia, PA",6330422.0
"Phoenix, AZ",5186958.0
"Pinehurst, NC",108417.0
"Pittsburgh, PA",2429917.0
"Pittsfield, MA",128726.0
"Pocatello, ID",91010.0
"Portland, ME",571534.0
"Portland, OR",2537904.0
"Port St. Lucie, FL",556336.0
"Prescott Valley, AZ",252013.0
"Providence, RI",1700901.0
"Provo, UT",760531.0
"Pueblo, CO",169866.0
"Punta Gorda, FL",212122.0
"Racine, WI",198651.0
"Raleigh, NC",1562009.0
"Rapid City, SD",156227.0
"Reading, PA",439117.0
"Redding, CA",181121.0
"Reno, NV",575110.0
"Richmond, VA",1370165.0
"Riverside, CA",4744214.0
"Roanoke, VA",315749.0
"Rochester, MN",230742.0
"Rochester, NY",1057218.0
"Rockford, IL",337103.0
"Rocky Mount, NC",147114.0
"Rome, GA",101390.0
"Sacramento, CA",2463127.0
"Saginaw, MI",187714.0
"St. Cloud, MN",205878.0
"St. George, UT",207943.0
"St. Joseph, MO",119124.0
"St. Louis, MO",2811927.0
"Salem, OR",443416.0
"Salinas, CA",436251.0
"Salisbury, MD",131570.0
"Salt Lake City, UT",1300762.0
"San Angelo, TX",121629.0
"San Antonio, TX",2763006.0
"San Diego, CA",3298799.0
"Sandusky, OH",113533.0
"San Francisco, CA",4648486.0
"San Jose, CA",1995484.0
"San Luis Obispo, CA",281843.0
"Santa Cruz, CA",262406.0
"Santa Fe, NM",157765.0
"Santa Maria, CA",444500.0
"Santa Rosa, CA",485375.0
"Savannah, GA",431589.0
"Scranton, PA",574009.0
"Seattle, WA",4145494.0
"Sebastian, FL",172139.0
"Sebring, FL",109778.0
"Sheboygan, WI",118331.0
"Sherman, TX",150532.0
"Shreveport, LA",383269.0
"Sierra Vista, AZ",125773.0
"Sioux City, IA",145994.0
"Sioux Falls, SD",308266.0
"Slidell, LA",277615.0
"South Bend, IN",325294.0
"Spartanburg, SC",395934.0
"Spokane, WA",604962.0
"Springfield, IL",206308.0
"Springfield, MA",464151.0
"Springfield, MO",496975.0
"Springfield, OH",134985.0
"State College, PA",159805.0
"Staunton, VA",128481.0
"Stockton, CA",816108.0
"Sumter, SC",104776.0
"Syracuse, NY",655189.0
"Tallahassee, FL",397675.0
"Tampa, FL",3424560.0
"Terre Haute, IN",168874.0
"Texarkana, TX",145576.0
"Toledo, OH",601396.0
"Topeka, KS",232648.0
"Traverse City, MI",156634.0
"Trenton, NJ",392138.0
"Tucson, AZ",1080149.0
"Tulsa, OK",1059803.0
"Tuscaloosa, AL",281963.0
"Twin Falls, ID",122565.0
"Tyler, TX",249091.0
"Urban Honolulu, HI",998747.0
"Utica, NY",287932.0
"Valdosta, GA",152588.0
"Vallejo, CA",455101.0
"Victoria, TX",99170.0
"Vineland, NJ",155678.0
"Virginia Beach, VA",1794278.0
"Visalia, CA",483546.0
"Waco, TX",307123.0
"Walla Walla, WA",62068.0
"Warner Robins, GA",204110.0
"Washington, DC",6436489.0
"Waterbury, CT",462220.0
"Waterloo, IA",170081.0
"Watertown, NY",113140.0
"Wausau, WI",139091.0
"Weirton, WV",113239.0
"Wenatchee, WA",127023.0
"Wheeling, WV",135136.0
"Wichita, KS",661217.0
"Wichita Falls, TX",149869.0
"Wildwood, FL",154693.0
"Williamsport, PA",113236.0
"Wilmington, NC",480522.0
"Winchester, VA",149702.0
"Winston, NC",705187.0
"Worcester, MA",881248.0
"Yakima, WA",258523.0
"York, PA",471240.0
"Youngstown, OH",426086.0
"Yuba City, CA",186014.0
"Yuma, AZ",220310.0
"Aguadilla, PR",250969.0
"Arecibo, PR",180071.0
"Guayama, PR",64546.0
"Mayagüez, PR",207205.0
"Ponce, PR",265039.0
"San Juan, PR",2035484.0
